№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,определение задач пользователя,Нет,функция,принцип «прежде человека»,неформальные,Аналогичный
2,проектирование потоков,Да,отношения,принцип устойчивости,коллективные,Аналогичный
3,создание сценариев взаимодействия,Да,нормы,принцип устойчивости,континуальные,Уникальный
4,разработка паттернов взаимодействия,Условно,тело/материя,принцип доступности,индивидуальные,Аналогичный
5,проектирование микроинтеракций,Да,содержание,принцип целостности,мгновенные,Уникальный
6,определение состояний интерфейса,Нет,символы,закон Хика,возможные,Уникальный
7,управление переходами состояний,Да,технология/инфраструктура,закон Фиттса,возможные,Уникальный
8,анимация отклика,Условно,дискурс,принцип доступности,неформальные,Аналогичный
9,проектирование обратной связи,Условно,память/наследие,принцип иерархии,явные,Аналогичный
10,создание wireframes,Условно,состояние,закон Хика,цикличные,Уникальный
11,управление ошибками,Да,символы,эвристика Нильсена,возможные,Аналогичный
12,создание макетов,Нет,структура,принцип иерархии,индивидуальные,Уникальный
13,координация между UI и UX,Условно,состояние,принцип целостности,каскадные,Аналогичный
14,проектирование элементов управления,Да,память/наследие,принцип устойчивости,постепенные,Уникальный
15,разработка интерактивных прототипов,Нет,дискурс,закон Фиттса,дискретные,Уникальный
16,обеспечение последовательности,Условно,технология/инфраструктура,принцип целостности,неформальные,Аналогичный
17,проработка жестов,Нет,тело/материя,принцип иерархии,дискретные,Уникальный
18,детализация переходов,Нет,технология/инфраструктура,принцип устойчивости,возможные,Уникальный
19,проектирование реакции на события,Условно,экономика/обмен,принцип доступности,необходимые,Уникальный
20,проектирование последовательности действий,Да,поведение,эвристика Нильсена,коллективные,Аналогичный
21,работа со временем отклика,Да,технология/инфраструктура,принцип целостности,коллективные,Уникальный
22,отладка интеракций,Нет,значения,принцип иерархии,постепенные,Уникальный
23,тестирование сценариев,Нет,состояние,принцип «прежде человека»,латентные,Уникальный
24,проектирование мульти-платформенных интеракций,Да,содержание,закон Фиттса,континуальные,Уникальный
25,разработка макроинтеракций,Нет,состояние,принцип иерархии,необходимые,Аналогичный
26,оптимизация навигационных потоков,Да,символы,эффект эстетики-юзабилити,индивидуальные,Уникальный
27,предусмотрение отмены действий,Условно,экономика/обмен,принцип «прежде человека»,экзогенные,Уникальный
28,баланс визуальной и интерактивной нагрузки,Условно,дискурс,принцип «прежде человека»,институциональные,Аналогичный
29,управление вниманием,Нет,поведение,принцип целостности,институциональные,Аналогичный
30,определение точки входа,Условно,время/ритм,принцип «прежде человека»,латентные,Аналогичный
31,управление фокусом ввода,Да,содержание,принцип обратной связи,неформальные,Уникальный
32,обеспечение доступности интеракций,Нет,тело/материя,принцип целостности,индивидуальные,Уникальный
33,проектирование drag-and-drop,Нет,идентичность/границы,принцип иерархии,явные,Аналогичный
34,создание интерактивных подсказок,Условно,состояние,эвристика Нильсена,постепенные,Уникальный
35,разработка поведения элементов,Нет,дискурс,эвристика Нильсена,необходимые,Аналогичный
36,управление загрузкой данных,Да,дискурс,Gestalt принцип группировки,мгновенные,Уникальный
37,согласование жестовых паттернов,Условно,содержание,принцип модульности,экзогенные,Аналогичный
38,проектирование адаптивности,Да,структура,эффект эстетики-юзабилити,континуальные,Уникальный
39,управление режимами ввода,Да,идентичность/границы,принцип устойчивости,коллективные,Уникальный
40,определение правил навигации,Нет,состояние,принцип устойчивости,дискретные,Уникальный
41,контроль настроения пользователя,Да,пространство,эвристика Нильсена,институциональные,Уникальный
42,учет временных ограничений,Нет,пространство,принцип иерархии,институциональные,Аналогичный
43,проектирование откликов системы,Да,состояние,принцип обратной связи,мгновенные,Уникальный
44,управление сценариями альтернатив,Нет,значения,принцип доступности,коллективные,Уникальный
45,упрощение интерактивных цепочек,Нет,нормы,принцип модульности,институциональные,Уникальный
46,анализ обратной связи,Да,время/ритм,эффект эстетики-юзабилити,континуальные,Аналогичный
47,интеграция аудио взаимодействий,Нет,память/наследие,принцип доступности,постепенные,Аналогичный
48,разработка тактильных взаимодействий,Да,дискурс,принцип обратной связи,дискретные,Уникальный
49,реализация голоса,Условно,состояние,принцип модульности,коллективные,Уникальный
50,тестирование многопользовательских взаимодействий,Да,дискурс,закон Фиттса,индивидуальные,Аналогичный
