№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создание ритма дня,Да,значения,принцип практичности,индивидуальные/коллективные,аналог
2,Интеграция искусства,Нет,время/ритм,принцип активности,явные/латентные,аналог
3,Рассказ историй,Нет,дискурс,принцип практичности,явные/латентные,аналог
4,Практика эвритмии,Условно,значения,принцип инклюзии,необходимые/возможные,уникальный
5,Использование рукоделия,Да,тело/материя,принцип системности,цикличные/каскадные,аналог
6,Погружение в природу,Нет,время/ритм,принцип рефлексии,цикличные/каскадные,уникальный
7,Поощрение игры,Да,структура,принцип инклюзии,мгновенные/постепенные,аналог
8,Обучение через подражание,Условно,институты,принцип коллаборации,мгновенные/постепенные,аналог
9,Отсутствие учебников на ранних этапах,Условно,технология/инфраструктура,принцип самостоятельности,явные/латентные,уникальный
10,Переход от имитации к концепции,Условно,содержание,принцип педагогической любви,цикличные/каскадные,уникальный
11,Сохранение детства,Условно,отношения,принцип практичности,дискретные/континуальные,аналог
12,Поощрение творчества,Условно,структура,принцип инклюзии,эндогенные/экзогенные,аналог
13,Рукописание,Нет,технология/инфраструктура,принцип обратной связи,явные/латентные,уникальный
14,Использование простых игрушек,Да,технология/инфраструктура,принцип рефлексии,институциональные/неформальные,аналог
15,Организация праздников,Условно,отношения,принцип рефлексии,цикличные/каскадные,уникальный
16,Знакомство с фольклором,Нет,дискурс,принцип коллаборации,дискретные/континуальные,уникальный
17,Отказ от электронных устройств,Да,идентичность/границы,принцип обратной связи,мгновенные/постепенные,уникальный
18,Фокус на ролевых играх,Нет,пространство,принцип активности,эндогенные/экзогенные,аналог
19,Поддержка теплых взаимоотношений,Условно,экономика/обмен,принцип педагогической любви,дискретные/континуальные,аналог
20,Развитие художественных навыков,Да,институты,принцип инклюзии,институциональные/неформальные,уникальный
21,Исследование сезонных тем,Да,значения,принцип системности,явные/латентные,аналог
22,Введение рукоделия,Да,функция,принцип активности,явные/латентные,уникальный
23,Драматизация историй,Условно,состояние,принцип адаптивности,институциональные/неформальные,уникальный
24,Создание вязаных игрушек,Нет,символы,принцип практичности,цикличные/каскадные,аналог
25,Выращивание растений,Условно,технология/инфраструктура,принцип системности,явные/латентные,аналог
26,Игры на свежем воздухе,Условно,институты,принцип обратной связи,необходимые/возможные,аналог
27,Развитие эстетики,Нет,идентичность/границы,принцип рефлексии,дискретные/континуальные,аналог
28,Совместное пение,Условно,память/наследие,принцип самостоятельности,институциональные/неформальные,уникальный
29,Творческое письмо,Условно,состояние,принцип активности,цикличные/каскадные,уникальный
30,Интеграция мифологии,Условно,экономика/обмен,принцип инклюзии,явные/латентные,уникальный
31,Плавный переход к академическим знаниям,Да,отношения,принцип педагогической любви,дискретные/континуальные,уникальный
32,Развитие внутренней мотивации,Условно,поведение,принцип инклюзии,необходимые/возможные,аналог
33,Познавательные прогулки,Нет,символы,принцип рефлексии,необходимые/возможные,уникальный
34,Освоение ремесел,Нет,память/наследие,принцип практичности,необходимые/возможные,аналог
35,Рисование восковыми мелками,Условно,состояние,принцип коллаборации,явные/латентные,аналог
36,Коммуникативные круги,Условно,тело/материя,принцип рефлексии,явные/латентные,аналог
37,Поддержание классной теплоты,Да,память/наследие,принцип системности,явные/латентные,уникальный
38,Празднование сезонных фестивалей,Да,время/ритм,принцип практичности,индивидуальные/коллективные,уникальный
39,Музыкальные уроки,Условно,структура,принцип адаптивности,эндогенные/экзогенные,уникальный
40,Познавательные истории о мире,Да,дискурс,принцип педагогической любви,эндогенные/экзогенные,уникальный
41,Изучение астрономии,Нет,память/наследие,принцип практичности,институциональные/неформальные,уникальный
42,Интеграция рукоделия в обучение,Нет,экономика/обмен,принцип инклюзии,эндогенные/экзогенные,аналог
43,Поощрение исследовательского духа,Да,поведение,принцип практичности,эндогенные/экзогенные,уникальный
44,Индивидуализация развития,Нет,отношения,принцип обратной связи,институциональные/неформальные,аналог
45,Осознанность тела,Условно,нормы,принцип системности,институциональные/неформальные,уникальный
46,Построение совместного сообщества,Условно,память/наследие,принцип активности,мгновенные/постепенные,аналог
47,Понимание цикл природы,Нет,поведение,принцип адаптивности,мгновенные/постепенные,уникальный
48,Сотрудничество семьи и школы,Нет,значения,принцип практичности,необходимые/возможные,уникальный
