№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,выявление жизненных ценностей,Условно,содержание,принцип партнерства,индивидуальные/коллективные,—
2,постановка личных целей,Условно,время/ритм,принцип партнерства,необходимые/возможные,—
3,разработка плана саморазвития,Нет,технология/инфраструктура,принцип эмпатии,эндогенные/экзогенные,—
4,выявление ограничивающих убеждений,Условно,состояние,принцип развития,индивидуальные/коллективные,—
5,формирование ресурсных состояний,Нет,пространство,принцип нейропластичности,явные/латентные,—
6,навыки принятия решений,Нет,отношения,принцип нейропластичности,дискретные/континуальные,—
7,управление временем,Условно,отношения,принцип нейропластичности,мгновенные/постепенные,—
8,развитие эмоционального интеллекта,Нет,пространство,принцип партнерства,явные/латентные,—
9,создание позитивного мышления,Нет,память/наследие,принцип системности,цикличные/каскадные,—
10,принятие ответственности за жизнь,Нет,отношения,принцип развития,явные/латентные,—
11,навыки самоорганизации,Условно,пространство,принцип развития,цикличные/каскадные,—
12,определение приоритетов,Нет,содержание,принцип системности,институциональные/неформальные,—
13,работа с привычками,Да,пространство,принцип ответственности,индивидуальные/коллективные,—
14,формирование здорового образа жизни,Да,функция,принцип нейропластичности,индивидуальные/коллективные,—
15,прояснение жизненной миссии,Условно,идентичность/границы,принцип эмпатии,институциональные/неформальные,—
16,навыки ассертивности,Условно,функция,принцип развития,необходимые/возможные,—
17,развитие творческого мышления,Условно,идентичность/границы,принцип осознанности,эндогенные/экзогенные,—
18,осознанность в повседневной жизни,Нет,поведение,принцип системности,дискретные/континуальные,—
19,управление стрессом,Нет,отношения,принцип развития,явные/латентные,—
20,построение гармоничных отношений,Да,технология/инфраструктура,принцип осознанности,эндогенные/экзогенные,—
21,дополнительный процесс 1,Условно,значения,принцип развития,цикличные/каскадные,—
22,дополнительный процесс 2,Условно,поведение,принцип ответственности,мгновенные/постепенные,—
23,дополнительный процесс 3,Нет,идентичность/границы,принцип эмпатии,индивидуальные/коллективные,—
24,дополнительный процесс 4,Да,поведение,принцип развития,мгновенные/постепенные,—
25,дополнительный процесс 5,Условно,символы,принцип нейропластичности,индивидуальные/коллективные,—
26,дополнительный процесс 6,Нет,поведение,принцип ответственности,дискретные/континуальные,—
27,дополнительный процесс 7,Да,структура,принцип осознанности,цикличные/каскадные,—
28,дополнительный процесс 8,Нет,структура,принцип осознанности,индивидуальные/коллективные,—
29,дополнительный процесс 9,Нет,функция,принцип нейропластичности,институциональные/неформальные,—
30,дополнительный процесс 10,Да,поведение,принцип осознанности,индивидуальные/коллективные,—
31,дополнительный процесс 11,Условно,структура,принцип эмпатии,явные/латентные,—
32,дополнительный процесс 12,Условно,содержание,принцип ответственности,мгновенные/постепенные,—
33,дополнительный процесс 13,Условно,символы,принцип системности,явные/латентные,—
34,дополнительный процесс 14,Условно,содержание,принцип развития,цикличные/каскадные,—
35,дополнительный процесс 15,Нет,структура,принцип осознанности,индивидуальные/коллективные,—
36,дополнительный процесс 16,Нет,функция,принцип осознанности,цикличные/каскадные,—
37,дополнительный процесс 17,Условно,пространство,принцип партнерства,необходимые/возможные,—
38,дополнительный процесс 18,Условно,состояние,принцип осознанности,мгновенные/постепенные,—
39,дополнительный процесс 19,Нет,идентичность/границы,принцип эмпатии,дискретные/континуальные,—
40,дополнительный процесс 20,Да,идентичность/границы,принцип развития,эндогенные/экзогенные,—
41,дополнительный процесс 21,Да,пространство,принцип ответственности,мгновенные/постепенные,—
42,дополнительный процесс 22,Нет,нормы,принцип партнерства,цикличные/каскадные,—
43,дополнительный процесс 23,Нет,нормы,принцип партнерства,цикличные/каскадные,—
44,дополнительный процесс 24,Условно,пространство,принцип нейропластичности,индивидуальные/коллективные,—
45,дополнительный процесс 25,Нет,идентичность/границы,принцип осознанности,явные/латентные,—
46,дополнительный процесс 26,Нет,содержание,принцип осознанности,эндогенные/экзогенные,—
47,дополнительный процесс 27,Условно,время/ритм,принцип нейропластичности,дискретные/континуальные,—
48,дополнительный процесс 28,Условно,функция,принцип эмпатии,дискретные/континуальные,—
49,дополнительный процесс 29,Условно,содержание,принцип партнерства,дискретные/континуальные,—
50,дополнительный процесс 30,Условно,институты,принцип осознанности,необходимые/возможные,—
