№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Исследование волнообразных движений,Да,поведение,флюидность,возможные; континуальные; индивидуальные; явные,
2,Использование дыхания и звучания для запуска движения,Да,время/ритм,дыхание и звук,возможные; континуальные; индивидуальные; явные,
3,Импровизационные 'рифы',Да,поведение,импровизация,возможные; дискретные; коллективные; явные,
4,Движение восьмёркой через центр тела,Да,поведение,мотив фигуры-восемь,возможные; дискретные; индивидуальные; явные,
5,Настройка на интероцептивные ощущения,Да,состояние,интероцепция,возможные; континуальные; индивидуальные; латентные,
6,Замедление для ощущения тонких движений,Да,время/ритм,замедление,возможные; континуальные; индивидуальные; явные,
7,Исследование тела как жидкой матрицы,Да,тело/материя,флюидность,возможные; постепенные; индивидуальные; явные,
8,Использование микродвижений для стимуляции фасции,Да,тело/материя,микродвижения,возможные; континуальные; индивидуальные; явные,
9,Самореференциальный запрос,Да,идентичность/границы,самореференция,возможные; континуальные; индивидуальные; латентные,
10,"Учитель задаёт тему, затем импровизация",Да,структура,вариация,возможные; дискретные; коллективные; явные,
11,Развитие гибкости и адаптивности,Да,функция,адаптация,возможные; постепенные; индивидуальные; явные,
12,Связь с первичными источниками движения,Да,память/наследие,природная память,возможные; постепенные; индивидуальные; латентные,
13,Поощрение внутренне управляемого движения,Да,поведение,самоуправление,возможные; континуальные; индивидуальные; явные,
14,Интеграция медитации и движения,Да,состояние,майндфулнесс,возможные; континуальные; индивидуальные; явные,
15,Развитие сенсорного осознавания и творчества,Да,состояние,творчество,возможные; постепенные; индивидуальные; явные,
