№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Мотивное развитие,Да,содержание,Джазовые фразы,"мгновенные, индивидуальные",Свободное развитие идей
2,Ритмическое варьирование,Да,время/ритм,Свободный ритм,"мгновенные, индивидуальные",Изменяет ритм на лету
3,Хроматические проходы,Да,содержание,Бибоп,"мгновенные, индивидуальные",Добавление проходящих нот
4,Бенд (плавное подтягивание),Да,содержание,Блюз,"мгновенные, индивидуальные",Изменяет высоту плавно
5,Арпеджио‑бег,Да,структура,Арпеджио,"мгновенные, индивидуальные",Использует арпеджио как основу
6,Ответ-вопрос (call and response),Да,отношения,Афроамериканская традиция,"коллективные, мгновенные",Диалог между музыкантами
7,Субституция аккордов,Да,функция,Джазовая гармония,"мгновенные, индивидуальные",Замена ожидаемых аккордов
8,Вставка пауз,Да,время/ритм,Пауза,"мгновенные, индивидуальные",Использование тишины
9,Полиритмия,Да,время/ритм,Полифония,"коллективные, мгновенные",Перекрывающиеся ритмы
10,Микротональные отклонения,Да,содержание,Мировая музыка,"мгновенные, индивидуальные",Использование микротонов
11,Протяжное звучание,Да,состояние,Медитация,"постепенные, индивидуальные",Удлинённые ноты
12,Тремоло,Да,состояние,Техника исполнения,"мгновенные, индивидуальные",Быстрое повторение
13,Глиссандо,Да,пространство,Глиссандо,"мгновенные, индивидуальные",Непрерывный переход по высоте
14,Включение шумов,Да,содержание,Авангард,"мгновенные, индивидуальные",Добавляет шумовые элементы
15,Динамические скачки,Да,состояние,Динамика,"мгновенные, индивидуальные",Резкие изменения громкости
16,Перекрестный метр,Да,время/ритм,Полиметрия,"мгновенные, коллективные",Сочетание различных метров
17,Фермата (останов),Да,время/ритм,Пауза,"мгновенные, индивидуальные",Задержка длительности
18,Крещендо/диминуэндо,Да,состояние,Динамика,"постепенные, индивидуальные",Постепенное усиление/ослабление
19,Адаптация к окружающим,Да,отношения,Коллективная чувствительность,"коллективные, мгновенные",Подстраивание к другим музыкантам
