№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,толерантность— нарушение,Условно,структура,закон химической кинетики,необходимые; дискретные; цикличные; неформальные,Аналоги в других системах
2,зависимость— модуляция,Условно,отношения,эвристика стохастического резонанса,каскадные; возможные,Схожие процессы существуют
3,метаболизм препарата— регуляция,Да,структура,закон химической кинетики,каскадные; цикличные; институциональные; мгновенные,Уникальный процесс
4,побочный эффект,Условно,состояние,принцип приспособления,каскадные; постепенные; коллективные,Аналоги в других системах
5,детоксикация вещества— ингибиция,Условно,дискурс,принцип минимальной энергии,дискретные; эндогенные; каскадные,Уникальный процесс
6,ингибиторы ацетилхолинэстеразы,Да,время/ритм,принцип Хебба,институциональные; цикличные; эндогенные,Уникальный процесс
7,ингибиторы ацетилхолинэстеразы— регуляция,Условно,память/наследие,доктрина нейрона,коллективные; постепенные; возможные,Уникальный процесс
8,сигналинг через вторичные мессенджеры— ингибиция,Да,содержание,эвристика прогнозирования,континуальные; экзогенные,Уникальный процесс
9,ингибиторы обратного захвата норадреналина,Нет,значения,гомеостаз,латентные; необходимые; экзогенные; цикличные,Уникальный процесс
10,связывание препарата с рецептором— регуляция,Да,отношения,эвристика обратной связи,континуальные; дискретные,Схожие процессы существуют
11,связывание препарата с рецептором— модуляция,Нет,технология/инфраструктура,эвристика прогнозирования,экзогенные; неформальные; возможные; постепенные,Схожие процессы существуют
12,сигналинг через вторичные мессенджеры— активация,Да,дискурс,закон сохранения энергии,цикличные; институциональные,Уникальный процесс
13,ингибиторы обратного захвата норадреналина— активация,Нет,функция,гомеостаз,институциональные; постепенные; цикличные,Аналоги в других системах
14,неконкурентное ингибирование,Да,экономика/обмен,закон сохранения энергии,эндогенные; цикличные; постепенные; каскадные,Аналоги в других системах
15,индукция ферментов,Нет,экономика/обмен,принцип пластичности,институциональные; каскадные,Схожие процессы существуют
16,толерантность— ингибиция,Да,нормы,принцип пластичности,возможные; дискретные; коллективные,Аналоги в других системах
17,биодоступность препарата— модуляция,Нет,функция,правило специфичности,явные; мгновенные,Уникальный процесс
18,переносимость— ингибиция,Нет,время/ритм,принцип приспособления,цикличные; постепенные,Аналоги в других системах
19,первичный проход через печень— регуляция,Условно,время/ритм,принцип приспособления,явные; цикличные; мгновенные; индивидуальные,Схожие процессы существуют
20,реверсивное связывание— регуляция,Да,функция,принцип Хебба,неформальные; явные; цикличные; континуальные,Схожие процессы существуют
21,сопряжение в печени— регуляция,Нет,технология/инфраструктура,правило специфичности,цикличные; индивидуальные; мгновенные; институциональные,Аналоги в других системах
22,толерантность— модуляция,Условно,память/наследие,гомеостаз,мгновенные; постепенные,Аналоги в других системах
23,снятие блокады— регуляция,Нет,время/ритм,эвристика обратной связи,мгновенные; цикличные,Уникальный процесс
24,блокада кальциевых каналов— активация,Нет,нормы,доктрина нейрона,континуальные; коллективные; латентные,Схожие процессы существуют
25,переносимость— регуляция,Да,дискурс,правило специфичности,континуальные; возможные; необходимые,Уникальный процесс
26,первичный проход через печень— нарушение,Да,время/ритм,принцип пластичности,континуальные; мгновенные,Аналоги в других системах
27,терапевтический эффект— модуляция,Да,институты,эвристика стохастического резонанса,постепенные; дискретные; эндогенные,Уникальный процесс
28,полусвод нейротрансмиттера— модуляция,Условно,состояние,законы диффузии,необходимые; дискретные; неформальные,Уникальный процесс
29,деградация нейромедиатора— нарушение,Да,тело/материя,доктрина нейрона,индивидуальные; эндогенные; необходимые; мгновенные,Аналоги в других системах
30,ковалентное связывание— нарушение,Да,содержание,правило специфичности,неформальные; континуальные,Уникальный процесс
31,потенцирование эффекта— ингибиция,Нет,поведение,принцип приспособления,цикличные; постепенные; каскадные; коллективные,Уникальный процесс
32,блокирование рецептора антагонистом,Нет,отношения,гомеостаз,явные; мгновенные; постепенные; экзогенные,Уникальный процесс
33,реверсивное связывание— ингибиция,Условно,символы,гомеостаз,необходимые; латентные,Схожие процессы существуют
34,аллостерическая модуляция— нарушение,Нет,экономика/обмен,доктрина нейрона,дискретные; неформальные; эндогенные; индивидуальные,Уникальный процесс
35,выведение препарата— ингибиция,Нет,отношения,доктрина нейрона,континуальные; цикличные,Аналоги в других системах
36,неактивный метаболит— нарушение,Нет,дискурс,гомеостаз,континуальные; каскадные; явные,Уникальный процесс
37,выведение препарата— регуляция,Условно,состояние,принцип Хебба,институциональные; континуальные,Уникальный процесс
38,потенцирование эффекта— активация,Нет,функция,доктрина нейрона,явные; каскадные; возможные,Уникальный процесс
39,детоксикация вещества— активация,Условно,нормы,закон сохранения энергии,каскадные; индивидуальные,Аналоги в других системах
40,ингибиторы МАО— ингибиция,Нет,память/наследие,закон сохранения энергии,эндогенные; возможные; индивидуальные; дискретные,Уникальный процесс
41,ингибиторы МАО— модуляция,Нет,поведение,принцип приспособления,явные; латентные,Аналоги в других системах
42,связывание препарата с рецептором— ингибиция,Да,дискурс,законы электрофизиологии,экзогенные; каскадные; дискретные,Схожие процессы существуют
