№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Полисемия,Нет,Содержание,"Экономия, экспрессия",Постепенные,Аналоги: психолингвистика (многозначность восприятия)
2,Омонимия,Нет,Содержание,"Случайность, историческая устойчивость",Спонтанные,Аналоги: фонетика (омофония)
3,Синонимия,Да,Содержание,"Избыточность, гармония",Постепенные,Аналоги: музыка (вариации тем)
4,Антонимия,Да,Содержание,Контраст,Постепенные,Аналоги: философия (диалектика)
5,Гипонимия,Да,Отношения,Иерархия,Активные,Аналоги: биология (таксономия)
6,Гиперонимия,Да,Отношения,Иерархия,Активные,Аналоги: классификация
7,Меронимия,Да,Отношения,Часть-целое,Активные,Аналоги: анатомия
8,Холонимия,Да,Отношения,Часть-целое,Активные,Аналоги: системная теория
9,Метонимия,Нет,Содержание,"Экономия, экспрессия",Активные,Аналоги: риторика
10,Метафора,Нет,Содержание,"Экспрессия, иконичность",Активные,Аналоги: искусство
11,Катахреза,Нет,Содержание,Расширение,Активные,Аналоги: поэтика
12,Эвфемизм,Да,Содержание,"Гармония, социальная регуляция",Активные,Аналоги: социолингвистика
13,Дисфемизм,Да,Содержание,Экспрессия,Активные,Аналоги: прагматика (грубость)
14,Амелиорация,Да,Содержание,Смягчение,Постепенные,Аналоги: социолингвистика
15,Пейорация,Да,Содержание,Усиление негатива,Постепенные,Аналоги: социолингвистика
16,Семантический сдвиг,Нет,Содержание,Историческое развитие,Постепенные,Аналоги: морфология (грамматикализация)
17,Семантическое обесцвечивание,Нет,Содержание,Утрата значимости,Постепенные,Аналоги: прагматика (деиксис)
18,Десемантизация,Нет,Содержание,Историческая устойчивость,Постепенные,Аналоги: морфология
19,Ресемантизация,Да,Содержание,Экспрессия,Активные,Уникален
20,Фреймирование,Да,Структура,Когнитивная организация,Активные,Аналоги: психология (фреймы)
21,Прототипизация,Да,Структура,Когнитивная упорядоченность,Постепенные,Аналоги: когнитивная наука
22,Категоризация,Да,Структура,Иерархия,Постепенные,Аналоги: биология
23,Декатегоризация,Нет,Структура,Размывание,Постепенные,Аналоги: социология
24,Референция,Да,Отношения,Устойчивость,Активные,Аналоги: логика
25,Дереференция,Нет,Отношения,Потеря связи,Активные,Уникален
26,Пресуппозиция,Да,Отношения,Устойчивость,Активные,Аналоги: прагматика
27,Импликация,Да,Отношения,Предсказуемость,Активные,Аналоги: логика
28,Инференция,Да,Отношения,Вывод,Активные,"Аналоги: логика, психология"
29,Контаминация значений,Нет,Содержание,Слияние,Спонтанные,Аналоги: фонетика (контаминация форм)
30,Развитие идиом,Нет,Содержание,Экспрессия,Постепенные,Аналоги: культура
31,Десемантизация идиом,Нет,Содержание,Историческое развитие,Постепенные,Аналоги: морфология
32,Семантическая деривация,Да,Содержание,Предсказуемость,Активные,Аналоги: морфология
33,Амбигуизация,Нет,Содержание,Экспрессия,Спонтанные,Аналоги: прагматика
34,Дизамбигуизация,Да,Содержание,Ясность,Активные,Аналоги: логика
35,Квантификация,Да,Отношения,Упорядоченность,Активные,Аналоги: математика
36,Семантическое расширение,Да,Содержание,Экспрессия,Постепенные,Аналоги: морфология (расширение)
37,Семантическое сужение,Да,Содержание,Экономия,Постепенные,Аналоги: морфология (редукция)
38,Фигуративное переосмысление,Нет,Содержание,Экспрессия,Активные,Аналоги: риторика
39,"Модальность (эпистемическая, деонтическая)",Да,Содержание,Оценка,Активные,Аналоги: прагматика
40,Семантическая транспозиция,Да,Содержание,Иконичность,Активные,Аналоги: морфология
41,Семантическая аналогия,Да,Содержание,Устойчивость,Постепенные,Аналоги: когнитивные процессы
42,Семантическая компрессия,Нет,Содержание,Экономия,Активные,Аналоги: синтаксис
43,Семантическая экспансия,Нет,Содержание,Экспрессия,Активные,Аналоги: риторика
