№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,выбор цветовой палитры,Нет,время/ритм,принцип целостности,индивидуальные,Уникальный
2,подбор типографики,Условно,память/наследие,принцип «прежде человека»,явные,Уникальный
3,создание сетки,Условно,символы,принцип модульности,постепенные,Уникальный
4,разработка иконок,Да,поведение,Gestalt принцип группировки,дискретные,Аналогичный
5,выбор стиля изображений,Нет,отношения,эффект эстетики-юзабилити,необходимые,Аналогичный
6,построение визуальной иерархии,Условно,тело/материя,принцип целостности,мгновенные,Аналогичный
7,баланс белого пространства,Условно,нормы,эффект эстетики-юзабилити,экзогенные,Аналогичный
8,установка ритма,Условно,институты,эффект эстетики-юзабилити,латентные,Уникальный
9,создание иллюстраций,Да,время/ритм,эвристика Нильсена,институциональные,Аналогичный
10,разработка логотипа,Нет,память/наследие,принцип целостности,латентные,Уникальный
11,выравнивание элементов,Нет,функция,принцип устойчивости,возможные,Аналогичный
12,совмещение текстов и изображений,Нет,функция,принцип «прежде человека»,возможные,Аналогичный
13,создание визуальных паттернов,Нет,экономика/обмен,принцип доступности,постепенные,Уникальный
14,применение теней,Нет,тело/материя,закон Фиттса,неформальные,Аналогичный
15,обработка фотографий,Да,память/наследие,эвристика Нильсена,мгновенные,Аналогичный
16,создание интерактивной анимации,Да,тело/материя,Gestalt принцип группировки,каскадные,Аналогичный
17,регулирование контраста,Условно,нормы,Gestalt принцип группировки,коллективные,Аналогичный
18,гармонизация текстур,Да,состояние,закон Хика,мгновенные,Аналогичный
19,создание макета страницы,Да,значения,закон Хика,неформальные,Уникальный
20,разработка фреймворка стилей,Условно,институты,закон Фиттса,континуальные,Аналогичный
21,определение визуальных метафор,Условно,идентичность/границы,закон Фиттса,индивидуальные,Уникальный
22,разработка визуальных гайдлайнов,Условно,содержание,принцип иерархии,мгновенные,Аналогичный
23,создание дизайн-эталона,Нет,идентичность/границы,принцип «прежде человека»,каскадные,Аналогичный
24,настройка теней и бликов,Да,время/ритм,эвристика Нильсена,цикличные,Аналогичный
25,создание стилизованных кнопок,Да,идентичность/границы,принцип иерархии,неформальные,Аналогичный
26,формирование визуального стиля бренда,Нет,содержание,Gestalt принцип группировки,индивидуальные,Аналогичный
27,создание moodboard,Нет,значения,принцип целостности,возможные,Уникальный
28,определение сетки модульной,Да,символы,принцип «прежде человека»,коллективные,Аналогичный
29,применение принципов композиции,Условно,экономика/обмен,принцип целостности,континуальные,Аналогичный
30,управление акцентами,Условно,идентичность/границы,принцип доступности,возможные,Уникальный
31,построение композиции,Условно,дискурс,принцип устойчивости,эндогенные,Аналогичный
32,создание визуальных переходов,Да,память/наследие,принцип устойчивости,каскадные,Уникальный
33,контроль адаптивности,Да,функция,принцип иерархии,цикличные,Аналогичный
34,выбор иконографической системы,Условно,состояние,принцип «прежде человека»,континуальные,Уникальный
35,цветокоррекция,Да,функция,принцип обратной связи,латентные,Аналогичный
36,создание инфографики,Да,идентичность/границы,принцип «прежде человека»,явные,Уникальный
37,разработка иллюстративных символов,Нет,символы,принцип иерархии,экзогенные,Аналогичный
38,разработка микроанимаций,Да,время/ритм,закон Хика,индивидуальные,Уникальный
39,создание набора изображений,Нет,состояние,принцип обратной связи,индивидуальные,Аналогичный
40,прототипирование визуальных деталей,Нет,дискурс,принцип устойчивости,мгновенные,Аналогичный
41,создание шахматной сетки,Да,содержание,эвристика Нильсена,цикличные,Уникальный
42,формирование брендбука,Условно,нормы,Gestalt принцип группировки,каскадные,Уникальный
43,создание визуальной библиотеки,Нет,состояние,принцип устойчивости,коллективные,Аналогичный
44,определение отступов,Условно,структура,принцип устойчивости,дискретные,Уникальный
45,работа с динамическими элементами,Нет,нормы,принцип целостности,эндогенные,Уникальный
46,оптимизация под разные устройства,Нет,нормы,принцип устойчивости,необходимые,Аналогичный
47,обновление визуального языка,Да,институты,принцип обратной связи,каскадные,Аналогичный
48,управление визуальными ресурсами,Нет,отношения,закон Фиттса,коллективные,Аналогичный
