№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Генерация случайных чисел,Да,содержание,Случайность,"мгновенные, индивидуальные",Использование рандома
2,Применение грамматических правил,Да,структура,Формальная грамматика,"дискретные, индивидуальные",Построение последовательностей по правилам
3,Марковское моделирование,Да,структура,Марковские цепи,"дискретные, индивидуальные",Вероятностные переходы
4,Фрактальное масштабирование,Да,структура,Фракталы,"континуальные, индивидуальные",Самоподобные формы
5,Эволюционный алгоритм,Да,структура,Эволюционная оптимизация,"постепенные, коллективные",Отбор и мутация мотивов
6,Стохастический процесс,Да,структура,Стохастика,"континуальные, индивидуальные",Случайные события
7,Клеточный автомат,Да,структура,Клеточные автоматы,"дискретные, индивидуальные",Локальные правила порождают паттерны
8,Обучение модели,Да,структура,Машинное обучение,"постепенные, коллективные",Использование тренировочных данных
9,Оценка приспособленности,Да,функция,Оптимизация,"дискретные, индивидуальные",Критерий выбора
10,Рекурсивное развитие,Да,структура,Рекурсия,"континуальные, индивидуальные",Функция вызывает сама себя
11,Параметризация,Да,содержание,Параметрические модели,"континуальные, индивидуальные",Настройка параметров
12,Формальное отображение,Да,структура,Алгоритмическая форма,"дискретные, коллективные",Проекция алгоритма на форму
13,Пост‑обработка,Да,состояние,Фильтрация,"постепенные, индивидуальные",Изменение результата алгоритма
14,Выполнение алгоритма,Да,функция,Логика исполнения,"мгновенные, индивидуальные",Запуск кода
15,Оценка вариативности,Да,состояние,Оценка,"дискретные, индивидуальные",Измерение различий
16,Слияние алгоритмических потоков,Да,структура,Комбинация алгоритмов,"коллективные, постепенные",Объединение нескольких алгоритмов
