№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,оценка стимула,Да,дискурс,принцип равенства,необходимые/возможные,имеет аналоги
2,анализ трансакционных издержек,Нет,символы,принцип справедливости,цикличные/каскадные,аналогичный процесс
3,расчёт правовой нормы,Условно,пространство,принцип законности,эндогенные/экзогенные,имеет аналоги
4,оценка поведения сторон,Нет,содержание,принцип транспарентности,институциональные/неформальные,гибридный
5,оценка эффективности,Условно,поведение,принцип гласности,эндогенные/экзогенные,аналогичный процесс
6,обоснование экономической модели,Нет,экономика/обмен,принцип транспарентности,эндогенные/экзогенные,собственный
7,вычисление рынка,Условно,структура,принцип пропорциональности,мгновенные/постепенные,без аналогов
8,вычисление эффективности,Да,память/наследие,принцип гуманизма,необходимые/возможные,имеет аналоги
9,расчёт экономической модели,Да,отношения,принцип гласности,необходимые/возможные,без аналогов
10,прогнозирование технической экспертизы,Условно,структура,принцип автономии,мгновенные/постепенные,аналогичный процесс
11,сравнение правовой нормы,Да,дискурс,принцип автономии,мгновенные/постепенные,без аналогов
12,прогнозирование трансакционных издержек,Условно,экономика/обмен,принцип суверенитета,мгновенные/постепенные,уникальный
13,моделирование правовой нормы,Условно,время/ритм,принцип эффективности,мгновенные/постепенные,гибридный
14,прогнозирование технической экспертизы,Да,состояние,принцип автономии,дискретные/континуальные,гибридный
15,вычисление стимула,Да,символы,принцип гласности,институциональные/неформальные,без аналогов
16,сравнение рынка,Условно,пространство,принцип эффективности,дискретные/континуальные,уникальный
17,анализ правовой нормы,Условно,поведение,принцип автономии,явные/латентные,аналогичный процесс
18,расчёт контракта,Нет,время/ритм,принцип автономии,дискретные/континуальные,имеет аналоги
19,исследование технической экспертизы,Нет,институты,принцип сотрудничества,институциональные/неформальные,уникальный
20,оценка стимула,Условно,содержание,принцип равенства,дискретные/континуальные,гибридный
21,оценка экономической модели,Нет,символы,принцип гласности,цикличные/каскадные,имеет аналоги
22,оценка рынка,Условно,тело/материя,принцип суверенитета,эндогенные/экзогенные,имеет аналоги
23,обоснование поведения сторон,Да,поведение,принцип верховенства права,мгновенные/постепенные,без аналогов
24,расчёт экономической модели,Условно,идентичность/границы,принцип гуманизма,дискретные/континуальные,уникальный
25,анализ экономической модели,Нет,экономика/обмен,принцип сотрудничества,цикличные/каскадные,имеет аналоги
26,оптимизация трансакционных издержек,Нет,отношения,принцип транспарентности,мгновенные/постепенные,имеет аналоги
27,расчёт экономической модели,Условно,экономика/обмен,принцип суверенитета,эндогенные/экзогенные,собственный
28,оптимизация рынка,Нет,тело/материя,принцип верховенства права,мгновенные/постепенные,гибридный
29,оценка правовой нормы,Нет,время/ритм,принцип автономии,институциональные/неформальные,без аналогов
30,оценка стимула,Условно,институты,принцип пропорциональности,эндогенные/экзогенные,собственный
31,моделирование экономической модели,Да,содержание,принцип равенства,явные/латентные,гибридный
32,прогнозирование экономической модели,Условно,отношения,принцип гласности,явные/латентные,уникальный
33,сравнение поведения сторон,Нет,пространство,принцип пропорциональности,явные/латентные,собственный
34,вычисление эффективности,Нет,тело/материя,принцип транспарентности,мгновенные/постепенные,без аналогов
35,анализ правового регулирования,Условно,значения,принцип гуманизма,необходимые/возможные,уникальный
36,прогнозирование эффективности,Нет,экономика/обмен,принцип пропорциональности,явные/латентные,собственный
37,оценка правовой нормы,Условно,пространство,принцип сотрудничества,цикличные/каскадные,гибридный
38,моделирование технической экспертизы,Да,институты,принцип гласности,мгновенные/постепенные,собственный
39,анализ правовой нормы,Да,дискурс,принцип гласности,институциональные/неформальные,без аналогов
40,моделирование контракта,Да,содержание,принцип суверенитета,необходимые/возможные,гибридный
41,прогнозирование экономической модели,Условно,память/наследие,принцип автономии,институциональные/неформальные,имеет аналоги
42,моделирование поведения сторон,Да,значения,принцип эффективности,эндогенные/экзогенные,без аналогов
43,исследование правового регулирования,Да,тело/материя,принцип законности,индивидуальные/коллективные,собственный
44,исследование контракта,Да,состояние,принцип верховенства права,мгновенные/постепенные,имеет аналоги
45,обоснование правового регулирования,Да,поведение,принцип пропорциональности,индивидуальные/коллективные,без аналогов
46,моделирование правовой нормы,Условно,содержание,принцип гласности,мгновенные/постепенные,аналогичный процесс
47,сравнение контракта,Условно,технология/инфраструктура,принцип эффективности,мгновенные/постепенные,собственный
48,прогнозирование правового регулирования,Условно,значения,принцип сотрудничества,институциональные/неформальные,уникальный
49,анализ поведения сторон,Да,экономика/обмен,принцип равенства,индивидуальные/коллективные,имеет аналоги
50,анализ правового регулирования,Да,поведение,принцип справедливости,дискретные/континуальные,уникальный
