№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,лайкоориентирование,Условно,соцсети/посты/комментарии,виральность/связанность/мгновенность,сетевые; мгновенные; массовые,Аналоги: маркетинг—SMM; психология—соц. влияние; информатика—сети
2,репостинг,Условно,соцсети/посты/комментарии,виральность/связанность/мгновенность,сетевые; мгновенные; массовые,Аналоги: маркетинг—SMM; психология—соц. влияние; информатика—сети
3,вирализация,Условно,соцсети/посты/комментарии,виральность/связанность/мгновенность,сетевые; мгновенные; массовые,Аналоги: маркетинг—SMM; психология—соц. влияние; информатика—сети
4,мемификация,Условно,соцсети/посты/комментарии,виральность/связанность/мгновенность,сетевые; мгновенные; массовые,Аналоги: маркетинг—SMM; психология—соц. влияние; информатика—сети
5,трендинг,Условно,соцсети/посты/комментарии,виральность/связанность/мгновенность,сетевые; мгновенные; массовые,Аналоги: маркетинг—SMM; психология—соц. влияние; информатика—сети
6,хэштегизация,Условно,соцсети/посты/комментарии,виральность/связанность/мгновенность,сетевые; мгновенные; массовые,Аналоги: маркетинг—SMM; психология—соц. влияние; информатика—сети
7,инфлюенсеризация,Условно,соцсети/посты/комментарии,виральность/связанность/мгновенность,сетевые; мгновенные; массовые,Аналоги: маркетинг—SMM; психология—соц. влияние; информатика—сети
8,ботификация,Условно,соцсети/посты/комментарии,виральность/связанность/мгновенность,сетевые; мгновенные; массовые,Аналоги: маркетинг—SMM; психология—соц. влияние; информатика—сети
9,кампания в соцсетях,Условно,соцсети/посты/комментарии,виральность/связанность/мгновенность,сетевые; мгновенные; массовые,Аналоги: маркетинг—SMM; психология—соц. влияние; информатика—сети
10,шэринг,Условно,соцсети/посты/комментарии,виральность/связанность/мгновенность,сетевые; мгновенные; массовые,Аналоги: маркетинг—SMM; психология—соц. влияние; информатика—сети
11,чат-коммуникация,Условно,мессенджеры/чаты/диалоги,интерактивность/непосредственность/синхронность,мгновенные; межличностные; ситуативные,Аналоги: психология—диалог; информатика—протоколы обмена; социология—сетевые связи
12,групповой чат,Условно,мессенджеры/чаты/диалоги,интерактивность/непосредственность/синхронность,мгновенные; межличностные; ситуативные,Аналоги: психология—диалог; информатика—протоколы обмена; социология—сетевые связи
13,форвардинг,Условно,мессенджеры/чаты/диалоги,интерактивность/непосредственность/синхронность,мгновенные; межличностные; ситуативные,Аналоги: психология—диалог; информатика—протоколы обмена; социология—сетевые связи
14,редактирование сообщений,Условно,мессенджеры/чаты/диалоги,интерактивность/непосредственность/синхронность,мгновенные; межличностные; ситуативные,Аналоги: психология—диалог; информатика—протоколы обмена; социология—сетевые связи
15,удаление сообщений,Условно,мессенджеры/чаты/диалоги,интерактивность/непосредственность/синхронность,мгновенные; межличностные; ситуативные,Аналоги: психология—диалог; информатика—протоколы обмена; социология—сетевые связи
16,голосовые сообщения,Условно,мессенджеры/чаты/диалоги,интерактивность/непосредственность/синхронность,мгновенные; межличностные; ситуативные,Аналоги: психология—диалог; информатика—протоколы обмена; социология—сетевые связи
17,видеозвонки,Условно,мессенджеры/чаты/диалоги,интерактивность/непосредственность/синхронность,мгновенные; межличностные; ситуативные,Аналоги: психология—диалог; информатика—протоколы обмена; социология—сетевые связи
18,реакции эмодзи,Условно,мессенджеры/чаты/диалоги,интерактивность/непосредственность/синхронность,мгновенные; межличностные; ситуативные,Аналоги: психология—диалог; информатика—протоколы обмена; социология—сетевые связи
19,тикеты/чеклисты в чатах,Условно,мессенджеры/чаты/диалоги,интерактивность/непосредственность/синхронность,мгновенные; межличностные; ситуативные,Аналоги: психология—диалог; информатика—протоколы обмена; социология—сетевые связи
20,бот-автоматизация,Условно,мессенджеры/чаты/диалоги,интерактивность/непосредственность/синхронность,мгновенные; межличностные; ситуативные,Аналоги: психология—диалог; информатика—протоколы обмена; социология—сетевые связи
21,создание поста,Условно,контент/медиа/форматы,создание/гибридизация/алгоритмизация,мгновенные; сетевые; массовые,Аналоги: искусство—создание; маркетинг—контент; информатика—данные
22,создание сториз,Условно,контент/медиа/форматы,создание/гибридизация/алгоритмизация,мгновенные; сетевые; массовые,Аналоги: искусство—создание; маркетинг—контент; информатика—данные
23,создание видео,Условно,контент/медиа/форматы,создание/гибридизация/алгоритмизация,мгновенные; сетевые; массовые,Аналоги: искусство—создание; маркетинг—контент; информатика—данные
24,создание подкаста,Условно,контент/медиа/форматы,создание/гибридизация/алгоритмизация,мгновенные; сетевые; массовые,Аналоги: искусство—создание; маркетинг—контент; информатика—данные
25,создание мемов,Условно,контент/медиа/форматы,создание/гибридизация/алгоритмизация,мгновенные; сетевые; массовые,Аналоги: искусство—создание; маркетинг—контент; информатика—данные
26,гибридизация форматов,Условно,контент/медиа/форматы,создание/гибридизация/алгоритмизация,мгновенные; сетевые; массовые,Аналоги: искусство—создание; маркетинг—контент; информатика—данные
27,стриминг,Условно,контент/медиа/форматы,создание/гибридизация/алгоритмизация,мгновенные; сетевые; массовые,Аналоги: искусство—создание; маркетинг—контент; информатика—данные
28,UGC (пользовательский контент),Условно,контент/медиа/форматы,создание/гибридизация/алгоритмизация,мгновенные; сетевые; массовые,Аналоги: искусство—создание; маркетинг—контент; информатика—данные
29,VR-контент,Условно,контент/медиа/форматы,создание/гибридизация/алгоритмизация,мгновенные; сетевые; массовые,Аналоги: искусство—создание; маркетинг—контент; информатика—данные
30,AR-контент,Условно,контент/медиа/форматы,создание/гибридизация/алгоритмизация,мгновенные; сетевые; массовые,Аналоги: искусство—создание; маркетинг—контент; информатика—данные
31,алгоритмизация ленты,Условно,алгоритмы/платформы/модерация,алгоритмизация/селекция/контроль,мгновенные; автоматические; институциональные,Аналоги: информатика—алгоритмы; политика—регулирование; маркетинг—таргетинг
32,таргетинг,Условно,алгоритмы/платформы/модерация,алгоритмизация/селекция/контроль,мгновенные; автоматические; институциональные,Аналоги: информатика—алгоритмы; политика—регулирование; маркетинг—таргетинг
33,персонализация,Условно,алгоритмы/платформы/модерация,алгоритмизация/селекция/контроль,мгновенные; автоматические; институциональные,Аналоги: информатика—алгоритмы; политика—регулирование; маркетинг—таргетинг
34,алгоритмическая модерация,Условно,алгоритмы/платформы/модерация,алгоритмизация/селекция/контроль,мгновенные; автоматические; институциональные,Аналоги: информатика—алгоритмы; политика—регулирование; маркетинг—таргетинг
35,теневая блокировка,Условно,алгоритмы/платформы/модерация,алгоритмизация/селекция/контроль,мгновенные; автоматические; институциональные,Аналоги: информатика—алгоритмы; политика—регулирование; маркетинг—таргетинг
36,рекомендательная система,Условно,алгоритмы/платформы/модерация,алгоритмизация/селекция/контроль,мгновенные; автоматические; институциональные,Аналоги: информатика—алгоритмы; политика—регулирование; маркетинг—таргетинг
37,алгоритмическая поляризация,Условно,алгоритмы/платформы/модерация,алгоритмизация/селекция/контроль,мгновенные; автоматические; институциональные,Аналоги: информатика—алгоритмы; политика—регулирование; маркетинг—таргетинг
38,пузыризация,Условно,алгоритмы/платформы/модерация,алгоритмизация/селекция/контроль,мгновенные; автоматические; институциональные,Аналоги: информатика—алгоритмы; политика—регулирование; маркетинг—таргетинг
39,AI-контент-генерация,Условно,алгоритмы/платформы/модерация,алгоритмизация/селекция/контроль,мгновенные; автоматические; институциональные,Аналоги: информатика—алгоритмы; политика—регулирование; маркетинг—таргетинг
40,фильтрация спама,Условно,алгоритмы/платформы/модерация,алгоритмизация/селекция/контроль,мгновенные; автоматические; институциональные,Аналоги: информатика—алгоритмы; политика—регулирование; маркетинг—таргетинг
41,VR-встречи,Условно,виртуальные связи/игровые миры/VR,иммерсия/аугментация/интерактивность,мгновенные; сетевые; иммерсивные,Аналоги: театр—инсценировка; психология—погружение; информатика—симуляции
42,AR-взаимодействие,Условно,виртуальные связи/игровые миры/VR,иммерсия/аугментация/интерактивность,мгновенные; сетевые; иммерсивные,Аналоги: театр—инсценировка; психология—погружение; информатика—симуляции
43,онлайн-игры,Условно,виртуальные связи/игровые миры/VR,иммерсия/аугментация/интерактивность,мгновенные; сетевые; иммерсивные,Аналоги: театр—инсценировка; психология—погружение; информатика—симуляции
44,геймификация,Условно,виртуальные связи/игровые миры/VR,иммерсия/аугментация/интерактивность,мгновенные; сетевые; иммерсивные,Аналоги: театр—инсценировка; психология—погружение; информатика—симуляции
