№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,разработка low-fidelity прототипа,Нет,поведение,принцип «прежде человека»,цикличные,Аналогичный
2,построение hi-fidelity макета,Нет,тело/материя,эвристика Нильсена,дискретные,Аналогичный
3,создание интерактивного прототипа,Да,символы,Gestalt принцип группировки,дискретные,Уникальный
4,выбор инструмента прототипирования,Нет,символы,эвристика Нильсена,явные,Аналогичный
5,подготовка сценариев тестирования,Условно,символы,закон Фиттса,эндогенные,Аналогичный
6,сторибординг,Условно,экономика/обмен,закон Фиттса,каскадные,Уникальный
7,создание кликабельных макетов,Да,содержание,закон Хика,мгновенные,Уникальный
8,тестирование прототипа,Нет,нормы,принцип иерархии,экзогенные,Уникальный
9,сбор обратной связи по прототипу,Условно,тело/материя,Gestalt принцип группировки,латентные,Аналогичный
10,итеративное улучшение прототипа,Нет,тело/материя,принцип «прежде человека»,неформальные,Аналогичный
11,ведение версии,Нет,содержание,принцип устойчивости,коллективные,Уникальный
12,прототипирование сложных переходов,Нет,тело/материя,принцип «прежде человека»,каскадные,Уникальный
13,создание AR/VR прототипа,Нет,дискурс,принцип доступности,явные,Аналогичный
14,полировка микровзаимодействий,Нет,отношения,принцип целостности,необходимые,Аналогичный
15,построение переходов,Нет,пространство,эвристика Нильсена,необходимые,Аналогичный
16,согласование с дизайном,Нет,память/наследие,эффект эстетики-юзабилити,необходимые,Уникальный
17,связь прототипа с дизайном системы,Нет,технология/инфраструктура,принцип обратной связи,возможные,Уникальный
18,выбор уровня детализации,Нет,пространство,эффект эстетики-юзабилити,коллективные,Уникальный
19,обновление интерактивных элементов,Условно,память/наследие,закон Хика,неформальные,Аналогичный
20,прототипирование пользовательских потоков,Да,функция,принцип иерархии,цикличные,Уникальный
21,визуализация данных,Нет,память/наследие,принцип обратной связи,коллективные,Аналогичный
22,создание сценариев для разработчиков,Нет,состояние,принцип модульности,явные,Уникальный
23,управление гиперссылками,Условно,экономика/обмен,принцип доступности,цикличные,Аналогичный
24,подготовка к пользовательскому тестированию,Нет,экономика/обмен,закон Фиттса,каскадные,Уникальный
25,экспорт ассетов,Условно,отношения,принцип доступности,экзогенные,Аналогичный
26,анализ обратной связи,Да,нормы,принцип обратной связи,мгновенные,Аналогичный
27,создание динамических элементов,Условно,технология/инфраструктура,закон Фиттса,континуальные,Аналогичный
28,документация решений,Да,нормы,принцип доступности,дискретные,Уникальный
29,подготовка эталонных решений,Нет,тело/материя,принцип обратной связи,коллективные,Аналогичный
30,прототипирование разных концепций,Условно,отношения,принцип иерархии,мгновенные,Уникальный
31,объединение потоков,Нет,поведение,Gestalt принцип группировки,постепенные,Уникальный
32,разработка гибких шаблонов,Да,символы,принцип устойчивости,возможные,Аналогичный
33,отладка анимаций,Нет,отношения,принцип модульности,мгновенные,Уникальный
34,работа с временными задержками,Да,состояние,принцип целостности,экзогенные,Уникальный
35,определение логики поведения,Условно,поведение,закон Хика,цикличные,Аналогичный
36,создание тестовых сценариев,Условно,состояние,закон Хика,экзогенные,Аналогичный
37,обеспечение адаптивности,Нет,институты,принцип обратной связи,постепенные,Уникальный
38,прототипирование форм,Да,время/ритм,закон Хика,возможные,Уникальный
39,управление состояниями,Да,технология/инфраструктура,закон Фиттса,постепенные,Уникальный
40,интеграция с данными,Условно,функция,Gestalt принцип группировки,мгновенные,Уникальный
41,прототипирование голосового интерфейса,Да,технология/инфраструктура,закон Фиттса,экзогенные,Аналогичный
42,создание презентационных прототипов,Нет,технология/инфраструктура,принцип «прежде человека»,латентные,Уникальный
43,анализ откликов,Нет,пространство,принцип иерархии,континуальные,Аналогичный
44,разделение компонентов,Условно,символы,принцип модульности,коллективные,Аналогичный
45,создание вариантных дизайнов,Нет,дискурс,эффект эстетики-юзабилити,континуальные,Уникальный
