№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Планирование рабочей силы,Да,структура,HR-forecasting,дискретные/континуальные,Связано со стратегическим планированием
2,Анализ работы (job analysis),Да,содержание,Рабочие профили,индивидуальные,Перекликается с организационным поведением
3,Рекрутинг (подбор),Да,тело/материя,Пошаговый найм,дискретные,Связано с предпринимательством
4,Отбор кандидатов (наём),Условно,идентичность/границы,Методы оценки компетенций,дискретные,Перекликается с управлением проектами
5,Введение в должность (онбординг),Да,поведение,Onboarding best practices,постепенные,Связано с change management
6,Обучение и развитие,Да,поведение,Learning & Development,постепенные,Связано с организационным обучением
7,Оценка эффективности (performance appraisal),Да,состояние,360° feedback,цикличные,Аналогично мониторингу проектов
8,Управление компенсациями и льготами,Условно,экономика/обмен,Compensation policy,индивидуальные/коллективные,Связано с финансовым управлением
9,Управление отношениями с сотрудниками,Да,отношения,Employee relations,индивидуальные/коллективные,Связано с организационным поведением
10,Талант-менеджмент,Да,память/наследие,Succession planning,постепенные,Связано со стратегическим управлением
11,Планирование преемственности,Условно,структура,Succession management,постепенные,Аналогично leadership development
12,Программы вовлеченности сотрудников,Да,поведение,Engagement programs,постепенные,Перекликается с маркетингом (customer engagement)
13,Диверсификация и инклюзия,Условно,нормы,DE&I,постепенные,Связано с организационным поведением
14,Управление соответствием и политиками,Да,нормы,HR compliance,индивидуальные/коллективные,Связано с risk management
15,Окончание трудовых отношений (увольнение),Нет,институты,Termination procedures,дискретные,Уникальный процесс
