№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Выбрать участок и оценить почву,Да,пространство,Анализ пригодности,необходимые; дискретные; индивидуальные,Основа для лесного сада
2,Выбрать деревья верхнего яруса,Да,структура,Стратегия поликультуры,возможные; дискретные; индивидуальные,Аналог в дизайне систем
3,Определить деревья подлеска,Да,структура,Функциональное разнообразие,возможные; дискретные; индивидуальные,Перекрывается с гильд дизайном
4,Планировать кустарниковый слой,Да,структура,Слоистая структура,возможные; дискретные; индивидуальные,Уникальность лесного сада
5,Спроектировать травянистый слой,Да,структура,Горизонтальные и вертикальные связи,возможные; дискретные; индивидуальные,Связь с почвоведением
6,Подобрать почвопокровные растения,Да,структура,Защита почвы,возможные; дискретные; индивидуальные,Уникальная функция — подавление сорняков
7,Добавить вьющиеся виды,Да,структура,Использование вертикального пространства,возможные; дискретные; индивидуальные,Аналог в городском садоводстве
8,Интегрировать корнеплоды,Да,структура,Многоуровневое землепользование,возможные; дискретные; индивидуальные,Уникальное сочетание разных слоёв
9,Включить азотфиксирующие растения,Да,функция,Биологическое удобрение,возможные; дискретные; индивидуальные,Связь с почвоведением
10,Спроектировать гильдии растений,Да,структура,Симбиоз видов,возможные; дискретные; индивидуальные,Перекрывается с поддоменом 'Гилд дизайн'
11,Высадка и мульчирование,Да,тело/материя,Сохранение влаги,необходимые; постепенные; индивидуальные,Аналог в водных системах
12,"Создание водосберегающих сооружений (ровы, свейлы)",Да,технология/инфраструктура,Удержание влаги,возможные; постепенные; технологические,Связано с поддоменом 'Водные системы'
13,Обрезка и коппицирование,Да,поведение,Управление ростом,возможные; цикличные; индивидуальные,Аналог в садоводстве
14,Планирование сбора урожая,Да,время/ритм,Годичный цикл,возможные; цикличные; индивидуальные,Перекрывается с экономикой
15,Настройка леса к изменениям (сукцессия),Да,отношения,Принцип динамического равновесия,условно; постепенные; коллективные,Уникально в экосистемах
