№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,establish official social media account,Да,дискурс,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
2,post official statements on social media,Да,дискурс,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
3,engage followers via comments,Да,отношения,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
4,monitor social media sentiment,Да,дискурс,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
5,run social media campaigns,Да,дискурс,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
6,live stream diplomatic events,Да,дискурс,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
7,host virtual meetings,Да,отношения,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
8,conduct digital press conference,Да,технология/инфраструктура,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
9,use video conferencing for negotiations,Да,отношения,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
10,use secure messaging platforms,Да,технология/инфраструктура,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
11,encrypt diplomatic communications,Да,отношения,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
12,authenticate documents with blockchain,Да,отношения,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
13,apply digital signatures to agreements,Да,технология/инфраструктура,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
14,maintain digital knowledge repositories,Да,технология/инфраструктура,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
15,use data analytics for sentiment analysis,Да,технология/инфраструктура,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
16,deploy AI chatbots for public queries,Да,отношения,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
17,monitor cyber threats to missions,Да,технология/инфраструктура,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
18,deliver digital training for diplomats,Да,дискурс,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
19,use digital calendars for event management,Да,технология/инфраструктура,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
20,use e-learning platforms for training,Да,технология/инфраструктура,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
21,use digital translation tools,Да,технология/инфраструктура,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
22,utilize digital mapping for analysis,Да,технология/инфраструктура,коннективность и прозрачность,мгновенный/коллективный/технологический,уникален для цифровой дипломатии
