№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создание метаданных,Да,Структура,Упорядоченность,Активные,Аналоги: программирование (инициализация)
2,Нормализация метаданных,Да,Структура,Устойчивость,Активные,Аналоги: медицина (нормативы)
3,Стандартизация метаданных,Да,Структура,Ясность,Активные,Аналоги: юриспруденция
4,Маппинг метаданных,Да,Отношения,Связность,Активные,Аналоги: информатика (mapping)
5,Интеграция метаданных,Да,Отношения,Гармония,Активные,Аналоги: инженерия
6,Обогащение метаданных,Да,Содержание,Экспрессия,Активные,Аналоги: психолингвистика
7,Очистка метаданных,Да,Структура,Ясность,Активные,Аналоги: статистика (data cleaning)
8,Валидация метаданных,Да,Структура,Ясность,Активные,Аналоги: программирование (validation)
9,Версионирование метаданных,Да,Структура,Историческая устойчивость,Постепенные,Аналоги: софтвер-инженерия (git)
10,Миграция метаданных,Да,Структура,Адаптация,Активные,Аналоги: информатика (data migration)
11,Агрегация метаданных,Да,Структура,Экономия,Активные,Аналоги: статистика
12,Дезамбигуизация метаданных,Да,Содержание,Ясность,Активные,Аналоги: лингвистика
13,Связывание метаданных (linked data),Да,Отношения,Связность,Активные,Аналоги: семантическая паутина
14,Семантизация метаданных,Да,Содержание,Гармония,Активные,Аналоги: семантика
15,Автоматическое извлечение метаданных,Да,Содержание,Экономия,Активные,Аналоги: компьютерная лингвистика
16,Автоматическая генерация метаданных,Да,Содержание,Экономия,Активные,Аналоги: ИИ
17,Мультиязычные метаданные,Да,Содержание,Адаптация,Активные,Аналоги: билингвизм
18,Контекстуализация метаданных,Да,Содержание,Ассоциация,Активные,Аналоги: прагматика
19,Референциальные метаданные,Да,Отношения,Устойчивость,Активные,Аналоги: библиометрия
20,Динамические метаданные,Да,Структура,Гибкость,Активные,Аналоги: информатика (real-time data)
21,Метаданные о доступе (rights metadata),Да,Содержание,Регуляция,Активные,Аналоги: юриспруденция (права)
22,Метаданные о сохранности (preservation metadata),Да,Содержание,Устойчивость,Активные,Аналоги: архивоведение
23,Административные метаданные,Да,Содержание,Регуляция,Активные,Аналоги: менеджмент
24,Технические метаданные,Да,Содержание,Регуляция,Активные,Аналоги: инженерия
25,Дескриптивные метаданные,Да,Содержание,Ясность,Активные,Аналоги: лингвистика
26,Структурные метаданные,Да,Структура,Иерархия,Активные,Аналоги: архитектура
27,Происхождение метаданных (provenance),Да,Отношения,Историческая устойчивость,Активные,Аналоги: история
28,Метаданные событий (event metadata),Да,Содержание,Историческая динамика,Активные,Аналоги: хроника
29,Метаданные о версиях контента,Да,Содержание,Историческая устойчивость,Активные,Аналоги: ИТ (версии)
30,Метаданные пользователей,Да,Содержание,Социальная динамика,Активные,Аналоги: социология
31,Метаданные о цитировании,Да,Содержание,Референция,Активные,Аналоги: библиометрия
32,Интероперабельные метаданные,Да,Структура,Связность,Активные,Аналоги: инженерия
33,Машиночитаемые метаданные,Да,Структура,Устойчивость,Активные,Аналоги: информатика
34,Человекоориентированные метаданные,Да,Содержание,Ясность,Активные,Аналоги: психология
35,Гибридные метаданные,Да,Структура,Гармония,Активные,Аналоги: социотехника
