№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Варка в воде,Нет,"структура; состояние","теплопередача через жидкость при 100°C","необходимые; постепенно; коллективные","традиционная кухня"
2,Варка на пару,Нет,"структура; состояние","нагрев через насыщенный пар","необходимые; постепенно; коллективные","азиатская кухня"
3,Варка в собственном соку,Нет,"структура; состояние","нагрев с выделением влаги из продукта","необходимые; постепенно; коллективные","кулинария"
4,Варка в молоке,Нет,"структура; состояние","теплопередача через молочную среду","необходимые; постепенно; коллективные","кулинария"
5,Варка в вине,Нет,"структура; состояние","ароматизация и денатурация через алкоголь","необходимые; постепенно; коллективные","французская кухня"
6,Варка в бульоне,Нет,"структура; состояние","жидкая основа усиливает вкус","необходимые; постепенно; коллективные","кулинария"
7,Томление,Нет,"структура; состояние","длительный нагрев при низкой t","необходимые; постепенно; коллективные","традиционная кухня"
8,Тушение,Нет,"структура; состояние","сочетание жарки и варки в малом количестве жидкости","необходимые; постепенно; коллективные","кулинария"
9,Жарка на сковороде,Нет,"структура; состояние","теплопередача через раскалённый жир","необходимые; мгновенные; коллективные","кулинария"
10,Жарка во фритюре,Нет,"структура; состояние","погружение в раскалённое масло","необходимые; мгновенные; коллективные","кулинария"
11,Жарка во воке,Нет,"структура; состояние","высокая t, быстрое перемешивание","необходимые; мгновенные; коллективные","азиатская кухня"
12,Гриль,Нет,"структура; состояние","прямой нагрев через решётку","необходимые; мгновенные; коллективные","кулинария"
13,Барбекю,Нет,"структура; состояние","нагрев через угли и дым","необходимые; постепенно; коллективные","американская кухня"
14,Запекание в духовке,Нет,"структура; состояние","сухой нагрев горячим воздухом","необходимые; постепенно; коллективные","кулинария"
15,Запекание в тандыре,Нет,"структура; состояние","нагрев в глиняной печи при высокой t","необходимые; постепенно; коллективные","традиционная кухня"
16,Запекание в золе,Нет,"структура; состояние","нагрев через тепло золы","необходимые; постепенно; коллективные","архаическая кухня"
17,Запекание в фольге,Нет,"структура; состояние","изоляция продукта в фольге","необходимые; постепенно; коллективные","современная кухня"
18,Запекание в пергаменте (en papillote),Нет,"структура; состояние","пар внутри бумаги усиливает аромат","необходимые; постепенно; коллективные","французская кухня"
