№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Генерация идей (идеация),Да,содержание,Мозговой штурм,коллективные,Перекликается с творческими практиками
2,Фиксация идей,Да,память/наследие,Система учета идей,индивидуальные/коллективные,Связано с управлением знаниями
3,Отбор идей,Да,отношения,Критерии отбора,дискретные,Аналогично фильтрации рисков
4,Формирование бизнес-модели,Да,институты,Business Model Canvas,индивидуальные/коллективные,Перекликается с предпринимательством
5,Финансовое обоснование инновации,Да,экономика/обмен,NPV/ROI анализ,дискретные/континуальные,Связано с проектами
6,Разработка прототипов,Да,технология/инфраструктура,Прототипирование,дискретные,Аналогично буто в танцах
7,Пилотное тестирование,Да,состояние,MVP,дискретные/континуальные,Связано с предпринимательством
8,Защита интеллектуальной собственности,Условно,нормы,Патентное право,индивидуальные,Уникальный процесс
9,Формирование инновационной культуры,Нет,нормы,Теория организационной культуры,постепенные,Связано с организационным поведением
10,Балансирование портфеля инноваций,Да,экономика/обмен,Матрица BCG,цикличные,Аналогично стратегическому портфелю
11,Кросс-функциональное сотрудничество,Да,отношения,Design Sprint,коллективные,Связано с проектами и HR
12,Оценка рисков инноваций,Да,состояние,Stage-Gate модель,дискретные/континуальные,Перекликается с рисковым менеджментом
13,Масштабирование успешных инноваций,Условно,структура,Lean Startup,постепенные,Связано с предпринимательством
14,Управление знаниями,Да,память/наследие,SECI-модель,цикличные,Аналогично организационному обучению
15,Поддержание культуры инноваций,Нет,нормы,Инновационный климат,постепенные,Связано с организационным поведением
