№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Диагностика движения,Да,функция,Анализ паттернов клиента,"постепенные, индивидуальные",Уникально для терапии
2,Зеркалирование клиента,Да,отношения,Отражение движений для эмпатии,"мгновенные, коллективные",Уникально
3,Выражение эмоций,Да,состояние,Невербальная экспрессия,"мгновенные, индивидуальные",Аналоги: буто
4,Наблюдение паттернов,Да,функция,Отслеживание повторяющихся движений,"постепенные, индивидуальные",Уникально
5,Импровизационная терапия,Да,поведение,Использование свободного движения для лечения,"мгновенные, индивидуальные",Аналоги: импровизация
6,Групповая синхронизация,Да,отношения,Установка общих ритмов,"непрерывные, коллективные",Уникально для терапии
7,Исследование границ,Да,идентичность/границы,Определение личного пространства,"непрерывные, индивидуальные",Аналоги: контактная импровизация
8,Метафоры движения,Да,значения,Использование образов для понимания,"мгновенные, индивидуальные",Уникально
9,Телесная осознанность,Да,состояние,Связь тело‑ум,"непрерывные, индивидуальные",Аналоги: соматика
10,Контейнирование,Да,отношения,Создание безопасного пространства,"постепенные, коллективные",Уникально
11,Координация тела и ума,Да,функция,Интеграция движений и эмоций,"постепенные, индивидуальные",Аналоги: соматика
12,Переобучение движений,Да,функция,Замена деструктивных паттернов,"постепенные, индивидуальные",Уникально
13,Интеграция травмы,Нет,состояние,Освобождение и переработка травмы,"постепенные, индивидуальные",Уникально
14,Обратная связь,Да,отношения,Вербализация ощущений и чувств,"постепенные, коллективные",Уникально
15,Завершение сеанса,Да,структура,Ритуал окончания,"дискретные, коллективные",Уникально
