№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,исследование сервиса,Нет,технология/инфраструктура,принцип доступности,коллективные,Аналогичный
2,создание сервис-блюпринта,Да,тело/материя,принцип устойчивости,дискретные,Аналогичный
3,идентификация точек соприкосновения,Да,значения,принцип «прежде человека»,возможные,Аналогичный
4,создание journey map,Условно,структура,Gestalt принцип группировки,индивидуальные,Аналогичный
5,анализ всех каналов,Нет,время/ритм,закон Фиттса,неформальные,Аналогичный
6,определение роли акторов,Условно,состояние,эффект эстетики-юзабилити,эндогенные,Аналогичный
7,построение карты взаимодействий,Условно,символы,Gestalt принцип группировки,латентные,Уникальный
8,проработка backstage процессов,Нет,время/ритм,закон Фиттса,постепенные,Уникальный
9,проектирование omni-channel,Да,идентичность/границы,принцип иерархии,возможные,Аналогичный
10,создание сценариев услуг,Нет,дискурс,принцип «прежде человека»,возможные,Уникальный
11,выявление проблемных зон,Условно,экономика/обмен,принцип обратной связи,эндогенные,Аналогичный
12,координация stakeholders,Да,отношения,принцип иерархии,экзогенные,Аналогичный
13,определение KPI сервиса,Да,функция,эвристика Нильсена,латентные,Уникальный
14,разработка стандартов обслуживания,Условно,поведение,закон Хика,постепенные,Аналогичный
15,оптимизация процессов,Нет,структура,закон Хика,институциональные,Уникальный
16,подготовка сервисных инструкций,Да,технология/инфраструктура,принцип устойчивости,латентные,Аналогичный
17,управление ожиданиями клиентов,Условно,идентичность/границы,принцип целостности,неформальные,Аналогичный
18,проектирование цепочки ценности,Да,технология/инфраструктура,принцип устойчивости,институциональные,Уникальный
19,определение моментов истины,Да,нормы,эвристика Нильсена,дискретные,Уникальный
20,фасилитация co-creation workshops,Условно,время/ритм,принцип устойчивости,возможные,Уникальный
21,создание скриптов взаимодействия,Условно,идентичность/границы,закон Хика,латентные,Уникальный
22,формирование checklists для сотрудников,Нет,содержание,эвристика Нильсена,необходимые,Уникальный
23,подготовка обучающих материалов,Условно,отношения,принцип устойчивости,цикличные,Аналогичный
24,анализ пропусков сервиса,Да,символы,эффект эстетики-юзабилити,индивидуальные,Аналогичный
25,улучшение отзывов клиентов,Да,функция,принцип целостности,индивидуальные,Уникальный
26,выявление зависимостей ресурсов,Условно,идентичность/границы,закон Фиттса,континуальные,Аналогичный
27,проектирование обратной связи,Да,время/ритм,закон Хика,континуальные,Уникальный
28,управление очередями,Нет,дискурс,эвристика Нильсена,дискретные,Уникальный
29,создание сервиса поддержки,Да,состояние,принцип «прежде человека»,континуальные,Уникальный
30,проектирование возврата,Да,дискурс,эвристика Нильсена,постепенные,Аналогичный
31,обеспечение соответствия бренд-обещаниям,Условно,идентичность/границы,Gestalt принцип группировки,эндогенные,Уникальный
32,создание бэклог улучшений,Да,поведение,принцип доступности,институциональные,Аналогичный
33,контроль качества сервиса,Нет,структура,эффект эстетики-юзабилити,возможные,Аналогичный
34,совместное тестирование,Условно,дискурс,принцип иерархии,индивидуальные,Уникальный
35,планирование внедрения,Условно,память/наследие,принцип целостности,каскадные,Аналогичный
36,создание маршрутов клиентов,Нет,функция,эффект эстетики-юзабилити,латентные,Аналогичный
37,оценка жизненного цикла услуги,Да,отношения,принцип целостности,мгновенные,Аналогичный
38,управление взаимодействием каналов,Условно,функция,закон Фиттса,возможные,Уникальный
39,обновление сценариев,Нет,тело/материя,эвристика Нильсена,каскадные,Уникальный
40,разработка процедуры эскалации,Условно,состояние,принцип обратной связи,институциональные,Аналогичный
41,сбор обратной связи персонала,Да,технология/инфраструктура,принцип целостности,постепенные,Аналогичный
42,обеспечение персонализации сервиса,Да,институты,принцип устойчивости,континуальные,Уникальный
43,проектирование KPI команд,Условно,содержание,эффект эстетики-юзабилити,постепенные,Уникальный
44,интеграция цифровых и физических точек,Условно,структура,принцип «прежде человека»,неформальные,Уникальный
45,управление ресурсами,Нет,содержание,принцип целостности,институциональные,Аналогичный
46,оптимизация времени ожидания,Да,символы,эффект эстетики-юзабилити,эндогенные,Аналогичный
47,обновление сервис-блюпринта,Условно,пространство,принцип устойчивости,экзогенные,Уникальный
