№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,формирование видения UX,Условно,технология/инфраструктура,принцип устойчивости,эндогенные,Аналогичный
2,определение бизнес-целей,Да,экономика/обмен,принцип доступности,необходимые,Аналогичный
3,анализ рынка,Нет,значения,принцип целостности,цикличные,Аналогичный
4,оценка конкурентного ландшафта,Условно,отношения,принцип модульности,явные,Аналогичный
5,разработка метрик,Условно,технология/инфраструктура,принцип иерархии,каскадные,Аналогичный
6,определение целевой аудитории,Да,значения,эвристика Нильсена,институциональные,Уникальный
7,создание стратегического плана,Нет,экономика/обмен,закон Фиттса,явные,Уникальный
8,приоритизация функций,Да,дискурс,принцип целостности,мгновенные,Уникальный
9,разработка карты пути развития,Да,экономика/обмен,принцип доступности,возможные,Аналогичный
10,создание дорожной карты,Условно,дискурс,принцип обратной связи,коллективные,Уникальный
11,привлечение stakeholders,Да,содержание,принцип устойчивости,дискретные,Уникальный
12,обоснование инвестиций,Условно,технология/инфраструктура,принцип доступности,мгновенные,Уникальный
13,согласование с бренд-стратегией,Да,поведение,принцип обратной связи,цикличные,Уникальный
14,анализ рисков,Условно,дискурс,принцип устойчивости,мгновенные,Аналогичный
15,определение критериев успеха,Нет,институты,Gestalt принцип группировки,экзогенные,Аналогичный
16,сбор требований от отделов,Условно,память/наследие,принцип «прежде человека»,коллективные,Уникальный
17,создание KPIs,Нет,время/ритм,закон Фиттса,эндогенные,Уникальный
18,согласование сроков,Да,экономика/обмен,эффект эстетики-юзабилити,индивидуальные,Аналогичный
19,обучение команды стратегии,Да,отношения,принцип устойчивости,индивидуальные,Уникальный
20,корректировка стратегии,Да,поведение,эвристика Нильсена,континуальные,Уникальный
21,анализ пользовательского сегмента,Условно,символы,эвристика Нильсена,цикличные,Аналогичный
22,определение рынка решений,Условно,пространство,закон Хика,экзогенные,Аналогичный
23,управление ожиданиями руководства,Да,время/ритм,принцип доступности,экзогенные,Уникальный
24,оценка ресурсных затрат,Условно,время/ритм,принцип «прежде человека»,эндогенные,Аналогичный
25,интеграция исследований в стратегию,Нет,состояние,закон Фиттса,институциональные,Аналогичный
26,контроль выполнения,Нет,тело/материя,Gestalt принцип группировки,дискретные,Аналогичный
27,создание презентаций для руководства,Нет,символы,закон Фиттса,явные,Аналогичный
28,планирование коммуникаций,Да,отношения,эффект эстетики-юзабилити,дискретные,Аналогичный
29,разработка governance структуры,Условно,экономика/обмен,принцип обратной связи,латентные,Уникальный
30,постоянный мониторинг результатов,Условно,нормы,принцип обратной связи,цикличные,Аналогичный
31,планирование внедрения изменений,Да,память/наследие,Gestalt принцип группировки,неформальные,Аналогичный
32,пересмотр стратегии,Условно,технология/инфраструктура,принцип обратной связи,эндогенные,Уникальный
33,формирование критериев выбора проектов,Да,тело/материя,принцип «прежде человека»,дискретные,Уникальный
34,оценка соблюдения стратегии,Нет,технология/инфраструктура,принцип «прежде человека»,возможные,Аналогичный
35,управление зависимостями,Да,структура,принцип устойчивости,явные,Уникальный
36,анализ жизненного цикла продуктов,Да,институты,принцип устойчивости,континуальные,Уникальный
37,управление портфолио,Нет,экономика/обмен,принцип иерархии,мгновенные,Аналогичный
38,создание регламентов,Условно,состояние,принцип обратной связи,явные,Уникальный
39,построение системы обратной связи,Условно,значения,Gestalt принцип группировки,постепенные,Уникальный
40,продвижение user-centric культуры,Да,дискурс,эвристика Нильсена,необходимые,Уникальный
41,разработка бюджетов,Условно,память/наследие,принцип модульности,экзогенные,Аналогичный
42,оценка ROI,Да,структура,принцип устойчивости,континуальные,Уникальный
43,обеспечение межфункциональной коммуникации,Условно,функция,принцип устойчивости,дискретные,Уникальный
44,подготовка отчета о стратегии,Да,значения,эффект эстетики-юзабилити,латентные,Уникальный
