№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,интеграция сенсорной информации— ингибиция,Да,нормы,эвристика обратной связи,возможные; индивидуальные; латентные; цикличные,Аналоги в других системах
2,терморегуляторные циклы,Нет,экономика/обмен,принцип приспособления,экзогенные; возможные,Уникальный процесс
3,позиционирование головы— активация,Да,технология/инфраструктура,эвристика прогнозирования,экзогенные; каскадные; мгновенные; явные,Аналоги в других системах
4,когерентность сигналов,Нет,отношения,принцип пластичности,явные; каскадные; эндогенные,Аналоги в других системах
5,проприоцептивная обратная связь,Нет,функция,принцип приспособления,экзогенные; индивидуальные; явные; континуальные,Уникальный процесс
6,ритмы гамма-волны— регуляция,Условно,институты,принцип пластичности,цикличные; возможные; эндогенные; латентные,Аналоги в других системах
7,динамическое балансирование— модуляция,Условно,поведение,эвристика стохастического резонанса,необходимые; континуальные; неформальные; постепенные,Аналоги в других системах
8,организация слухового пути,Условно,время/ритм,принцип приспособления,латентные; постепенные,Аналоги в других системах
9,модуляция сетевой возбудимости— активация,Нет,содержание,принцип пластичности,индивидуальные; экзогенные; каскадные,Уникальный процесс
10,активация зеркальных нейронов— модуляция,Да,тело/материя,закон химической кинетики,коллективные; цикличные; экзогенные; необходимые,Схожие процессы существуют
11,барорефлекс— регуляция,Нет,состояние,эвристика прогнозирования,необходимые; мгновенные; институциональные; континуальные,Уникальный процесс
12,экстракция особенностей— активация,Нет,экономика/обмен,закон сохранения энергии,цикличные; институциональные; эндогенные; экзогенные,Схожие процессы существуют
13,пространственное картирование— ингибиция,Условно,идентичность/границы,доктрина нейрона,латентные; явные; коллективные; постепенные,Уникальный процесс
14,вход-выходные функции нейронов— нарушение,Условно,символы,принцип пластичности,институциональные; постепенные; возможные,Уникальный процесс
15,барорефлекс,Нет,структура,законы электрофизиологии,возможные; каскадные; мгновенные; латентные,Уникальный процесс
16,вегетативные рефлексы,Да,функция,эвристика прогнозирования,дискретные; каскадные; цикличные; экзогенные,Схожие процессы существуют
17,нейронный отклик на стимулы— активация,Да,функция,закон химической кинетики,цикличные; дискретные,Аналоги в других системах
18,нейронные генераторы осцилляций— ингибиция,Да,поведение,эвристика обратной связи,экзогенные; неформальные; мгновенные; возможные,Аналоги в других системах
19,функциональная интеграция— регуляция,Условно,содержание,принцип приспособления,цикличные; неформальные; институциональные,Аналоги в других системах
20,формирование ритма дыхания— модуляция,Нет,технология/инфраструктура,эвристика обратной связи,возможные; латентные; неформальные,Уникальный процесс
21,функциональная интеграция— модуляция,Нет,отношения,эвристика обратной связи,эндогенные; неформальные,Схожие процессы существуют
