№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Контракция и релиз,Да,функция,Принцип сокращения и расслабления мышц (Грэм),"цикличные, индивидуальные",Уникально для современного танца
2,Работа на полу,Да,пространство,Использование пола как партнёра,"постепенные, индивидуальные",Аналоги: контактная импровизация
3,Падение и восстановление,Да,функция,Принцип отдачи гравитации,"дискретные, индивидуальные",Аналоги: контактная импровизация
4,Спираль корпуса,Да,структура,Торсионное движение позвоночника,"непрерывные, индивидуальные",Аналоги: буто
5,Сдвиг веса,Да,функция,Центр тяжести как двигатель,"непрерывные, индивидуальные",Аналоги: контактная импровизация
6,Импровизация,Да,поведение,Свободный выбор движений,"мгновенные, индивидуальные",Аналоги: импровизационный танец
7,Освоение техники Грэм,Нет,функция,Структурированное обучение современной технике,"постепенные, индивидуальные",Уникально для современного танца
8,Выход из равновесия,Да,состояние,Намеренное нарушение баланса,"дискретные, индивидуальные",Аналоги: буто
9,Использование босых ног,Да,тело/материя,Земляное заземление,"непрерывные, индивидуальные",Аналоги: народный танец
10,Дыхательная динамика,Да,состояние,Дыхание как источник ритма,"непрерывные, индивидуальные",Аналоги: соматические практики
11,Перекат через позвоночник,Да,функция,Освобождение сегментов позвоночника,"непрерывные, индивидуальные",Аналоги: соматика
12,Параллельное положение ног,Нет,структура,Отказ от выворота,"постепенные, индивидуальные",Уникально для современного танца
13,Использование гравитации,Да,функция,Принятие веса для усиления движения,"непрерывные, индивидуальные",Аналоги: контактная импровизация
14,Контраст острых и плавных движений,Да,поведение,Через динамический диапазон,"дискретные, индивидуальные",Аналоги: танцевальная композиция
15,Коллаборация с музыкантами,Да,отношения,Совместное создание звука и движения,"коллективные, возможные",Аналоги: народный танец
