№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Колебание струны,Да,тело/материя,Гармонические колебания,"необходимые, мгновенные, эндогенные",Основной источник звука
2,Резонанс,Условно,тело/материя,Резонанс,"постепенные, континуальные",Усиление определённых частот
3,Интерференция волн,Да,пространство,Принцип суперпозиции,"мгновенные, континуальные",Сложение и вычитание волн
4,Стоячая волна,Да,пространство,Гармонический ряд,"мгновенные, дискретные",Устойчивые режимы колебаний
5,Обертоновый ряд,Да,содержание,Обертоновая серия,"мгновенные, континуальные",Надтона
6,Акустическое демпфирование,Да,состояние,Демпфирование,"постепенные, индивидуальные",Затухание колебаний
7,Реверберация,Нет,пространство,Отражение звука,"постепенные, коллективные",Хвост звучания
8,Эхо,Нет,пространство,Звуковая задержка,"мгновенные, индивидуальные",Повтор звука
9,Фильтрация частот,Да,содержание,Фильтрация,"дискретные/континуальные, индивидуальные",Отбор спектра
10,Амплитудная модуляция,Да,состояние,Модуляция,"мгновенные, индивидуальные",Изменение амплитуды
11,Частотная модуляция,Да,состояние,Модуляция,"мгновенные, индивидуальные",Изменение частоты
12,Дисперсия,Нет,пространство,Рассеивание,"постепенные, континуальные",Распределение энергии
13,Поглощение звука,Нет,тело/материя,Акустическое поглощение,"постепенные, континуальные",Потеря энергии
14,Вариация звукового давления,Да,состояние,Звуковая волна,"мгновенные, континуальные",Колебания давления
15,Эффект Доплера,Да,пространство/время,Доплер,"мгновенные, индивидуальные",Изменение частоты при движении
16,Удвоение частоты (октавный сдвиг),Да,содержание,Гармоническая связь,"мгновенные, дискретные",Удвояет высоту
17,Динамическая компрессия,Да,состояние,Компрессия,"мгновенные, индивидуальные",Снижает динамический диапазон
18,Экспандирование,Да,состояние,Экспандер,"мгновенные, индивидуальные",Увеличивает динамический диапазон
19,Шумоподавление,Да,содержание,Фильтрация,"постепенные, индивидуальные",Убирает шумы
20,Фокусировка звука (beamforming),Да,пространство,Направленность,"мгновенные, коллективные",Управление направлением распространения
