№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Аргумент через миссию компании,Условно,"нормы; идентичность; дискурс","миссия как высшее оправдание","возможные; постепенно; коллективные","корпоративная культура"
2,Аргумент через видение,Условно,"нормы; время; дискурс","будущее компании как довод","возможные; постепенно; коллективные","стратегический менеджмент"
3,Аргумент через ценности,Условно,"нормы; идентичность; дискурс","ценности усиливают позицию","возможные; мгновенные; коллективные","HR; бренд"
4,Аргумент через бренд,Условно,"идентичность; символы; дискурс","сила бренда как довод","возможные; мгновенные; коллективные","маркетинг"
5,Аргумент через логотип,Условно,"символы; идентичность; дискурс","знак компании усиливает доверие","возможные; мгновенные; коллективные","PR"
6,Аргумент через слоган,Условно,"символы; дискурс","лозунг как довод","возможные; мгновенные; коллективные","маркетинг"
7,Аргумент через историю компании,Условно,"память; идентичность; дискурс","традиция и наследие как довод","возможные; постепенно; коллективные","корпоративная культура"
8,Аргумент через харизму CEO,Условно,"идентичность; дискурс","лидер как довод","возможные; мгновенные; коллективные","лидерство"
9,Аргумент через топ-менеджеров,Условно,"идентичность; дискурс","экспертиза руководства усиливает позицию","возможные; мгновенные; коллективные","корпоративная культура"
10,Аргумент через сотрудников-амбассадоров,Условно,"идентичность; дискурс","сотрудники как источник доверия","возможные; мгновенные; коллективные","HR; PR"
11,Аргумент через корпоративную культуру,Условно,"нормы; идентичность; дискурс","«как мы работаем» усиливает","возможные; постепенно; коллективные","организационная психология"
12,Аргумент через успехи компании,Условно,"память; дискурс","достижения усиливают довод","возможные; мгновенные; коллективные","PR"
13,Аргумент через неудачи (lessons learned),Условно,"память; дискурс","«мы учимся на ошибках» усиливает","возможные; постепенно; коллективные","корпоративная культура"
14,Аргумент через инновации,Условно,"технология; дискурс","новшества усиливают имидж","возможные; постепенно; коллективные","маркетинг; R&D"
15,Аргумент через ESG,Условно,"нормы; дискурс","экология/соц. ответственность как довод","возможные; постепенно; коллективные","корпоративная культура"
16,Аргумент через CSR,Условно,"нормы; дискурс","социальные проекты как довод","возможные; постепенно; коллективные","PR"
17,Аргумент через устойчивое развитие,Условно,"нормы; дискурс","SDG как довод","возможные; постепенно; коллективные","ESG"
18,Аргумент через отчётность,Да,"содержание; дискурс","отчёты усиливают доверие","возможные; мгновенные; коллективные","корпоративная культура"
19,Аргумент через аудит,Да,"нормы; институты; дискурс","внешняя проверка как довод","возможные; постепенно; коллективные","финансы"
20,Аргумент через независимого аудитора,Да,"нормы; институты; дискурс","третья сторона усиливает","возможные; мгновенные; коллективные","PR; финансы"
21,Аргумент через прозрачность,Условно,"нормы; дискурс","открытость усиливает","возможные; мгновенные; коллективные","корпоративная культура"
22,Аргумент через compliance,Условно,"нормы; институты; дискурс","соблюдение правил усиливает","возможные; мгновенные; коллективные","право; бизнес"
23,Аргумент через кодекс этики,Условно,"нормы; дискурс","этика как довод","возможные; мгновенные; коллективные","корпоративная культура"
24,Аргумент через diversity & inclusion,Условно,"нормы; идентичность; дискурс","разнообразие усиливает позицию","возможные; постепенно; коллективные","HR"
25,Аргумент через корпоративное обучение,Условно,"структура; дискурс","обучение как довод","возможные; постепенно; коллективные","HR"
26,Аргумент через KPI,Да,"структура; дискурс","ключевые показатели как довод","возможные; мгновенные; коллективные","менеджмент"
27,Аргумент через ROI,Да,"структура; дискурс","окупаемость как довод","возможные; мгновенные; коллективные","финансы"
28,Аргумент через рост прибыли,Да,"экономика; дискурс","прибыль как довод","возможные; мгновенные; коллективные","финансы"
29,Аргумент через рост выручки,Да,"экономика; дискурс","выручка как довод","возможные; мгновенные; коллективные","финансы"
30,Аргумент через сокращение издержек,Да,"экономика; дискурс","снижение затрат как довод","возможные; мгновенные; коллективные","финансы"
31,Аргумент через эффективность,Да,"экономика; структура; дискурс","эффективность усиливает довод","возможные; мгновенные; коллективные","менеджмент"
32,Аргумент через инновационные продукты,Условно,"технология; дискурс","новый продукт усиливает позицию","возможные; мгновенные; коллективные","маркетинг"
33,Аргумент через R&D,Условно,"технология; институты; дискурс","инвестиции в исследования усиливают","возможные; постепенно; коллективные","наука; бизнес"
34,Аргумент через партнёрства,Условно,"отношения; дискурс","сильные партнёры усиливают","возможные; постепенно; коллективные","бизнес"
35,Аргумент через альянсы,Условно,"отношения; дискурс","альянс как довод","возможные; постепенно; коллективные","бизнес"
36,Аргумент через клиентский успех,Условно,"идентичность; дискурс","истории клиентов усиливают","возможные; мгновенные; коллективные","маркетинг"
37,Аргумент через NPS,Да,"структура; дискурс","оценка лояльности как довод","возможные; мгновенные; коллективные","маркетинг; HR"
