№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Prenatal neural development,Нет,время/ритм,принцип нейронной пластичности,мгновенные/постепенные,аналогичен другим
2,Attachment formation,Условно,время/ритм,принцип клинической эффективности,явные/латентные,уникальный
3,Sensorimotor exploration,Нет,время/ритм,принцип памяти,дискретные/континуальные,аналогичен другим
4,Object permanence acquisition,Нет,время/ритм,принцип восприятия,дискретные/континуальные,аналогичен другим
5,Language acquisition,Условно,время/ритм,принцип развития,дискретные/континуальные,аналогичен другим
6,Symbolic play,Условно,время/ритм,принцип индивидуальных различий,мгновенные/постепенные,аналогичен другим
7,Preoperational thinking,Условно,время/ритм,принцип клинической эффективности,мгновенные/постепенные,аналогичен другим
8,Egocentrism reduction,Да,время/ритм,принцип мотивационного баланса,дискретные/континуальные,аналогичен другим
9,Concrete operational reasoning,Да,время/ритм,принцип духовного развития,явные/латентные,аналогичен другим
10,Conservation understanding,Условно,время/ритм,принцип восприятия,институциональные/неформальные,аналогичен другим
11,Formal operational reasoning,Нет,время/ритм,принцип эмоциональной гомеостаза,цикличные/каскадные,уникальный
12,Identity formation,Условно,время/ритм,принцип социальной взаимности,мгновенные/постепенные,аналогичен другим
13,Moral reasoning progression,Да,время/ритм,принцип когнитивной экономии,мгновенные/постепенные,уникальный
14,Adolescent risk taking,Да,время/ритм,принцип клинической эффективности,цикличные/каскадные,аналогичен другим
15,Peer influence adaptation,Да,время/ритм,принцип социальной взаимности,индивидуальные/коллективные,аналогичен другим
16,Puberty adjustment,Да,время/ритм,принцип осознанности,индивидуальные/коллективные,аналогичен другим
17,Socioemotional selectivity,Нет,время/ритм,принцип развития,эндогенные/экзогенные,уникальный
18,Theory of mind development,Нет,время/ритм,принцип социальной взаимности,цикличные/каскадные,уникальный
19,Attachment security maintenance,Условно,время/ритм,принцип мотивационного баланса,цикличные/каскадные,уникальный
20,Executive function maturation,Условно,время/ритм,принцип индивидуальных различий,явные/латентные,аналогичен другим
21,Autonomy seeking,Условно,время/ритм,принцип эмоциональной гомеостаза,мгновенные/постепенные,уникальный
22,Gender role internalization,Да,время/ритм,принцип клинической эффективности,эндогенные/экзогенные,аналогичен другим
23,Self‑concept differentiation,Нет,время/ритм,принцип индивидуальных различий,дискретные/континуальные,уникальный
24,Language explosion,Нет,время/ритм,принцип памяти,дискретные/континуальные,аналогичен другим
25,Metalinguistic awareness,Условно,время/ритм,принцип мотивационного баланса,необходимые/возможные,уникальный
26,Symbolic reasoning,Условно,время/ритм,принцип когнитивной экономии,дискретные/континуальные,аналогичен другим
27,Perspective taking,Условно,время/ритм,принцип эмоциональной гомеостаза,явные/латентные,аналогичен другим
28,Emotional regulation,Да,время/ритм,принцип восприятия,дискретные/континуальные,аналогичен другим
29,Goal setting,Да,время/ритм,принцип развития,индивидуальные/коллективные,аналогичен другим
30,Identity exploration,Условно,время/ритм,принцип мотивационного баланса,институциональные/неформальные,уникальный
31,Career choice,Да,время/ритм,принцип памяти,необходимые/возможные,аналогичен другим
32,Relationship formation,Да,время/ритм,принцип памяти,дискретные/континуальные,аналогичен другим
33,Parental role adoption,Условно,время/ритм,принцип эмоциональной гомеостаза,индивидуальные/коллективные,аналогичен другим
34,Midlife reassessment,Да,время/ритм,принцип памяти,явные/латентные,аналогичен другим
35,Cognitive decline coping,Условно,время/ритм,принцип мотивационного баланса,необходимые/возможные,аналогичен другим
36,Wisdom acquisition,Условно,время/ритм,принцип клинической эффективности,необходимые/возможные,аналогичен другим
37,Life review,Да,время/ритм,принцип нейронной пластичности,мгновенные/постепенные,аналогичен другим
38,Successful aging,Условно,время/ритм,принцип индивидуальных различий,необходимые/возможные,уникальный
39,Resilience building,Условно,время/ритм,принцип осознанности,институциональные/неформальные,аналогичен другим
40,Eriksonian stage negotiation,Условно,время/ритм,принцип мотивационного баланса,необходимые/возможные,уникальный
41,Maturation of empathy,Да,время/ритм,принцип индивидуальных различий,дискретные/континуальные,аналогичен другим
42,Attachment reworking,Нет,время/ритм,принцип клинической эффективности,дискретные/континуальные,аналогичен другим
43,Moral identity consolidation,Нет,время/ритм,принцип восприятия,дискретные/континуальные,аналогичен другим
44,Peer relationship management,Условно,время/ритм,принцип памяти,цикличные/каскадные,аналогичен другим
45,Individualization,Условно,время/ритм,принцип нейронной пластичности,цикличные/каскадные,уникальный
46,Self‑esteem stabilization,Да,время/ритм,принцип духовного развития,необходимые/возможные,уникальный
47,Exploratory behavior,Условно,время/ритм,принцип памяти,мгновенные/постепенные,аналогичен другим
