№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Оценка готовности к изменениям,Да,состояние,ADKAR-модель,дискретные/континуальные,Аналогично анализу зрелости
2,Анализ заинтересованных сторон,Да,отношения,Стейкхолдер-анализ,индивидуальные/коллективные,Аналогично управлению проектами
3,Формирование обоснования изменений,Условно,значения,Kotter’s 8 Steps — создание необходимости,индивидуальные/коллективные,Уникальный процесс
4,Планирование коммуникации,Да,дискурс,Коммуникационный план,индивидуальные/коллективные,Аналогично управлению проектами
5,Разработка видения изменений,Да,значения,Закон желаемого будущего,индивидуальные/коллективные,Перекликается со стратегическим видением
6,Создание дорожной карты изменений,Да,время/ритм,Roadmap,постепенные,Связано с проектным управлением
7,Обучение и развитие персонала,Да,поведение,Теория обучающей организации,постепенные,Перекликается с HR
8,Пилотное внедрение изменений,Да,технология/инфраструктура,Пилотные проекты,дискретные,Аналогично прототипированию в инновациях
9,Основное внедрение изменений,Нет,институты,Управление программами,постепенные,Перекликается с внедрением стратегии
10,Управление сопротивлением,Да,поведение,Теория сопротивления,индивидуальные/коллективные,Связано с организационным поведением
11,Мониторинг принятия изменений,Да,состояние,Критерии успешности,дискретные/континуальные,Аналогично контролю стратегии
12,Сбор обратной связи,Да,отношения,Петля обратной связи,цикличные,Универсальный процесс
13,Закрепление изменений,Нет,нормы,Кодирование культурных норм,постепенные,Перекликается с организационным поведением
14,Оценка результатов изменений,Да,функция,Метод оценочных показателей,цикличные,Связано с измерением эффективности
15,Управление переходным периодом,Условно,состояние,Теория переходов,постепенные,Аналогично завершению проекта
