№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,шаманизация,Условно,тело/здоровье/ритуалы лечения,исцеление/баланс/гармония,ритуальные/практические; мгновенные/постепенные,Аналоги: медицина—терапия; религиоведение—обряды исцеления; психология—плацебо
2,традиционная медицина,Условно,тело/здоровье/ритуалы лечения,исцеление/баланс/гармония,ритуальные/практические; мгновенные/постепенные,Аналоги: медицина—терапия; религиоведение—обряды исцеления; психология—плацебо
3,народное знахарство,Условно,тело/здоровье/ритуалы лечения,исцеление/баланс/гармония,ритуальные/практические; мгновенные/постепенные,Аналоги: медицина—терапия; религиоведение—обряды исцеления; психология—плацебо
4,ритуальное очищение,Условно,тело/здоровье/ритуалы лечения,исцеление/баланс/гармония,ритуальные/практические; мгновенные/постепенные,Аналоги: медицина—терапия; религиоведение—обряды исцеления; психология—плацебо
5,плацебо,Условно,тело/здоровье/ритуалы лечения,исцеление/баланс/гармония,ритуальные/практические; мгновенные/постепенные,Аналоги: медицина—терапия; религиоведение—обряды исцеления; психология—плацебо
6,ноцебо,Условно,тело/здоровье/ритуалы лечения,исцеление/баланс/гармония,ритуальные/практические; мгновенные/постепенные,Аналоги: медицина—терапия; религиоведение—обряды исцеления; психология—плацебо
7,энергетическое исцеление,Условно,тело/здоровье/ритуалы лечения,исцеление/баланс/гармония,ритуальные/практические; мгновенные/постепенные,Аналоги: медицина—терапия; религиоведение—обряды исцеления; психология—плацебо
8,духовное изгнание болезни,Условно,тело/здоровье/ритуалы лечения,исцеление/баланс/гармония,ритуальные/практические; мгновенные/постепенные,Аналоги: медицина—терапия; религиоведение—обряды исцеления; психология—плацебо
9,траволечение,Условно,тело/здоровье/ритуалы лечения,исцеление/баланс/гармония,ритуальные/практические; мгновенные/постепенные,Аналоги: медицина—терапия; религиоведение—обряды исцеления; психология—плацебо
10,мануальная терапия,Условно,тело/здоровье/ритуалы лечения,исцеление/баланс/гармония,ритуальные/практические; мгновенные/постепенные,Аналоги: медицина—терапия; религиоведение—обряды исцеления; психология—плацебо
11,культуральная этиология,Условно,понятия болезни/этиология,интерпретация/объяснение/социальное конструирование,постепенные; дискурсивные; коллективные,Аналоги: социология—социальные проблемы; философия—герменевтика; психология—объяснительные модели
12,демонизация болезни,Условно,понятия болезни/этиология,интерпретация/объяснение/социальное конструирование,постепенные; дискурсивные; коллективные,Аналоги: социология—социальные проблемы; философия—герменевтика; психология—объяснительные модели
13,натурализация болезни,Условно,понятия болезни/этиология,интерпретация/объяснение/социальное конструирование,постепенные; дискурсивные; коллективные,Аналоги: социология—социальные проблемы; философия—герменевтика; психология—объяснительные модели
14,социализация болезни,Условно,понятия болезни/этиология,интерпретация/объяснение/социальное конструирование,постепенные; дискурсивные; коллективные,Аналоги: социология—социальные проблемы; философия—герменевтика; психология—объяснительные модели
15,морализация болезни,Условно,понятия болезни/этиология,интерпретация/объяснение/социальное конструирование,постепенные; дискурсивные; коллективные,Аналоги: социология—социальные проблемы; философия—герменевтика; психология—объяснительные модели
16,стигматизация болезни,Условно,понятия болезни/этиология,интерпретация/объяснение/социальное конструирование,постепенные; дискурсивные; коллективные,Аналоги: социология—социальные проблемы; философия—герменевтика; психология—объяснительные модели
17,дестигматизация болезни,Условно,понятия болезни/этиология,интерпретация/объяснение/социальное конструирование,постепенные; дискурсивные; коллективные,Аналоги: социология—социальные проблемы; философия—герменевтика; психология—объяснительные модели
18,медикализация,Условно,понятия болезни/этиология,интерпретация/объяснение/социальное конструирование,постепенные; дискурсивные; коллективные,Аналоги: социология—социальные проблемы; философия—герменевтика; психология—объяснительные модели
19,демедикализация,Условно,понятия болезни/этиология,интерпретация/объяснение/социальное конструирование,постепенные; дискурсивные; коллективные,Аналоги: социология—социальные проблемы; философия—герменевтика; психология—объяснительные модели
20,патологизация,Условно,понятия болезни/этиология,интерпретация/объяснение/социальное конструирование,постепенные; дискурсивные; коллективные,Аналоги: социология—социальные проблемы; философия—герменевтика; психология—объяснительные модели
21,биомедикализация,Условно,системы знаний/медицинские практики,гибридизация/сопротивление/адаптация,постепенные; институциональные/индивидуальные,Аналоги: культурология—глокализация; политика—колониализм; социология—институционализация
22,локализация биомедицины,Условно,системы знаний/медицинские практики,гибридизация/сопротивление/адаптация,постепенные; институциональные/индивидуальные,Аналоги: культурология—глокализация; политика—колониализм; социология—институционализация
23,гибридизация знаний,Условно,системы знаний/медицинские практики,гибридизация/сопротивление/адаптация,постепенные; институциональные/индивидуальные,Аналоги: культурология—глокализация; политика—колониализм; социология—институционализация
24,колонизация медицинская,Условно,системы знаний/медицинские практики,гибридизация/сопротивление/адаптация,постепенные; институциональные/индивидуальные,Аналоги: культурология—глокализация; политика—колониализм; социология—институционализация
25,деколонизация медицины,Условно,системы знаний/медицинские практики,гибридизация/сопротивление/адаптация,постепенные; институциональные/индивидуальные,Аналоги: культурология—глокализация; политика—колониализм; социология—институционализация
26,глокализация медицинских практик,Условно,системы знаний/медицинские практики,гибридизация/сопротивление/адаптация,постепенные; институциональные/индивидуальные,Аналоги: культурология—глокализация; политика—колониализм; социология—институционализация
27,альтернативизация медицины,Условно,системы знаний/медицинские практики,гибридизация/сопротивление/адаптация,постепенные; институциональные/индивидуальные,Аналоги: культурология—глокализация; политика—колониализм; социология—институционализация
28,интегративная медицина,Условно,системы знаний/медицинские практики,гибридизация/сопротивление/адаптация,постепенные; институциональные/индивидуальные,Аналоги: культурология—глокализация; политика—колониализм; социология—институционализация
29,сопротивление биомедицине,Условно,системы знаний/медицинские практики,гибридизация/сопротивление/адаптация,постепенные; институциональные/индивидуальные,Аналоги: культурология—глокализация; политика—колониализм; социология—институционализация
30,перевод практик (cultural translation),Условно,системы знаний/медицинские практики,гибридизация/сопротивление/адаптация,постепенные; институциональные/индивидуальные,Аналоги: культурология—глокализация; политика—колониализм; социология—институционализация
31,инициация через тело,Условно,тело/обряды/символы,сакрализация/профанизация/контроль,цикличные/сезонные; коллективные,Аналоги: антропология религии—обряд; этнография—тело; психология—символизм
32,жертвоприношение телесное,Условно,тело/обряды/символы,сакрализация/профанизация/контроль,цикличные/сезонные; коллективные,Аналоги: антропология религии—обряд; этнография—тело; психология—символизм
33,татуирование,Условно,тело/обряды/символы,сакрализация/профанизация/контроль,цикличные/сезонные; коллективные,Аналоги: антропология религии—обряд; этнография—тело; психология—символизм
34,шрамирование,Условно,тело/обряды/символы,сакрализация/профанизация/контроль,цикличные/сезонные; коллективные,Аналоги: антропология религии—обряд; этнография—тело; психология—символизм
