№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Устная передача слухов,Да,Содержание,Устойчивость,Постепенные,Аналоги: устная история
2,Импровизация деталей,Нет,Содержание,Экспрессия,Активные,Аналоги: фольклор
3,Вирусное распространение,Да,Структура,Социальная динамика,Активные,Аналоги: меметика
4,Трансформация сюжета,Да,Содержание,Адаптация,Постепенные,Аналоги: лингвистика
5,Актуализация в кризисных ситуациях,Да,Содержание,Социальная регуляция,Активные,Аналоги: психология катастроф
6,Создание новых персонажей,Да,Содержание,Экспрессия,Активные,Аналоги: литература
7,Интеграция в массовую культуру,Да,Содержание,Социальная динамика,Активные,Аналоги: культурология
8,Использование СМИ для распространения,Да,Структура,Регуляция,Активные,Аналоги: журналистика
9,Использование интернета,Да,Структура,Интеграция,Активные,Аналоги: ИТ
10,Меметическая мутация легенды,Да,Содержание,Адаптация,Активные,Аналоги: биология (мутации)
11,Создание визуальных доказательств (фото/видео),Да,Содержание,Экспрессия,Активные,Аналоги: медиа
12,Привязка к локальному контексту,Да,Содержание,Дифференциация,Активные,Аналоги: урбанистика
13,Фольклоризация реальных событий,Да,Содержание,Адаптация,Активные,Аналоги: историография
14,Мифологизация городской среды,Да,Содержание,Экспрессия,Активные,Аналоги: антропология
15,Демифологизация легенд (разоблачение),Да,Содержание,Ясность,Активные,Аналоги: критическое мышление
16,Использование в политике,Да,Содержание,Регуляция,Активные,Аналоги: политология
17,Использование в рекламе,Да,Содержание,Адаптация,Активные,Аналоги: маркетинг
18,Использование в искусстве,Да,Содержание,Экспрессия,Активные,Аналоги: искусствоведение
19,Использование в религии и культовых практиках,Да,Содержание,Экспрессия,Активные,Аналоги: религия
20,Социальный контроль через легенды,Да,Содержание,Регуляция,Активные,Аналоги: социология
21,Создание легенд о технологиях,Да,Содержание,Адаптация,Активные,Аналоги: технофобия
22,Создание легенд о преступлениях,Да,Содержание,Экспрессия,Активные,Аналоги: криминология
23,Создание легенд о знаменитостях,Да,Содержание,Экспрессия,Активные,Аналоги: медиа
24,Интернационализация легенд,Да,Содержание,Интеграция,Активные,Аналоги: глобализация
25,Регионализация легенд,Да,Содержание,Дифференциация,Активные,Аналоги: этнология
26,Эволюция нарративов,Да,Структура,Историческая динамика,Постепенные,Аналоги: культурология
