№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,сегментация клановая,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
2,альянсовая экзогамия,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
3,эндогамия,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
4,левират,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
5,сорорат,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
6,фиктивное родство,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
7,усыновление,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
8,патрилинеализация,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
9,матрилинеализация,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
10,билатеральность,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
11,перекрестное родство,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
12,реклассификация родства,Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
13,метафоризация родства (братство/сестринство),Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
14,символическое родство (кумство),Условно,родственные отношения/структуры,организация/сегментация/альянс,возможные; поколенческие; ритуальные,Аналоги: биология—филогенез; психология—связь поколений; социология—семья
15,инициация статусная,Условно,статусы/роли/иерархии,стратификация/инверсия/рутинизация,возможные; мгновенные/постепенные; институциональные/повседневные,Аналоги: социология—соц. стратификация; менеджмент—ролевое распределение; этология—доминантность
16,возрастная стратификация,Условно,статусы/роли/иерархии,стратификация/инверсия/рутинизация,возможные; мгновенные/постепенные; институциональные/повседневные,Аналоги: социология—соц. стратификация; менеджмент—ролевое распределение; этология—доминантность
17,гендерная стратификация,Условно,статусы/роли/иерархии,стратификация/инверсия/рутинизация,возможные; мгновенные/постепенные; институциональные/повседневные,Аналоги: социология—соц. стратификация; менеджмент—ролевое распределение; этология—доминантность
18,статусная инверсия (карнавал),Условно,статусы/роли/иерархии,стратификация/инверсия/рутинизация,возможные; мгновенные/постепенные; институциональные/повседневные,Аналоги: социология—соц. стратификация; менеджмент—ролевое распределение; этология—доминантность
19,рутинизация харизмы,Условно,статусы/роли/иерархии,стратификация/инверсия/рутинизация,возможные; мгновенные/постепенные; институциональные/повседневные,Аналоги: социология—соц. стратификация; менеджмент—ролевое распределение; этология—доминантность
20,персонализация роли,Условно,статусы/роли/иерархии,стратификация/инверсия/рутинизация,возможные; мгновенные/постепенные; институциональные/повседневные,Аналоги: социология—соц. стратификация; менеджмент—ролевое распределение; этология—доминантность
21,деперсонализация роли,Условно,статусы/роли/иерархии,стратификация/инверсия/рутинизация,возможные; мгновенные/постепенные; институциональные/повседневные,Аналоги: социология—соц. стратификация; менеджмент—ролевое распределение; этология—доминантность
22,делегитимация статуса,Условно,статусы/роли/иерархии,стратификация/инверсия/рутинизация,возможные; мгновенные/постепенные; институциональные/повседневные,Аналоги: социология—соц. стратификация; менеджмент—ролевое распределение; этология—доминантность
23,рестратификация,Условно,статусы/роли/иерархии,стратификация/инверсия/рутинизация,возможные; мгновенные/постепенные; институциональные/повседневные,Аналоги: социология—соц. стратификация; менеджмент—ролевое распределение; этология—доминантность
24,маргинализация статуса,Условно,статусы/роли/иерархии,стратификация/инверсия/рутинизация,возможные; мгновенные/постепенные; институциональные/повседневные,Аналоги: социология—соц. стратификация; менеджмент—ролевое распределение; этология—доминантность
25,переговоры,Условно,социальные связи/напряжения,регуляция/баланс/поддержание,необходимые; цикличные; конфликтные/примирительные,Аналоги: политология—переговоры; психология—разрешение конфликтов; биология—агонал
26,медиация,Условно,социальные связи/напряжения,регуляция/баланс/поддержание,необходимые; цикличные; конфликтные/примирительные,Аналоги: политология—переговоры; психология—разрешение конфликтов; биология—агонал
27,арбитраж,Условно,социальные связи/напряжения,регуляция/баланс/поддержание,необходимые; цикличные; конфликтные/примирительные,Аналоги: политология—переговоры; психология—разрешение конфликтов; биология—агонал
28,компенсация,Условно,социальные связи/напряжения,регуляция/баланс/поддержание,необходимые; цикличные; конфликтные/примирительные,Аналоги: политология—переговоры; психология—разрешение конфликтов; биология—агонал
29,реституция,Условно,социальные связи/напряжения,регуляция/баланс/поддержание,необходимые; цикличные; конфликтные/примирительные,Аналоги: политология—переговоры; психология—разрешение конфликтов; биология—агонал
30,кровная месть,Условно,социальные связи/напряжения,регуляция/баланс/поддержание,необходимые; цикличные; конфликтные/примирительные,Аналоги: политология—переговоры; психология—разрешение конфликтов; биология—агонал
31,примирительный пир,Условно,социальные связи/напряжения,регуляция/баланс/поддержание,необходимые; цикличные; конфликтные/примирительные,Аналоги: политология—переговоры; психология—разрешение конфликтов; биология—агонал
32,суд совета старейшин,Условно,социальные связи/напряжения,регуляция/баланс/поддержание,необходимые; цикличные; конфликтные/примирительные,Аналоги: политология—переговоры; психология—разрешение конфликтов; биология—агонал
33,ритуал примирения,Условно,социальные связи/напряжения,регуляция/баланс/поддержание,необходимые; цикличные; конфликтные/примирительные,Аналоги: политология—переговоры; психология—разрешение конфликтов; биология—агонал
34,дуэль/агонал,Условно,социальные связи/напряжения,регуляция/баланс/поддержание,необходимые; цикличные; конфликтные/примирительные,Аналоги: политология—переговоры; психология—разрешение конфликтов; биология—агонал
35,дарообмен (потлач),Условно,обмены/сети/обязательства,реципрокность/дар/капитал,возможные; постепенные; ритуальные/экономические,Аналоги: экономика—бартер; культурология—ритуальный обмен; политология—клиентелизм
36,обмен женщинами,Условно,обмены/сети/обязательства,реципрокность/дар/капитал,возможные; постепенные; ритуальные/экономические,Аналоги: экономика—бартер; культурология—ритуальный обмен; политология—клиентелизм
37,клиентелизм,Условно,обмены/сети/обязательства,реципрокность/дар/капитал,возможные; постепенные; ритуальные/экономические,Аналоги: экономика—бартер; культурология—ритуальный обмен; политология—клиентелизм
38,патронаж,Условно,обмены/сети/обязательства,реципрокность/дар/капитал,возможные; постепенные; ритуальные/экономические,Аналоги: экономика—бартер; культурология—ритуальный обмен; политология—клиентелизм
39,кумство,Условно,обмены/сети/обязательства,реципрокность/дар/капитал,возможные; постепенные; ритуальные/экономические,Аналоги: экономика—бартер; культурология—ритуальный обмен; политология—клиентелизм
40,бартер,Условно,обмены/сети/обязательства,реципрокность/дар/капитал,возможные; постепенные; ритуальные/экономические,Аналоги: экономика—бартер; культурология—ритуальный обмен; политология—клиентелизм
41,символический обмен,Условно,обмены/сети/обязательства,реципрокность/дар/капитал,возможные; постепенные; ритуальные/экономические,Аналоги: экономика—бартер; культурология—ритуальный обмен; политология—клиентелизм
42,капитализация доверия,Условно,обмены/сети/обязательства,реципрокность/дар/капитал,возможные; постепенные; ритуальные/экономические,Аналоги: экономика—бартер; культурология—ритуальный обмен; политология—клиентелизм
43,сетевая рекомбинация,Условно,обмены/сети/обязательства,реципрокность/дар/капитал,возможные; постепенные; ритуальные/экономические,Аналоги: экономика—бартер; культурология—ритуальный обмен; политология—клиентелизм
