№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,создание символического рисунка,Да,структура,принцип осознания,необходимые/возможные,аналогичный
2,визуализация субличностей,Нет,содержание,принцип интеграции,мгновенные/постепенные,аналогичный
3,медитация на внутреннего руководителя,Условно,отношения,принцип обратной связи,дискретные/континуальные,аналогичный
4,индивидуальная мандала,Да,состояние,принцип системности,индивидуальные/коллективные,аналогичный
5,ведение арт-дневника,Нет,функция,принцип адаптивности,эндогенные/экзогенные,аналогичный
6,телесно-ориентированное рисование,Условно,поведение,принцип сотрудничества,институциональные/неформальные,аналогичный
7,музыкальная импровизация,Да,нормы,принцип устойчивости,цикличные/каскадные,уникальный
8,танцевально-двигательная экспрессия,Нет,институты,принцип баланса,явные/латентные,аналогичный
9,скульптурирование эмоций,Условно,дискурс,принцип осознания,необходимые/возможные,аналогичный
10,коллажирование мечты,Да,символы,принцип интеграции,мгновенные/постепенные,аналогичный
11,письмо свободным потоком,Нет,значения,принцип обратной связи,дискретные/континуальные,аналогичный
12,психодрама через рисунок,Условно,пространство,принцип системности,индивидуальные/коллективные,аналогичный
13,роль режиссера собственной истории,Да,время/ритм,принцип адаптивности,эндогенные/экзогенные,аналогичный
14,создание архетипических образов,Нет,технология/инфраструктура,принцип сотрудничества,институциональные/неформальные,уникальный
15,песочная терапия (создание мира),Условно,тело/материя,принцип устойчивости,цикличные/каскадные,аналогичный
16,цветотерапия (выбор цветовой палитры),Да,экономика/обмен,принцип баланса,явные/латентные,аналогичный
17,воссоединение частей личности через образ,Нет,идентичность/границы,принцип осознания,необходимые/возможные,аналогичный
18,музыкально-образная визуализация,Условно,память/наследие,принцип интеграции,мгновенные/постепенные,аналогичный
19,освобождение эмоций через глину,Да,структура,принцип обратной связи,дискретные/континуальные,аналогичный
20,создание маски,Нет,содержание,принцип системности,индивидуальные/коллективные,аналогичный
21,терапия сказкой,Условно,отношения,принцип адаптивности,эндогенные/экзогенные,уникальный
22,рисование дом-дерево-человек,Да,состояние,принцип сотрудничества,институциональные/неформальные,аналогичный
23,бессознательное письмо,Нет,функция,принцип устойчивости,цикличные/каскадные,аналогичный
24,коллективный арт-проект,Условно,поведение,принцип баланса,явные/латентные,аналогичный
25,исследование родовой линии через искусство,Да,нормы,принцип осознания,необходимые/возможные,аналогичный
26,снятие телесных блоков в движении,Нет,институты,принцип интеграции,мгновенные/постепенные,аналогичный
27,разговор с символическим образом,Условно,дискурс,принцип обратной связи,дискретные/континуальные,аналогичный
28,творческая трансформация травмы,Да,символы,принцип системности,индивидуальные/коллективные,уникальный
29,создание виртуальной галереи,Нет,значения,принцип адаптивности,эндогенные/экзогенные,аналогичный
30,интеграция сновидений в искусство,Условно,пространство,принцип сотрудничества,институциональные/неформальные,аналогичный
31,"синтез телесных, эмоциональных и духовных ощущений",Да,время/ритм,принцип устойчивости,цикличные/каскадные,аналогичный
32,раскрытие таланта через творчество,Нет,технология/инфраструктура,принцип баланса,явные/латентные,аналогичный
33,экспериментирование с материалами,Условно,тело/материя,принцип осознания,необходимые/возможные,аналогичный
34,рисование под музыку,Да,экономика/обмен,принцип интеграции,мгновенные/постепенные,аналогичный
35,создание временной экспозиции,Нет,идентичность/границы,принцип обратной связи,дискретные/континуальные,уникальный
