№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Синтез стандартизированных генетических деталей,Да,тело/материя,Химический синтез ДНК,необходимые; дискретные; лабораторные,Основной шаг синт. биологии
2,Сборка генетических цепей,Условно,структура,Модульный дизайн,возможные; дискретные; лабораторные,Используется в биобрикс
3,Проектирование метаболических путей,Условно,функция,Инженерный подход,возможные; коллективные; исследовательские,Связь с метаболикой
4,Использование CRISPR для переписывания генома,Условно,технология/инфраструктура,Геномный редизайн,возможные; дискретные; исследовательские,Пересекается с геномикой
5,Разработка chassis‑организмов,Условно,тело/материя,Минимальные геномы,возможные; исследовательские; институциональные,Уникально для синтетики
6,Оптимизация метаболического потока для производства,Условно,функция,Моделирование и эволюция,возможные; континуальные; исследовательские,Перекликается с биотехнологией
7,Создание биосенсоров,Условно,функция,Сигнальные цепи,возможные; дискретные; исследовательские,Подходит для биомониторинга
8,Имплементация генетических переключателей (toggle switches),Условно,функция,Синтетические сети,возможные; дискретные; исследовательские,Ключ для регуляции
9,Стандартизация биологических деталей и реестры,Да,нормы,BioBrick стандарты,возможные; институциональные; нормативные,Позволяет обмениваться модулями
10,Моделирование и прогнозирование поведения синтетических систем,Условно,функция,Системная биология,возможные; континуальные; исследовательские,Требует математических моделей
11,Оценка безопасности и рисков,Да,нормы,Анализ риска,необходимые; институциональные; нормативные,Соприкасается с биоэтикой
12,Разработка стратегий биоконтеймента,Условно,технология/инфраструктура,Kill switches,возможные; дискретные; исследовательские,Защита окружающей среды
13,Использование направленной эволюции для улучшения функций,Условно,функция,Эволюционные методы,возможные; континуальные; исследовательские,Связь с протеомикой
14,Документирование и обмен биоблоками,Да,институции,Open science,возможные; институциональные; коллективные,Повышает воспроизводимость
15,Этический надзор за проектами синтетической биологии,Да,нормы,Этические комиссии,возможные; институциональные; нормативные,Смежно с системной медициной
