№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Исследование возникновения и развития религий во времени,Нет,время/ритм,диахронический анализ,постепенные/институциональные,Базовый
2,Сравнение исторических этапов разных религий,Да,отношения,компаративно-исторический метод,дискретные/индивидуальные,Связь с компаративистикой
3,Анализ взаимодействия религий и социальных изменений,Нет,институты,социальная история,коллективные/постепенные,Связь с социологией
4,Исследование эволюции догматов и обрядов,Условно,нормы,историко-доктринальный анализ,институциональные/постепенные,Связь с священными текстами
5,Документирование археологических находок религиозного характера,Да,тело/материя,археология религии,институциональные/дискретные,Связь с археологией
6,Анализ причин появления и исчезновения религиозных традиций,Нет,структура,эволюционная теория,индивидуальные/постепенные,Связь с эволюционным менеджментом
7,Составление исторической типологии религий,Да,структура,типологизация,индивидуальные/дискретные,Связь с компаративистикой
8,Изучение влияния исторических событий на религиозные верования,Нет,содержание,контекстуальный анализ,постепенные/экзогенные,Связь с политологией
9,Исследование миграций и распространения религий,Да,пространство,географический подход,коллективные/постепенные,Связь с демографией
10,Оценка влияния технологий на развитие религий,Да,технология/инфраструктура,техноистория,постепенные/экзогенные,Современный аспект
11,Сравнение религиозных реформ и реформаций,Да,институты,исторический сравнительный анализ,институциональные/постепенные,Связь с управлением изменениями
12,Изучение исторической критики и апологетики,Да,дискурс,историческая герменевтика,индивидуальные/постепенные,Связь с философией
13,Картографирование влияния религий на искусство и культуру,Да,символы,культурная история,постепенные/коллективные,Связь с культурологией
14,Документирование источников и летописей,Да,память/наследие,источниковедение,институциональные/дискретные,Связь с архивистикой
15,Создание базы данных исторических конфессий,Да,структура,цифровая история,институциональные/континуальные,Современный аспект
