№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Аддитивный синтез,Да,содержание,Аддитивный синтез,"мгновенные, индивидуальные",Сложение волн
2,Субтрактивный синтез,Да,содержание,Субтрактивный синтез,"мгновенные, индивидуальные",Фильтрация спектра
3,FM‑синтез,Да,содержание,Частотная модуляция,"мгновенные, индивидуальные",Модуляция частоты несущей
4,Сэмплирование,Да,содержание,Сэмплинг,"мгновенные, индивидуальные",Использование записанных звуков
5,Лупинг,Да,время/ритм,Повтор,"цикличные, индивидуальные",Замкнутые фразы
6,Секвенирование,Да,структура,Секвенсор,"дискретные, индивидуальные",Управление последовательностями
7,Квантование (квантайз),Да,время/ритм,Цифровая квантизация,"мгновенные, индивидуальные",Привязка событий к сетке
8,Автоматизация параметров,Да,функция,Автоматизация,"постепенные, индивидуальные",Изменение параметров во времени
9,Модульное патчирование,Да,технология/инфраструктура,Модульный синтез,"индивидуальные, мгновенные",Соединение модулей
10,"Применение эффектов (реверб, delay)",Да,состояние,Эффекты,"мгновенные, индивидуальные",Обработка сигнала
11,Сведение (микс),Да,структура,Микширование,"постепенные, коллективные",Балансирование дорожек
12,Мастеринг,Условно,состояние,Мастеринг,"постепенные, индивидуальные",Финальная обработка
13,Глитч,Да,содержание,Глитч‑арт,"мгновенные, индивидуальные",Использование ошибок и артефактов
14,Гранулярный синтез,Да,содержание,Гранулярный синтез,"дискретные, индивидуальные",Декомпозиция на микро‑зерна
15,Биткрашинг,Да,содержание,Лоу‑фай обработка,"мгновенные, индивидуальные",Уменьшение битности
16,Сайдчейн‑компрессия,Да,состояние,Сайдчейн,"мгновенные, индивидуальные",Ритмическая компрессия
17,MIDI‑мэппинг,Да,технология/инфраструктура,MIDI,"мгновенные, индивидуальные",Назначение контроллеров
18,Реампинг,Да,состояние,Реампинг,"мгновенные, индивидуальные",Повторная обработка через усилитель
19,Синхронизация устройств,Да,время/ритм,Синхронизация,"мгновенные, коллективные",Совместное время
20,Live‑coding,Да,технология/инфраструктура,Программирование в реальном времени,"мгновенные, индивидуальные",Создание кода на сцене
