№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Постановка критических вопросов,Да,Содержание,Критичность,Активные,Аналоги: философия
2,Создание провокационных артефактов,Да,Содержание,Экспрессия,Активные,Аналоги: современное искусство
3,Сценарное проектирование будущего,Да,Структура,Предсказуемость,Активные,Аналоги: футурология
4,Дизайн-фантазия,Да,Содержание,Экспрессия,Активные,Аналоги: литература (sci-fi)
5,Дизайн-фикция,Да,Содержание,Инновация,Активные,Аналоги: кино
6,Форсайт-дизайн,Да,Структура,Предсказуемость,Активные,Аналоги: стратегическое планирование
7,Дискурсивный дизайн,Да,Содержание,Экспрессия,Активные,Аналоги: культурология
8,Антидизайн,Да,Содержание,Дифференциация,Активные,Аналоги: искусствоведение
9,Дизайн как критика технологий,Да,Содержание,Регуляция,Активные,Аналоги: философия техники
10,Мифологизация технологий,Да,Содержание,Экспрессия,Активные,Аналоги: мифология
11,Этический дизайн,Да,Содержание,Регуляция,Активные,Аналоги: биоэтика
12,Воображаемые интерфейсы,Да,Содержание,Инновация,Активные,Аналоги: кибернетика
13,Ретрофутуризм,Да,Содержание,Историческая динамика,Активные,Аналоги: культурология
14,Постгуманистический дизайн,Да,Содержание,Инновация,Активные,Аналоги: философия
15,Спекулятивные прототипы,Да,Структура,Адаптация,Активные,Аналоги: инженерия
16,Дизайн для альтернативных реальностей,Да,Содержание,Инновация,Активные,Аналоги: VR/AR
17,Критическое проектирование,Да,Содержание,Критичность,Активные,Аналоги: философия
18,Нарративный дизайн будущего,Да,Содержание,Экспрессия,Активные,Аналоги: литература
19,Фиктивные бренды и продукты,Да,Содержание,Экспрессия,Активные,Аналоги: маркетинг
20,Пародийный дизайн,Да,Содержание,Экспрессия,Активные,Аналоги: сатира
21,Метафорический дизайн,Да,Содержание,Экспрессия,Активные,Аналоги: лингвистика
22,Эко-спекулятивный дизайн,Да,Содержание,Социальная регуляция,Активные,Аналоги: экология
23,Философский дизайн,Да,Содержание,Гармония,Активные,Аналоги: философия
24,Дизайн для инопланетных цивилизаций,Да,Содержание,Инновация,Активные,Аналоги: астрофизика
25,Сюрреалистический дизайн,Да,Содержание,Экспрессия,Активные,Аналоги: искусство
26,Киберспекулятивный дизайн,Да,Содержание,Инновация,Активные,Аналоги: ИТ
27,Спекулятивные визуализации,Да,Содержание,Экспрессия,Активные,Аналоги: визуальные искусства
28,Генеративные спекуляции,Да,Содержание,Инновация,Активные,Аналоги: алгоритмы
