№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Профилирование метилирования ДНК (bisulfite sequencing),Условно,содержание,Бисульфитное преобразование,возможные; дискретные; лабораторные,Специфично для эпигенетики
2,Картирование модификаций гистонов (ChIP-seq),Условно,содержание,Иммунопреципитация хроматина,возможные; дискретные; лабораторные,Перекликается с транскриптомикой
3,Оценка доступности хроматина (ATAC-seq),Условно,структура,Транспозаза Tn5,возможные; дискретные; лабораторные,Ключ для регуляторных исследований
4,Эпигенетическое редактирование с использованием dCas9,Условно,технология/инфраструктура,Генетические инженерные инструменты,возможные; дискретные; исследовательские,Соприкасается с синтетической биологией
5,Анализ imprinting patterns,Условно,отношения,Эпигеномика,возможные; дискретные; исследовательские,Уникально для наследуемых меток
6,Исследование влияния окружающей среды на эпигеном,Да,состояние,Эко‑эпигенетика,возможные; континуальные; коллективные,Связь с экологией
7,Эпигенетическая репрограммировка индуцированных стволовых клеток,Условно,функция,Регенеративная медицина,возможные; континуальные; исследовательские,Связь с системной медициной
8,Эпигеномное ассоциативное исследование (EWAS),Условно,отношения,Статистический анализ,возможные; коллективные; исследовательские,Аналог GWAS
9,Регуляция не‑кодирующими РНК,Да,функция,miRNA/lncRNA механизмы,возможные; континуальные; индивидуальные,Связь с транскриптомикой
10,Исследование наследования эпигенетических признаков,Условно,память/наследие,Транс‑генерационная передача,возможные; континуальные; исследовательские,Уникально для эпигенетики
11,Сравнение эпигенетических ландшафтов клеток,Условно,пространство,Клеточная гетерогенность,возможные; дискретные; исследовательские,Связь с single‑cell
12,Разработка эпигенетических биомаркеров,Условно,состояние,Диагностические маркеры,возможные; дискретные; исследовательские,Применение в медицине
13,Интеграция эпигенома и транскриптома,Условно,отношения,Мультиомный анализ,возможные; коллективные; институциональные,Системный подход
14,Одноклеточная эпигеномика,Условно,пространство,Ультра‑чувствительные методы,возможные; дискретные; исследовательские,Новая область
15,Измерение биологических возрастных часов,Условно,время/ритм,Эпигенетический возраст,возможные; дискретные; индивидуальные,Связь со старением
