№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Сферификация,Да,"структура; состояние; дискурс","ионный обмен Ca²⁺ и альгината","возможные; мгновенные; индивидуальные","молекулярная кухня"
2,Обратная сферификация,Да,"структура; состояние","введение кальция внутрь продукта","возможные; мгновенные; индивидуальные","молекулярная кухня"
3,Гелеобразование,Да,"структура; состояние","сшивка полисахаридов или белков","возможные; постепенно; коллективные","кулинария; фармацевтика"
4,Термогелеобразование,Да,"структура; состояние","желатин/агар → гель при охлаждении","возможные; постепенно; коллективные","кулинария"
5,Ионное гелеобразование,Да,"структура; состояние","Ca²⁺-сшивка пектинов/альгинатов","возможные; мгновенные; коллективные","кулинария"
6,Пенообразование,Да,"структура; состояние","введение газа в жидкость","возможные; мгновенные; коллективные","кулинария; химия"
7,Стабилизация пены,Да,"структура; состояние","эмульгаторы/белки удерживают газ","возможные; постепенно; коллективные","кулинария"
8,Эмульгирование,Да,"структура; состояние","смешивание несмешиваемых жидкостей","возможные; мгновенные; коллективные","кулинария; химия"
9,Обратное эмульгирование,Да,"структура; состояние","вода в масле вместо масла в воде","возможные; мгновенные; коллективные","кулинария"
10,Жидкий азот (шоковая заморозка),Нет,"состояние; тело/материя","мгновенное охлаждение -196°C","необходимые; мгновенные; индивидуальные","молекулярная кухня"
11,Сублимационная сушка (лиофилизация),Нет,"состояние; тело/материя","удаление воды через лёд → пар","необходимые; постепенно; коллективные","кулинария; фармацевтика"
12,Дегидратация,Нет,"состояние; тело/материя","удаление воды испарением","необходимые; постепенно; коллективные","кулинария"
13,Инфузия под вакуумом,Да,"структура; содержание","введение ароматов под давлением","возможные; мгновенные; коллективные","молекулярная кухня"
14,Су-вид,Да,"состояние; тело/материя","приготовление при низкой t в вакууме","возможные; постепенно; индивидуальные","кулинария"
15,Сверхбыстрое копчение,Да,"содержание; символы","ароматы дыма через дым-пистолет","возможные; мгновенные; коллективные","кулинария"
16,Использование ротационного испарителя,Да,"содержание; состояние","дистилляция ароматов при низкой t","возможные; постепенно; коллективные","кулинария; химия"
17,Вакуумная дистилляция,Да,"содержание; состояние","испарение при пониженном давлении","возможные; постепенно; коллективные","кулинария"
18,Гомогенизация,Да,"структура; состояние","разрушение жировых глобул","возможные; мгновенные; коллективные","кулинария; пищевая промышленность"
