№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Вводное занятие и ориентация,Да,значения,принцип пустоты,"латентные, возможные",Уникальный
2,Еженедельные групповые встречи,Нет,время/ритм,принцип сострадания,"неформальные, континуальные",Уникальный
3,Практика сканирования тела,Да,экономика/обмен,принцип самонаблюдения,"явные, необходимые",Уникальный
4,Медленная осознанная ходьба,Нет,структура,принцип пустоты,"эндогенные, коллективные",Уникальный
5,Легкая растяжка и йога,Условно,технология/инфраструктура,принцип непостоянства,"дискретные, необходимые",Аналоги существуют
6,Сидячая медитация,Нет,отношения,принцип нейрофидбек,"цикличные, постепенные",Уникальный
7,Дневные ретриты,Нет,память/наследие,принцип равновесия,"коллективные, необходимые",Уникальный
8,Домашние задания,Нет,пространство,принцип сострадания,"дискретные, необходимые",Уникальный
9,Медитация на звук и мысли,Условно,дискурс,принцип нейрофидбек,"явные, возможные",Аналоги существуют
10,Осознанное питание,Нет,ум/сознание,принцип самонаблюдения,"латентные, институциональные",Уникальный
11,Регистрация стрессовых реакций,Да,память/наследие,принцип равновесия,"неформальные, возможные",Аналоги существуют
12,Упражнения «автоматический пилот»,Условно,ум/сознание,принцип непостоянства,"индивидуальные, каскадные",Уникальный
13,Разбор pleasant/unpleasant events,Да,значения,принцип сосредоточенности,"возможные, коллективные",Уникальный
14,"Практика STOP (остановись, сделай вдох, наблюдай, продолжай)",Да,функция,принцип сострадания,"постепенные, индивидуальные",Уникальный
15,Обсуждение опыта с группой,Да,состояние,принцип сострадания,"необходимые, латентные",Уникальный
16,Инструкторские наставления,Да,институты,принцип равновесия,"коллективные, цикличные",Уникальный
17,Дневник осознанности,Да,нормы,принцип сосредоточенности,"латентные, цикличные",Аналоги существуют
18,Практика любящей доброты,Да,эмоции,принцип равновесия,"индивидуальные, явные",Уникальный
19,Сканирование ощущений,Нет,значения,принцип сосредоточенности,"цикличные, возможные",Уникальный
20,Развитие терпения и принятия,Условно,нормы,принцип самонаблюдения,"дискретные, каскадные",Аналоги существуют
21,Осознание сопротивления,Условно,нормы,принцип осознанности,"мгновенные, латентные",Уникальный
22,Наблюдение мыслей как событий,Условно,идентичность/границы,принцип сострадания,"явные, возможные",Уникальный
23,Интеграция практики в повседневность,Условно,структура,принцип осознанности,"дискретные, возможные",Уникальный
24,Ведение журнала практики,Условно,память/наследие,принцип непостоянства,"экзогенные, необходимые",Уникальный
25,Самостоятельные практики дома,Условно,дискурс,принцип равновесия,"дискретные, мгновенные",Аналоги существуют
26,Практика дыхательных упражнений,Условно,ум/сознание,принцип сосредоточенности,"постепенные, необходимые",Аналоги существуют
27,Обратная связь от инструкторов,Нет,внимание,принцип нейрофидбек,"постепенные, континуальные",Уникальный
28,Развитие самосострадания,Да,эмоции,принцип присутствия,"постепенные, необходимые",Уникальный
29,Работа с трудными эмоциями,Да,технология/инфраструктура,принцип нейрофидбек,"институциональные, мгновенные",Уникальный
30,Разбор вопросов участников,Условно,символы,принцип сострадания,"цикличные, каскадные",Уникальный
31,Завершение программы с ретритом,Да,поведение,принцип пустоты,"индивидуальные, необходимые",Уникальный
32,Ведение списка благодарности,Условно,ум/сознание,принцип присутствия,"институциональные, цикличные",Уникальный
33,Снятие напряжения через тело,Условно,тело/материя,принцип самонаблюдения,"экзогенные, неформальные",Аналоги существуют
34,Наблюдение автоматических реакций,Да,технология/инфраструктура,принцип нейрофидбек,"цикличные, континуальные",Уникальный
35,Применение практик в работе,Да,структура,принцип сострадания,"индивидуальные, континуальные",Аналоги существуют
36,Практика осознанной коммуникации,Условно,институты,принцип непостоянства,"цикличные, каскадные",Аналоги существуют
37,Формирование индивидуального плана,Да,структура,принцип присутствия,"каскадные, индивидуальные",Уникальный
38,Отслеживание прогресса,Да,внимание,принцип самонаблюдения,"каскадные, дискретные",Аналоги существуют
39,Поддержание практики после курса,Условно,содержание,принцип пустоты,"экзогенные, цикличные",Аналоги существуют
40,Взаимная поддержка группы,Нет,сознание,принцип нравственности,"дискретные, необходимые",Уникальный
