№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,сбор требований к контенту,Условно,нормы,закон Хика,мгновенные,Аналогичный
2,определение целей общения,Да,дискурс,принцип «прежде человека»,латентные,Аналогичный
3,выбор голоса и тона,Нет,память/наследие,эффект эстетики-юзабилити,континуальные,Уникальный
4,разработка микро-текста,Да,функция,закон Фиттса,дискретные,Уникальный
5,структурирование информации,Условно,символы,закон Хика,явные,Уникальный
6,создание заголовков,Нет,пространство,принцип модульности,эндогенные,Уникальный
7,написание подсказок,Да,отношения,закон Фиттса,дискретные,Аналогичный
8,написание ошибок,Нет,тело/материя,эвристика Нильсена,неформальные,Уникальный
9,разработка руководства по стилю контента,Да,содержание,принцип доступности,дискретные,Уникальный
10,создание контент-матрицы,Да,структура,закон Фиттса,каскадные,Уникальный
11,планирование контент-структуры,Да,нормы,закон Хика,континуальные,Аналогичный
12,анализ пользовательских вопросов,Да,структура,принцип целостности,экзогенные,Аналогичный
13,разработка содержания на основе данных,Да,экономика/обмен,принцип обратной связи,цикличные,Уникальный
14,перевод требований в текст,Условно,дискурс,принцип целостности,явные,Уникальный
15,создание информационных блоков,Да,технология/инфраструктура,принцип устойчивости,неформальные,Уникальный
16,вставка ссылок,Да,отношения,эвристика Нильсена,континуальные,Уникальный
17,проверка читабельности,Да,экономика/обмен,принцип целостности,цикличные,Аналогичный
18,обеспечение согласованности,Да,поведение,принцип доступности,континуальные,Аналогичный
19,тестирование текстов,Нет,функция,принцип «прежде человека»,необходимые,Уникальный
20,анализ тона в различных сценариях,Да,технология/инфраструктура,принцип устойчивости,дискретные,Аналогичный
21,переписывание сложного текста,Условно,память/наследие,эвристика Нильсена,возможные,Аналогичный
22,обеспечение инклюзивности языка,Нет,нормы,принцип целостности,цикличные,Аналогичный
23,создание словаря терминов,Нет,структура,эффект эстетики-юзабилити,возможные,Аналогичный
24,оптимизация для seo,Нет,дискурс,принцип обратной связи,дискретные,Уникальный
25,координация с UX-писателями,Да,содержание,принцип целостности,явные,Аналогичный
26,использование контекстных подсказок,Условно,символы,закон Хика,каскадные,Уникальный
27,создание сценариев разговора,Нет,пространство,принцип модульности,явные,Уникальный
28,документация контент-решений,Нет,содержание,Gestalt принцип группировки,мгновенные,Аналогичный
29,подготовка многозначных сообщений,Нет,символы,принцип «прежде человека»,каскадные,Аналогичный
30,редактирование на основе обратной связи,Да,технология/инфраструктура,принцип устойчивости,экзогенные,Аналогичный
31,создание структурированной навигации,Условно,нормы,принцип устойчивости,эндогенные,Аналогичный
32,аудит существующего контента,Да,время/ритм,принцип «прежде человека»,институциональные,Аналогичный
33,"подготовка различного форматирования (списки, таблицы)",Условно,поведение,принцип модульности,необходимые,Уникальный
34,выбор примеров и метафор,Условно,функция,принцип иерархии,коллективные,Аналогичный
35,планирование локализации,Условно,экономика/обмен,закон Хика,институциональные,Аналогичный
36,управление версиями,Да,тело/материя,принцип доступности,латентные,Аналогичный
37,разработка адаптивного контента,Да,отношения,закон Фиттса,цикличные,Аналогичный
38,планирование публикации,Условно,технология/инфраструктура,эвристика Нильсена,цикличные,Уникальный
39,создание пользовательских историй,Да,функция,принцип целостности,индивидуальные,Аналогичный
40,внедрение A/B-тестирования текстов,Нет,состояние,принцип модульности,эндогенные,Уникальный
41,обеспечение соответствия нормам,Нет,технология/инфраструктура,принцип обратной связи,индивидуальные,Аналогичный
42,создание юридических уведомлений,Да,идентичность/границы,эвристика Нильсена,индивидуальные,Уникальный
43,анализ конкурентного контента,Да,значения,принцип целостности,цикличные,Аналогичный
44,определение длины сообщения,Нет,экономика/обмен,эффект эстетики-юзабилити,необходимые,Уникальный
45,синхронизация с дизайн-системой,Нет,время/ритм,принцип доступности,эндогенные,Аналогичный
46,создание персонализированного контента,Нет,нормы,эвристика Нильсена,цикличные,Уникальный
