№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Утренняя чашка кофе,Да,поведение,принцип рутины,возможные; индивидуальные; континуальные,Неписаная традиция начала дня
2,Просмотр ленты новостей,Да,поведение,принцип информированности,возможные; индивидуальные; континуальные,Ежедневная проверка
3,Церемония вручения диплома,Да,память/наследие,принцип признания,возможные; коллективные; дискретные,Выпускной
4,День рождения (задувание свечей),Да,поведение,принцип празднования,возможные; коллективные; дискретные,"Торт, свечи"
5,Селфи и публикация,Да,дискурс,принцип самопрезентации,возможные; индивидуальные; мгновенные,Отправка фото в соцсети
6,Обмен подарками,Да,экономика/обмен,принцип взаимности,возможные; коллективные; дискретные,"Новый год, Рождество"
7,"Ритуал приветствия (рукопожатие, объятие)",Да,поведение,принцип взаимного признания,возможные; индивидуальные; мгновенные,"Касание рук, объятия"
8,Чаепитие,Да,поведение,принцип совместности,возможные; коллективные; континуальные,Чайная церемония или дружеский чай
9,Секулярное новогоднее отсчет,Да,время/ритм,принцип обновления,возможные; коллективные; дискретные,Отсчет до полуночи
10,Ритуал распаковки (unboxing),Да,поведение,принцип ожидания,возможные; индивидуальные; дискретные,Открытие посылки
11,Минуты молчания,Да,поведение,принцип памяти,возможные; коллективные; дискретные,Современные трауры
12,Нажатие лайка,Да,отношения,принцип одобрения,возможные; индивидуальные; мгновенные,Цифровая форма поддержки
13,Флешмоб,Да,поведение,принцип мобилизации,возможные; коллективные; дискретные,Согласованные действия в публичном пространстве
14,Ритуал утренней зарядки,Да,тело/материя,принцип здоровья,возможные; индивидуальные; континуальные,Современная физическая практика
15,Пятничный аперитив,Да,экономика/обмен,принцип завершения,возможные; коллективные; дискретные,Конец рабочей недели
16,Освещение новостного события,Да,дискурс,принцип коллективного внимания,возможные; коллективные; мгновенные,Совместный просмотр трансляции
