№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Аффиксация,Да,Структура,"Иконичность, предсказуемость","Активные, постепенные",Аналоги: синтаксис (добавление элементов)
2,Префиксация,Да,Структура,Иконичность,Активные,Уникален для морфологии
3,Суффиксация,Да,Структура,Иконичность,Активные,Аналоги: фонетика (протеза)
4,Инфиксация,Да,Структура,"Усиление, гармония",Активные,"Редкий процесс, уникален"
5,Циркумфиксация,Да,Структура,Гармония,Активные,Аналоги: архитектура (обрамление)
6,Трансфиксация,Да,Структура,Иконичность,Активные,Уникален для семитских языков
7,Редупликация,Да,Структура,"Усиление, экспрессия","Активные, мгновенные",Аналоги: фонетика (геминация)
8,Супплетивизм,Нет,Содержание,Историческая устойчивость,Спонтанные,Уникален для морфологии
9,Алломорфия,Да,Структура,Устойчивость,Пассивные,Аналоги: фонетика (аллофония)
10,Фузия,Нет,Структура,Экономия,Постепенные,Аналоги: химия (слияние)
11,Агглютинация,Да,Структура,Прозрачность,Постепенные,Аналоги: нейросети (послойное добавление)
12,Изолирующие процессы,Да,Структура,Устойчивость,Спонтанные,Аналоги: синтаксис (свободный порядок слов)
13,Полисинтетизм,Нет,Структура,Компактность,Активные,Аналоги: программирование (макросы)
14,Десемантизация морфем,Нет,Содержание,Историческое развитие,Постепенные,Аналоги: прагматика (потеря смысла)
15,Грамматикализация,Нет,Содержание,Экономия,Постепенные,Аналоги: семантика
16,Деграмматикализация,Нет,Содержание,Экспрессия,Постепенные,Уникален для морфологии
17,Конверсия,Да,Структура,Иконичность,"Активные, мгновенные",Аналоги: синтаксис (перестройка)
18,Транспозиция,Да,Структура,Иконичность,Активные,Аналоги: музыка (транспозиция тональности)
19,Композитация (словосложение),Да,Структура,"Экономия, выразительность",Активные,Аналоги: химия (синтез)
20,Универбация,Нет,Структура,Экономия,Постепенные,Аналоги: фонетика (редукция)
21,Десунивербация,Нет,Структура,Разграничение,Постепенные,Уникален для морфологии
22,Тривиализация,Нет,Содержание,Снижение значимости,Постепенные,Аналоги: семантика (обесценивание)
23,Морфологическая аналогия,Да,Структура,Устойчивость,Постепенные,Аналоги: когнитивные процессы (аналогия)
24,Морфологическое выравнивание,Да,Структура,Гармония,Постепенные,Аналоги: синтаксис (согласование)
25,Нулевой аффикс,Да,Структура,Экономия,Спонтанные,Аналоги: математика (нулевой оператор)
26,Инкорпорация,Нет,Структура,Компактность,Активные,Аналоги: программирование (inline функции)
27,Морфологическое обобщение,Нет,Содержание,Экономия,Постепенные,Аналоги: семантика
28,Морфологическое расширение,Нет,Содержание,Экспрессия,Постепенные,Уникален
29,Декорреляция формы и функции,Нет,Отношение,Устойчивость,Постепенные,Аналоги: прагматика
30,Рекатегоризация,Да,Структура,Гармония,Активные,Аналоги: психолингвистика
31,Морфологическая редукция,Нет,Структура,Экономия,Постепенные,Аналоги: фонетика (редукция)
32,Субморфемные изменения (корефлексия),Нет,Структура,Историческая устойчивость,Спонтанные,Уникален
33,Альтернация корня,Нет,Структура,Устойчивость,Постепенные,Аналоги: фонетика (вариации)
34,Аблаут,Нет,Структура,Историческое развитие,Спонтанные,Уникален для морфологии
35,Умлаут,Нет,Структура,Иконичность,Спонтанные,Аналоги: фонетика (палатализация)
36,Апофония,Нет,Структура,Историческая устойчивость,Постепенные,Аналоги: фонетика
37,Суперсегментные морфемы (ударение),Да,Структура,Выделение,Активные,Аналоги: фонетика (ударение)
38,Интерфикс,Да,Структура,Связь,Активные,Аналоги: архитектура (соединитель)
39,Морфемное наложение,Нет,Структура,Экономия,Активные,Аналоги: синтаксис
40,Морфологическая конвергенция,Нет,Структура,Гармония,Постепенные,Аналоги: социолингвистика (сближение)
