№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Принятие удобной позы,Условно,пространство,принцип сосредоточенности,"экзогенные, коллективные",Аналоги существуют
2,Фокус на дыхании,Да,состояние,принцип нейрофидбек,"каскадные, коллективные",Аналоги существуют
3,Наблюдение вдоха и выдоха,Да,содержание,принцип непостоянства,"дискретные, эндогенные",Уникальный
4,Не изменять естественный дыхательный ритм,Условно,технология/инфраструктура,принцип равновесия,"мгновенные, каскадные",Аналоги существуют
5,Фиксация внимания на ноздрях,Да,структура,принцип осознанности,"латентные, необходимые",Уникальный
6,Отслеживание подъёма и падения живота,Да,поведение,принцип нейрофидбек,"постепенные, мгновенные",Уникальный
7,Подсчёт вдохов и выдохов,Условно,институты,принцип присутствия,"возможные, каскадные",Уникальный
8,Возвращение внимания при отвлечении,Условно,идентичность/границы,принцип пустоты,"необходимые, мгновенные",Аналоги существуют
9,Наблюдение пауз между дыханием,Условно,отношения,принцип присутствия,"индивидуальные, цикличные",Аналоги существуют
10,Расширение внимания на всё тело,Нет,технология/инфраструктура,принцип осознанности,"цикличные, институциональные",Аналоги существуют
11,Устранение напряжения,Условно,символы,принцип осознанности,"дискретные, мгновенные",Уникальный
12,Осознание мыслей как событий,Да,поведение,принцип сосредоточенности,"латентные, дискретные",Аналоги существуют
13,Наблюдение тепла воздуха при вдохе,Условно,тело/материя,принцип осознанности,"явные, коллективные",Уникальный
14,Наблюдение прохлады при выдохе,Нет,значения,принцип непостоянства,"неформальные, институциональные",Уникальный
15,Чувствование движения груди,Да,эмоции,принцип непостоянства,"коллективные, цикличные",Уникальный
16,Смещение внимания в разные точки тела,Условно,технология/инфраструктура,принцип непостоянства,"институциональные, латентные",Аналоги существуют
17,Развитие терпения,Условно,состояние,принцип нравственности,"явные, экзогенные",Аналоги существуют
18,Регулярность практики,Нет,институты,принцип сосредоточенности,"континуальные, постепенные",Аналоги существуют
19,Принятие мыслей без оценки,Условно,внимание,принцип нейрофидбек,"цикличные, континуальные",Аналоги существуют
20,"Использование вербального ярлыка («вдох», «выдох»)",Да,сознание,принцип равновесия,"коллективные, экзогенные",Аналоги существуют
21,Фокусировка на дыхании в ходьбе,Да,нормы,принцип непостоянства,"явные, дискретные",Аналоги существуют
22,Синхронизация дыхания и шага,Нет,ум/сознание,принцип сосредоточенности,"коллективные, каскадные",Уникальный
23,Осознанное дыхание при стрессе,Условно,тело/материя,принцип пустоты,"континуальные, явные",Уникальный
24,Плавное завершение сессии,Условно,эмоции,принцип нравственности,"постепенные, индивидуальные",Уникальный
25,Плавный переход к другим делам,Да,дискурс,принцип нейрофидбек,"коллективные, явные",Аналоги существуют
26,Использование таймера,Нет,отношения,принцип нравственности,"индивидуальные, эндогенные",Уникальный
27,Наблюдение изменений в теле,Нет,функция,принцип осознанности,"эндогенные, мгновенные",Уникальный
28,Создание привычки,Условно,поведение,принцип нейрофидбек,"экзогенные, индивидуальные",Аналоги существуют
29,Практика утром и вечером,Да,поведение,принцип присутствия,"необходимые, явные",Уникальный
30,Понимание связи дыхания и эмоций,Да,структура,принцип непостоянства,"индивидуальные, неформальные",Аналоги существуют
31,Установление спокойного места,Нет,сознание,принцип осознанности,"континуальные, институциональные",Аналоги существуют
32,"Учитывание позы (сидя, стоя)",Да,структура,принцип нейрофидбек,"цикличные, эндогенные",Уникальный
33,Фокус на чувствительном участке,Нет,эмоции,принцип сострадания,"неформальные, каскадные",Уникальный
34,Подведение итогов в журнале,Нет,технология/инфраструктура,принцип осознанности,"латентные, возможные",Аналоги существуют
35,Удовлетворенность практикой,Нет,содержание,принцип равновесия,"мгновенные, необходимые",Уникальный
36,Повышение осознанности,Условно,технология/инфраструктура,принцип осознанности,"эндогенные, институциональные",Уникальный
37,Применение навыков в повседневности,Условно,институты,принцип сострадания,"дискретные, экзогенные",Уникальный
