№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Design AR overlay,Условно,экономика/обмен,принцип честной игры,экзогенные,Уникальный
2,Implement spatial tracking,Да,поведение,принцип развлечения,мгновенные,Уникальный
3,Create mixed reality interactions,Нет,время/ритм,закон вероятностей,дискретные,Аналоги существуют
4,Integrate sensor data,Да,отношения,принцип сложности,каскадные,Аналоги существуют
5,Design haptic feedback,Условно,структура,принцип обратной связи,континуальные,Уникальный
6,Implement environmental occlusion,Условно,символы,принцип оптимизации,возможные,Уникальный
7,Design VR locomotion,Да,дискурс,принцип развлечения,неформальные,Аналоги существуют
8,Implement motion sickness mitigation,Условно,структура,принцип обратной связи,коллективные,Аналоги существуют
9,Create 3D UI,Да,нормы,принцип сложности,индивидуальные,Аналоги существуют
10,Implement hand tracking,Да,поведение,принцип оптимизации,цикличные,Аналоги существуют
11,Design world anchors,Да,дискурс,закон вероятностей,явные,Аналоги существуют
12,Implement object recognition,Нет,дискурс,принцип обратной связи,институциональные,Аналоги существуют
13,Design interactive holograms,Условно,содержание,принцип вовлечения,индивидуальные,Уникальный
14,Implement room-scale VR,Нет,функция,принцип вовлечения,континуальные,Уникальный
15,Design AR puzzles,Условно,поведение,принцип последовательности,необходимые,Уникальный
16,Create VR narrative,Условно,технология/инфраструктура,принцип развлечения,эндогенные,Аналоги существуют
17,Implement gesture controls,Да,нормы,принцип обратной связи,институциональные,Аналоги существуют
18,Design photorealistic assets,Условно,институты,принцип вовлечения,постепенные,Уникальный
19,Ensure user safety,Да,экономика/обмен,принцип обратной связи,явные,Уникальный
20,Implement head tracking,Нет,дискурс,принцип развлечения,постепенные,Аналоги существуют
21,Design audio spatialization,Нет,функция,эвристика проб и ошибок,дискретные,Аналоги существуют
22,Implement multiplayer AR,Условно,поведение,принцип оптимизации,эндогенные,Уникальный
23,Design teleportation mechanics,Да,институты,принцип честной игры,институциональные,Аналоги существуют
24,Implement real-world mapping,Условно,пространство,принцип сложности,экзогенные,Аналоги существуют
25,Design immersive UI,Нет,время/ритм,принцип оптимизации,каскадные,Аналоги существуют
26,Implement lens distortion correction,Условно,время/ритм,принцип оптимизации,возможные,Аналоги существуют
27,Design interactive surfaces,Да,экономика/обмен,принцип обратной связи,коллективные,Аналоги существуют
28,Implement asynchronous multiplayer,Нет,идентичность/границы,принцип обратной связи,дискретные,Аналоги существуют
29,Design real-time lighting,Да,пространство,эвристика проб и ошибок,индивидуальные,Уникальный
30,Implement cross-platform compatibility,Да,отношения,эвристика проб и ошибок,эндогенные,Аналоги существуют
31,Design virtual avatars,Да,поведение,принцип оптимизации,неформальные,Уникальный
32,Implement mixed reality portals,Нет,нормы,принцип минимальной достаточности,экзогенные,Уникальный
33,Design environment scanning,Нет,время/ритм,принцип развлечения,мгновенные,Аналоги существуют
34,Implement physics-based interactions,Условно,структура,принцип честной игры,институциональные,Уникальный
35,Design proprioception cues,Условно,функция,принцип оптимизации,эндогенные,Уникальный
36,Implement marker-based AR,Да,дискурс,принцип минимальной достаточности,каскадные,Уникальный
37,Design AR NPC interactions,Условно,функция,принцип развлечения,дискретные,Уникальный
38,Implement VR locomotion options,Да,нормы,закон вероятностей,мгновенные,Уникальный
39,Design dynamic occlusion,Условно,структура,принцип обратной связи,неформальные,Уникальный
40,Implement field-of-view cues,Нет,символы,закон вероятностей,континуальные,Аналоги существуют
41,Design world transitions,Нет,тело/материя,принцип баланса,неформальные,Уникальный
42,Implement calibration systems,Нет,состояние,принцип оптимизации,коллективные,Аналоги существуют
43,Design dynamic scaling,Условно,институты,принцип сложности,эндогенные,Аналоги существуют
44,Implement pass-through vision,Условно,структура,принцип обратной связи,экзогенные,Аналоги существуют
45,Design cross reality puzzles,Да,символы,принцип адаптивности,эндогенные,Уникальный
46,Implement adaptive resolution,Условно,содержание,принцип адаптивности,цикличные,Аналоги существуют
47,Design gesture detection,Нет,пространство,принцип честной игры,неформальные,Уникальный
48,Implement MR audio mixing,Да,идентичность/границы,принцип последовательности,постепенные,Аналоги существуют
49,Design object persistence,Условно,функция,принцип минимальной достаточности,институциональные,Уникальный
