№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Encoding information,Нет,память/наследие,принцип когнитивной экономии,цикличные/каскадные,аналогичен другим
2,Sensory memory retention,Условно,память/наследие,принцип осознанности,цикличные/каскадные,аналогичен другим
3,Short‑term memory rehearsal,Нет,память/наследие,принцип индивидуальных различий,эндогенные/экзогенные,аналогичен другим
4,Long‑term memory consolidation,Нет,память/наследие,принцип мотивационного баланса,цикличные/каскадные,аналогичен другим
5,Retrieval cue generation,Условно,память/наследие,принцип развития,явные/латентные,уникальный
6,Recollection of episodic memories,Условно,память/наследие,принцип клинической эффективности,необходимые/возможные,аналогичен другим
7,Semantic memory activation,Да,память/наследие,принцип памяти,индивидуальные/коллективные,аналогичен другим
8,Procedural memory execution,Нет,память/наследие,принцип духовного развития,необходимые/возможные,аналогичен другим
9,Declarative memory retrieval,Нет,память/наследие,принцип памяти,дискретные/континуальные,аналогичен другим
10,Implicit memory influence,Нет,память/наследие,принцип эмоциональной гомеостаза,мгновенные/постепенные,аналогичен другим
11,Explicit memory recall,Нет,память/наследие,принцип нейронной пластичности,мгновенные/постепенные,аналогичен другим
12,Working memory updating,Нет,память/наследие,принцип мотивационного баланса,эндогенные/экзогенные,аналогичен другим
13,Memory reconsolidation,Нет,память/наследие,принцип когнитивной экономии,индивидуальные/коллективные,аналогичен другим
14,Forgetting curve progression,Нет,память/наследие,принцип социальной взаимности,эндогенные/экзогенные,уникальный
15,Memory decay,Условно,память/наследие,принцип памяти,цикличные/каскадные,аналогичен другим
16,Interference resolution,Нет,память/наследие,принцип восприятия,мгновенные/постепенные,аналогичен другим
17,Context‑dependent recall,Условно,память/наследие,принцип эмоциональной гомеостаза,эндогенные/экзогенные,аналогичен другим
18,State‑dependent recall,Нет,память/наследие,принцип осознанности,мгновенные/постепенные,аналогичен другим
19,Flashbulb memory formation,Нет,память/наследие,принцип мотивационного баланса,мгновенные/постепенные,уникальный
20,Autobiographical memory construction,Условно,память/наследие,принцип осознанности,явные/латентные,аналогичен другим
21,Prospective memory planning,Условно,память/наследие,принцип духовного развития,явные/латентные,аналогичен другим
22,Retroactive interference adjustment,Да,память/наследие,принцип памяти,дискретные/континуальные,аналогичен другим
23,Proactive interference adjustment,Условно,память/наследие,принцип духовного развития,необходимые/возможные,аналогичен другим
24,Chunking for memory,Условно,память/наследие,принцип социальной взаимности,цикличные/каскадные,аналогичен другим
25,Mnemonics application,Условно,память/наследие,принцип восприятия,цикличные/каскадные,аналогичен другим
26,Spaced repetition,Условно,память/наследие,принцип когнитивной экономии,мгновенные/постепенные,аналогичен другим
27,Elaborative rehearsal,Условно,память/наследие,принцип клинической эффективности,явные/латентные,аналогичен другим
28,Maintenance rehearsal,Да,память/наследие,принцип памяти,мгновенные/постепенные,аналогичен другим
29,Memory retrieval practice,Нет,память/наследие,принцип памяти,явные/латентные,аналогичен другим
30,Source monitoring,Условно,память/наследие,принцип индивидуальных различий,индивидуальные/коллективные,уникальный
31,False memory suppression,Нет,память/наследие,принцип осознанности,цикличные/каскадные,аналогичен другим
32,Memory suppression,Нет,память/наследие,принцип мотивационного баланса,эндогенные/экзогенные,аналогичен другим
33,Memory enhancement training,Да,память/наследие,принцип осознанности,цикличные/каскадные,аналогичен другим
34,Neurobiological encoding,Условно,память/наследие,принцип социальной взаимности,цикличные/каскадные,аналогичен другим
35,Consolidation during sleep,Нет,память/наследие,принцип социальной взаимности,эндогенные/экзогенные,аналогичен другим
36,Emotional memory modulation,Нет,память/наследие,принцип осознанности,эндогенные/экзогенные,аналогичен другим
37,Memory palaces,Нет,память/наследие,принцип когнитивной экономии,явные/латентные,аналогичен другим
38,Working memory interference,Нет,память/наследие,принцип социальной взаимности,мгновенные/постепенные,аналогичен другим
39,Memory indexing,Да,память/наследие,принцип духовного развития,эндогенные/экзогенные,аналогичен другим
40,Memory retrieval inhibition,Условно,память/наследие,принцип развития,явные/латентные,аналогичен другим
41,Serial position effect adjustment,Нет,память/наследие,принцип индивидуальных различий,институциональные/неформальные,уникальный
42,Recency effect exploitation,Условно,память/наследие,принцип развития,индивидуальные/коллективные,уникальный
43,Primacy effect exploitation,Условно,память/наследие,принцип восприятия,институциональные/неформальные,аналогичен другим
44,Memory schema formation,Условно,память/наследие,принцип памяти,индивидуальные/коллективные,аналогичен другим
45,Eyewitness memory evaluation,Да,память/наследие,принцип социальной взаимности,цикличные/каскадные,уникальный
46,Memory span testing,Нет,память/наследие,принцип индивидуальных различий,индивидуальные/коллективные,аналогичен другим
47,Dual coding in memory,Да,память/наследие,принцип восприятия,цикличные/каскадные,уникальный
