№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Идентификация рисков,Да,состояние,Risk Register,цикличные,Перекликается с SWOT-анализом
2,Качественный анализ рисков,Да,содержание,Risk Matrix,дискретные/континуальные,Связано с проектным управлением
3,Количественный анализ рисков,Да,экономика/обмен,Monte Carlo,дискретные,Связано с финансовым управлением
4,Приоритизация рисков,Да,функция,Risk scoring,дискретные,Перекликается со стратегией
5,Планирование мер по снижению рисков,Да,функция,Mitigation strategies,постепенные,Связано с change management
6,Передача рисков (страхование),Условно,экономика/обмен,Insurance,индивидуальные,Уникальный процесс
7,Избежание рисков,Да,функция,Avoidance strategy,индивидуальные/коллективные,Перекликается со стратегическим решением
8,Удержание рисков,Да,экономика/обмен,Retention strategy,индивидуальные,Связано с финансами
9,Мониторинг индикаторов риска,Да,состояние,Key Risk Indicators,цикличные,Аналогично мониторингу проектов
10,Планирование реагирования на инциденты,Да,состояние,Incident Response,индивидуальные/коллективные,Связано с crisis management
11,Разработка планов непрерывности бизнеса,Да,институты,BCP (Business Continuity Plan),постепенные,Связано с проектами
12,Аудит соответствия,Да,нормы,Compliance audit,дискретные,Связано с HR и проектами
13,Послесобытийный анализ,Да,память/наследие,Lessons Learned,цикличные,Аналогично завершению проекта
14,Формирование культуры управления рисками,Нет,нормы,Risk culture,постепенные,Связано с организационным поведением
15,Интеграция управления рисками в стратегию,Условно,нормы,Enterprise Risk Management (ERM),постепенные,Связано со стратегическим управлением
