№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Идентификация медиатора,Да,Структура,Ясность,Активные,Аналоги: юриспруденция
2,Подготовка сторон к медиации,Да,Содержание,Регуляция,Активные,Аналоги: психология
3,Формирование доверия к медиатору,Да,Отношения,Социальная динамика,Активные,Аналоги: психология доверия
4,Создание безопасного пространства,Да,Структура,Регуляция,Активные,Аналоги: психотерапия
5,Выбор формата медиации,Да,Структура,Адаптация,Активные,Аналоги: менеджмент
6,Установление правил взаимодействия,Да,Структура,Регуляция,Активные,Аналоги: юриспруденция
7,Сбор информации от сторон,Да,Содержание,Экономия,Активные,Аналоги: журналистика
8,Выявление интересов сторон,Да,Содержание,Ясность,Активные,Аналоги: переговоры
9,Формирование повестки медиации,Да,Структура,Упорядоченность,Активные,Аналоги: политика
10,Управление коммуникацией сторон,Да,Отношения,Регуляция,Активные,Аналоги: менеджмент
11,Регулирование эмоционального фона,Да,Состояние,Баланс,Активные,Аналоги: психология эмоций
12,Переформулирование позиций,Да,Содержание,Ясность,Активные,Аналоги: психолингвистика
13,Выявление точек соприкосновения,Да,Содержание,Интеграция,Активные,Аналоги: переговоры
14,Фасилитация диалога,Да,Отношения,Кооперация,Активные,Аналоги: фасилитация
15,Разделение сторон во времени и пространстве,Да,Структура,Дифференциация,Активные,Аналоги: дипломатия (каучинг)
16,Использование кавказуса (переговоры по отдельности),Да,Структура,Гибкость,Активные,Аналоги: переговоры
17,Генерация вариантов решений,Да,Содержание,Экспрессия,Активные,Аналоги: креативные техники
18,Оценка вариантов решений,Да,Содержание,Критичность,Активные,Аналоги: менеджмент
19,Выбор приемлемого решения,Да,Содержание,Приоритет,Активные,Аналоги: переговоры
20,Формирование соглашения,Да,Содержание,Регуляция,Активные,Аналоги: юриспруденция
21,Закрепление соглашения,Да,Содержание,Устойчивость,Активные,Аналоги: право
22,Мониторинг выполнения соглашения,Да,Содержание,Устойчивость,Постепенные,Аналоги: менеджмент
23,Поддержка постконфликтного взаимодействия,Да,Отношения,Социальная динамика,Постепенные,Аналоги: постконфликтное восстановление
24,Использование символов в медиации,Да,Содержание,Экспрессия,Активные,Аналоги: культура
25,Интеркультурная медиация,Да,Содержание,Социальная динамика,Активные,Аналоги: антропология
26,Онлайн-медиация,Да,Структура,Гибкость,Активные,Аналоги: ИТ
27,Автоматизированная медиация (ИИ),Да,Структура,Адаптация,Активные,Аналоги: компьютерная лингвистика
28,Коллективная медиация,Да,Отношения,Социальная динамика,Активные,Аналоги: социология
29,Медиация с элементами коучинга,Да,Содержание,Экспрессия,Активные,Аналоги: психология
30,Медиация с элементами психотерапии,Да,Содержание,Экспрессия,Активные,Аналоги: психотерапия
31,Духовная медиация,Да,Содержание,Экспрессия,Активные,Аналоги: религиоведение
