№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Замедление движения,Да,время/ритм,Эвристика замедленной экспрессии,"постепенные, индивидуальные",Уникально для буто
2,Использование белой краски,Нет,символы,Белый цвет как маска,"неформальные, индивидуальные",Уникально для буто
3,Искажённая поза,Да,структура,Выход за пределы привычной анатомии,"непрерывные, индивидуальные",Аналоги: современный танец
4,Переход из тьмы в свет,Да,дискурс,Метафора трансформации,"дискретные, индивидуальные",Уникально для буто
5,Гротескное выражение,Да,поведение,Контрастное воздействие на зрителя,"дискретные, индивидуальные",Уникально для буто
6,Эмоциональный выплеск,Да,состояние,Катарсис через движение,"мгновенные, индивидуальные",Аналоги: терапия
7,Метафорическая трансформация,Да,идентичность/границы,Становление другим,"дискретные, индивидуальные",Уникально для буто
8,Начало в эмбриональной позе,Да,пространство,Возвращение к первичной форме,"дискретные, индивидуальные",Уникально для буто
9,Трепетание,Да,функция,Микродвижения для выражения внутреннего,"непрерывные, индивидуальные",Аналоги: соматика
10,Развитие из неподвижности,Да,время/ритм,Контраст статика/динамика,"цикличные, индивидуальные",Уникально для буто
11,Импровизация формы,Да,поведение,Свободная форма внутри структуры,"мгновенные, индивидуальные",Аналоги: импровизация
12,Взаимодействие с пространством,Да,пространство,Ткань пространства как партнёр,"непрерывные, индивидуальные",Аналоги: современный танец
13,Исследование табу,Нет,дискурс,Темы запрета и тьмы,"дискретные, индивидуальные",Уникально для буто
14,Ритуальное действие,Нет,институты,Ритуальные жесты,"институциональные, индивидуальные",Аналоги: народный танец
15,Перевоплощение,Да,идентичность/границы,Полное изменение сущности,"дискретные, индивидуальные",Уникально для буто
