№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Emotion elicitation,Да,состояние,принцип индивидуальных различий,институциональные/неформальные,аналогичен другим
2,Emotion appraisal,Да,состояние,принцип индивидуальных различий,эндогенные/экзогенные,аналогичен другим
3,Emotion recognition,Нет,состояние,принцип восприятия,эндогенные/экзогенные,аналогичен другим
4,Emotion expression regulation,Да,состояние,принцип мотивационного баланса,эндогенные/экзогенные,аналогичен другим
5,Emotion suppression,Да,состояние,принцип эмоциональной гомеостаза,эндогенные/экзогенные,аналогичен другим
6,Emotion reappraisal,Нет,состояние,принцип мотивационного баланса,дискретные/континуальные,аналогичен другим
7,Catharsis,Нет,состояние,принцип когнитивной экономии,необходимые/возможные,аналогичен другим
8,Empathy generation,Да,состояние,принцип клинической эффективности,индивидуальные/коллективные,аналогичен другим
9,Sympathy expression,Нет,состояние,принцип клинической эффективности,явные/латентные,аналогичен другим
10,Mood induction,Нет,состояние,принцип осознанности,эндогенные/экзогенные,аналогичен другим
11,Emotion contagion,Условно,состояние,принцип клинической эффективности,мгновенные/постепенные,аналогичен другим
12,Emotion differentiation,Условно,состояние,принцип духовного развития,эндогенные/экзогенные,аналогичен другим
13,Affective forecasting,Нет,состояние,принцип осознанности,эндогенные/экзогенные,аналогичен другим
14,Emotional intelligence training,Нет,состояние,принцип восприятия,эндогенные/экзогенные,аналогичен другим
15,Emotion labeling,Нет,состояние,принцип мотивационного баланса,индивидуальные/коллективные,аналогичен другим
16,Emotion decoding,Условно,состояние,принцип духовного развития,цикличные/каскадные,уникальный
17,Emotional resilience building,Условно,состояние,принцип памяти,институциональные/неформальные,аналогичен другим
18,Positive affect enhancement,Да,состояние,принцип мотивационного баланса,дискретные/континуальные,аналогичен другим
19,Negative affect reduction,Условно,состояние,принцип осознанности,индивидуальные/коллективные,уникальный
20,Emotion-focused coping,Да,состояние,принцип социальной взаимности,институциональные/неформальные,уникальный
21,Problem-focused coping,Да,состояние,принцип памяти,эндогенные/экзогенные,аналогичен другим
22,Emotional validation,Условно,состояние,принцип мотивационного баланса,необходимые/возможные,аналогичен другим
23,Emotion suppression recovery,Да,состояние,принцип нейронной пластичности,дискретные/континуальные,аналогичен другим
24,Affective regulation strategy selection,Условно,состояние,принцип индивидуальных различий,институциональные/неформальные,уникальный
25,Attunement to others' emotions,Да,состояние,принцип нейронной пластичности,мгновенные/постепенные,аналогичен другим
26,Self‑soothing,Нет,состояние,принцип нейронной пластичности,необходимые/возможные,аналогичен другим
27,Emotion-driven decision making,Нет,состояние,принцип клинической эффективности,индивидуальные/коллективные,уникальный
28,Mood-congruent memory retrieval,Да,состояние,принцип эмоциональной гомеостаза,явные/латентные,аналогичен другим
29,Emotion-driven attention,Нет,состояние,принцип нейронной пластичности,явные/латентные,аналогичен другим
30,Emotion-driven learning,Условно,состояние,принцип осознанности,индивидуальные/коллективные,аналогичен другим
31,Misattribution of arousal correction,Да,состояние,принцип когнитивной экономии,цикличные/каскадные,аналогичен другим
32,Physiological arousal monitoring,Условно,состояние,принцип восприятия,индивидуальные/коллективные,аналогичен другим
33,Facial feedback processing,Нет,состояние,принцип духовного развития,цикличные/каскадные,аналогичен другим
34,Cultural display rules adaptation,Нет,состояние,принцип эмоциональной гомеостаза,дискретные/континуальные,аналогичен другим
35,Emotional contagion mitigation,Да,состояние,принцип развития,цикличные/каскадные,аналогичен другим
36,Emotion-driven creativity,Условно,состояние,принцип осознанности,индивидуальные/коллективные,аналогичен другим
37,Emotion-driven social bonding,Нет,состояние,принцип осознанности,дискретные/континуальные,аналогичен другим
38,Emotion-driven moral reasoning,Нет,состояние,принцип социальной взаимности,явные/латентные,уникальный
39,Reframing emotional experiences,Условно,состояние,принцип памяти,институциональные/неформальные,аналогичен другим
40,Mindfulness of emotions,Нет,состояние,принцип когнитивной экономии,эндогенные/экзогенные,аналогичен другим
41,Compassion cultivation,Нет,состояние,принцип индивидуальных различий,институциональные/неформальные,аналогичен другим
42,Gratitude practice,Условно,состояние,принцип памяти,необходимые/возможные,аналогичен другим
43,Expression of joy,Да,состояние,принцип духовного развития,явные/латентные,аналогичен другим
44,Anger management,Условно,состояние,принцип эмоциональной гомеостаза,индивидуальные/коллективные,аналогичен другим
45,Fear extinction,Нет,состояние,принцип осознанности,дискретные/континуальные,аналогичен другим
46,Sadness processing,Да,состояние,принцип когнитивной экономии,цикличные/каскадные,аналогичен другим
47,Disgust regulation,Нет,состояние,принцип когнитивной экономии,цикличные/каскадные,аналогичен другим
48,Surprise acknowledgement,Нет,состояние,принцип социальной взаимности,явные/латентные,аналогичен другим
49,Emotion synthesis awareness,Нет,состояние,принцип мотивационного баланса,дискретные/континуальные,аналогичен другим
