№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,создание библиотеки компонентов,Да,символы,принцип обратной связи,цикличные,Аналогичный
2,определение дизайн-токенов,Условно,экономика/обмен,принцип обратной связи,экзогенные,Уникальный
3,создание pattern library,Условно,тело/материя,принцип модульности,неформальные,Аналогичный
4,описание руководства по стилю,Нет,состояние,принцип модульности,цикличные,Аналогичный
5,автоматизация обновлений,Условно,отношения,закон Фиттса,каскадные,Аналогичный
6,создание документации,Нет,пространство,эффект эстетики-юзабилити,неформальные,Аналогичный
7,управление версиями,Условно,нормы,эффект эстетики-юзабилити,эндогенные,Аналогичный
8,анализ использования компонентов,Нет,поведение,принцип обратной связи,коллективные,Аналогичный
9,разработка guidelines,Условно,содержание,принцип иерархии,латентные,Аналогичный
10,создание репозитория,Да,поведение,принцип «прежде человека»,неформальные,Уникальный
11,проектирование процессов внедрения,Да,поведение,закон Фиттса,каскадные,Аналогичный
12,обновление библиотеки,Условно,память/наследие,Gestalt принцип группировки,неформальные,Уникальный
13,интеграция с разработкой,Нет,дискурс,принцип обратной связи,постепенные,Уникальный
14,переиспользование компонентов,Нет,структура,закон Хика,институциональные,Аналогичный
15,обучение команды,Да,нормы,принцип «прежде человека»,коллективные,Уникальный
16,согласование с брендом,Да,пространство,принцип обратной связи,каскадные,Аналогичный
17,управление цветовой системой,Условно,отношения,принцип устойчивости,необходимые,Аналогичный
18,создание типографической шкалы,Да,структура,эффект эстетики-юзабилити,постепенные,Уникальный
19,проектирование систем сеток,Нет,состояние,принцип иерархии,мгновенные,Уникальный
20,сбор обратной связи,Да,отношения,принцип модульности,дискретные,Уникальный
21,определение naming conventions,Условно,отношения,принцип обратной связи,возможные,Уникальный
22,создание шаблонов,Нет,отношения,принцип модульности,каскадные,Уникальный
23,установление процессов контроля качества,Условно,содержание,принцип «прежде человека»,явные,Уникальный
24,обеспечение доступности компонентов,Нет,тело/материя,принцип модульности,эндогенные,Уникальный
25,разработка чек-листов,Условно,идентичность/границы,принцип иерархии,цикличные,Уникальный
26,создание футпринтов для компонентов,Нет,поведение,эффект эстетики-юзабилити,экзогенные,Уникальный
27,поддержка внутренних инструментов,Условно,нормы,закон Хика,экзогенные,Аналогичный
28,проектирование уровня абстракции,Условно,значения,принцип доступности,коллективные,Уникальный
29,создание библиотеки иконок,Да,поведение,принцип доступности,эндогенные,Аналогичный
30,настройка токенов отступов,Да,нормы,закон Хика,возможные,Аналогичный
31,формирование governance process,Нет,институты,эвристика Нильсена,латентные,Уникальный
32,архитектура размещения файлов,Да,состояние,эффект эстетики-юзабилити,каскадные,Аналогичный
33,интеграция со сторонними библиотеками,Условно,отношения,принцип «прежде человека»,эндогенные,Аналогичный
34,оптимизация производительности,Да,время/ритм,Gestalt принцип группировки,неформальные,Уникальный
35,поддержка темing,Да,пространство,Gestalt принцип группировки,континуальные,Уникальный
36,разработка гибких шаблонов,Условно,память/наследие,закон Хика,необходимые,Уникальный
37,создание примеров использования,Условно,экономика/обмен,закон Хика,экзогенные,Аналогичный
38,синхронизация с продуктовой командой,Условно,состояние,принцип иерархии,континуальные,Уникальный
39,обновление гайдлайнов,Нет,поведение,принцип иерархии,экзогенные,Уникальный
40,выявление технических ограничений,Нет,функция,принцип иерархии,институциональные,Аналогичный
41,мониторинг принятых решений,Условно,поведение,принцип обратной связи,коллективные,Уникальный
42,адаптация для разных платформ,Условно,отношения,эффект эстетики-юзабилити,дискретные,Уникальный
43,периодические ревью,Нет,память/наследие,принцип модульности,цикличные,Аналогичный
44,интеграция с тестированием,Да,значения,принцип целостности,индивидуальные,Уникальный
45,документирование best practices,Нет,пространство,принцип модульности,явные,Аналогичный
46,предоставление обратной связи разработчикам,Нет,значения,принцип доступности,дискретные,Аналогичный
47,управление процессом deprecation,Да,пространство,принцип обратной связи,латентные,Аналогичный
