№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Построение генетических регуляторных сетей,Условно,структура,Графовая модель,возможные; коллективные; исследовательские,Основной процесс
2,Анализ топологии сети,Да,содержание,Теория графов,возможные; дискретные; индивидуальные,Общий сетевой анализ
3,Динамическое моделирование сигнальных путей,Условно,функция,Дифференциальные уравнения,возможные; континуальные; исследовательские,Связь с системной биологией
4,Выявление сетевых мотивов,Да,структура,Комбинаторный поиск,возможные; дискретные; индивидуальные,Уникальный сетевой аспект
5,Картирование белок‑белковых взаимодействий,Условно,отношения,Экспериментальные методы,возможные; коллективные; исследовательские,Связь с протеомикой
6,Определение узлов‑хабов,Да,отношения,Центральность,возможные; дискретные; индивидуальные,Может служить целями лекарств
7,Приоритизация генов‑кандидатов по сетевым методам,Условно,отношения,Графовые алгоритмы,возможные; коллективные; исследовательские,Используется в системной медицине
8,Интеграция разноуровневых сетей (multi‑layer),Условно,структура,Мультислойные графы,возможные; коллективные; институциональные,Связь с мультиомикой
9,Визуализация сложных биологических сетей,Да,дискурс,Интерактивные графы,возможные; дискретные; индивидуальные,Облегчает интерпретацию
10,Анализ устойчивости сети к возмущениям,Условно,состояние,Теория устойчивости,возможные; континуальные; исследовательские,Проверка надежности
11,Реконструкция сетей из омics данных,Условно,структура,Обратная инженерия,возможные; коллективные; исследовательские,Соединяет сгеномикой
12,Выявление сообществ внутри сети,Да,отношения,Community detection,возможные; дискретные; индивидуальные,Используется в анализе микробиома
13,Анализ временной динамики сетей,Условно,время/ритм,Time-series network,возможные; континуальные; исследовательские,Моделирует изменения
14,Проектирование искусственных сетей,Условно,структура,Синтетическая биология,возможные; дискретные; исследовательские,Связь с синтетикой
15,Оценка резилиентности сетей к мутациям,Условно,состояние,Виртуальные нокауты,возможные; континуальные; исследовательские,Позволяет выявить уязвимые узлы
