№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Извлечение метаболитов из биологического образца,Да,тело/материя,Солвентная экстракция,необходимые; дискретные; лабораторные,Уникальный процесс для химического анализа
2,Дериватизация метаболитов для повышения летучести,Да,тело/материя,Химические преобразования,необходимые; дискретные; лабораторные,Аналог в протеомике — модификация пептидов
3,Хроматографическое разделение метаболитов,Да,структура,Разделение по полярности,необходимые; дискретные; технологические,Аналог в липидомике
4,Получение масс‑спектра метаболитов,Да,структура,Физические законы масс‑спектрометрии,необходимые; дискретные; технологические,Общий для всех омics
5,Обработка данных: обнаружение и интеграция пиков,Да,содержание,Алгоритмы обработки сигналов,возможные; дискретные; индивидуальные,Аналог в протеомике
6,Нормализация интенсивностей метаболитов,Да,содержание,Статистическая корректировка,возможные; дискретные; индивидуальные,Уникальность — устранение вариации образцов
7,Идентификация метаболитов по библиотекам спектров,Да,содержание,Сопоставление спектров,возможные; дискретные; индивидуальные,Общие алгоритмы поиска
8,Квантирование концентраций метаболитов,Да,содержание,Количественный анализ,необходимые; дискретные; индивидуальные,Широко используется в клиниках
9,Статистический анализ для поиска биомаркеров,Условно,состояние,Гипотезы и тесты,возможные; коллективные; латентные,Аналог в системной медицине
10,Построение карт метаболических путей,Да,структура,Биоинформационные базы,возможные; дискретные; институциональные,Аналог в сетевой биологии
11,Интеграция данных с геномикой и протеомикой,Условно,отношения,Мультиомное объединение,возможные; коллективные; институциональные,Перекрестный омics
12,Визуализация метаболических сетей,Да,дискурс,Графовая теория,возможные; дискретные; индивидуальные,Общие методы визуализации
13,Контроль качества метаболомных данных,Да,нормы,Стандарты QC,необходимые; дискретные; институциональные,Важно для всех омics
14,Анализ метаболических потоков (flux analysis),Условно,функция,Математическое моделирование,возможные; континуальные; коллективные,Аналог в системной биологии
15,Аннотация неизвестных метаболитов,Условно,содержание,Эвристические алгоритмы,возможные; индивидуальные; исследовательские,Уникальность — поиск новых соединений
