№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,формулировать предложение самореференциальное,Да,время/ритм,закон исключённого третьего,необходимые,Уникальный
2,формулировать предложение противоречивое,Нет,функция,принцип непротиворечия,возможные,Аналоги в других парадоксах
3,формулировать предложение двусмысленное,Условно,нормы,закон тождества,мгновенные,Типичный пример
4,формулировать предложение ложное,Да,институты,логический плюрализм,постепенные,Уникальный
5,формулировать предложение истинное,Нет,экономика/обмен,правило дедукции,дискретные,Аналоги в других парадоксах
6,формулировать предложение неопределённое,Условно,дискурс,арифметический формализм,континуальные,Типичный пример
7,формулировать высказывание самореференциальное,Да,время/ритм,закон исключённого третьего,индивидуальные,Уникальный
8,формулировать высказывание противоречивое,Нет,память/наследие,принцип непротиворечия,коллективные,Аналоги в других парадоксах
9,формулировать высказывание двусмысленное,Условно,экономика/обмен,закон тождества,эндогенные,Типичный пример
10,формулировать высказывание ложное,Да,отношения,логический плюрализм,экзогенные,Уникальный
11,формулировать высказывание истинное,Нет,символы,правило дедукции,институциональные,Аналоги в других парадоксах
12,формулировать высказывание неопределённое,Условно,состояние,арифметический формализм,неформальные,Типичный пример
13,формулировать посылка самореференциальное,Да,идентичность/границы,закон исключённого третьего,цикличные,Уникальный
14,формулировать посылка противоречивое,Нет,значения,принцип непротиворечия,каскадные,Аналоги в других парадоксах
15,формулировать посылка двусмысленное,Условно,функция,закон тождества,явные,Типичный пример
16,формулировать посылка ложное,Да,состояние,логический плюрализм,латентные,Уникальный
17,формулировать посылка истинное,Нет,тело/материя,правило дедукции,необходимые,Аналоги в других парадоксах
18,формулировать посылка неопределённое,Условно,содержание,арифметический формализм,возможные,Типичный пример
19,формулировать утверждение самореференциальное,Да,нормы,закон исключённого третьего,мгновенные,Уникальный
20,формулировать утверждение противоречивое,Нет,технология/инфраструктура,принцип непротиворечия,постепенные,Аналоги в других парадоксах
21,формулировать утверждение двусмысленное,Условно,память/наследие,закон тождества,дискретные,Типичный пример
22,формулировать утверждение ложное,Да,значения,логический плюрализм,континуальные,Уникальный
23,формулировать утверждение истинное,Нет,состояние,правило дедукции,индивидуальные,Аналоги в других парадоксах
24,формулировать утверждение неопределённое,Условно,отношения,арифметический формализм,коллективные,Типичный пример
25,формулировать фраза самореференциальное,Да,институты,закон исключённого третьего,эндогенные,Уникальный
26,формулировать фраза противоречивое,Нет,идентичность/границы,принцип непротиворечия,экзогенные,Аналоги в других парадоксах
27,формулировать фраза двусмысленное,Условно,значения,закон тождества,институциональные,Типичный пример
28,формулировать фраза ложное,Да,функция,логический плюрализм,неформальные,Уникальный
29,формулировать фраза истинное,Нет,нормы,правило дедукции,цикличные,Аналоги в других парадоксах
30,формулировать фраза неопределённое,Условно,содержание,арифметический формализм,каскадные,Типичный пример
31,формулировать аргумент самореференциальное,Да,отношения,закон исключённого третьего,явные,Уникальный
32,формулировать аргумент противоречивое,Нет,состояние,принцип непротиворечия,латентные,Аналоги в других парадоксах
33,формулировать аргумент двусмысленное,Условно,отношения,закон тождества,необходимые,Типичный пример
34,формулировать аргумент ложное,Да,технология/инфраструктура,логический плюрализм,возможные,Уникальный
35,формулировать аргумент истинное,Нет,содержание,правило дедукции,мгновенные,Аналоги в других парадоксах
36,формулировать аргумент неопределённое,Условно,отношения,арифметический формализм,постепенные,Типичный пример
37,формулировать условие самореференциальное,Да,символы,закон исключённого третьего,дискретные,Уникальный
38,формулировать условие противоречивое,Нет,память/наследие,принцип непротиворечия,континуальные,Аналоги в других парадоксах
39,формулировать условие двусмысленное,Условно,идентичность/границы,закон тождества,индивидуальные,Типичный пример
40,формулировать условие ложное,Да,экономика/обмен,логический плюрализм,коллективные,Уникальный
41,формулировать условие истинное,Нет,институты,правило дедукции,эндогенные,Аналоги в других парадоксах
42,формулировать условие неопределённое,Условно,содержание,арифметический формализм,экзогенные,Типичный пример
43,формулировать предикат самореференциальное,Да,идентичность/границы,закон исключённого третьего,институциональные,Уникальный
44,формулировать предикат противоречивое,Нет,нормы,принцип непротиворечия,неформальные,Аналоги в других парадоксах
45,формулировать предикат двусмысленное,Условно,нормы,закон тождества,цикличные,Типичный пример
46,формулировать предикат ложное,Да,нормы,логический плюрализм,каскадные,Уникальный
47,формулировать предикат истинное,Нет,пространство,правило дедукции,явные,Аналоги в других парадоксах
48,формулировать предикат неопределённое,Условно,функция,арифметический формализм,латентные,Типичный пример
49,исследовать предложение самореференциальное,Да,институты,закон исключённого третьего,необходимые,Уникальный
50,исследовать предложение противоречивое,Нет,пространство,принцип непротиворечия,возможные,Аналоги в других парадоксах
51,исследовать предложение двусмысленное,Условно,отношения,закон тождества,мгновенные,Типичный пример
52,исследовать предложение ложное,Да,пространство,логический плюрализм,постепенные,Уникальный
53,исследовать предложение истинное,Нет,экономика/обмен,правило дедукции,дискретные,Аналоги в других парадоксах
54,исследовать предложение неопределённое,Условно,время/ритм,арифметический формализм,континуальные,Типичный пример
55,исследовать высказывание самореференциальное,Да,идентичность/границы,закон исключённого третьего,индивидуальные,Уникальный
56,исследовать высказывание противоречивое,Нет,память/наследие,принцип непротиворечия,коллективные,Аналоги в других парадоксах
57,исследовать высказывание двусмысленное,Условно,тело/материя,закон тождества,эндогенные,Типичный пример
58,исследовать высказывание ложное,Да,идентичность/границы,логический плюрализм,экзогенные,Уникальный
59,исследовать высказывание истинное,Нет,структура,правило дедукции,институциональные,Аналоги в других парадоксах
60,исследовать высказывание неопределённое,Условно,институты,арифметический формализм,неформальные,Типичный пример
61,исследовать посылка самореференциальное,Да,поведение,закон исключённого третьего,цикличные,Уникальный
62,исследовать посылка противоречивое,Нет,состояние,принцип непротиворечия,каскадные,Аналоги в других парадоксах
63,исследовать посылка двусмысленное,Условно,нормы,закон тождества,явные,Типичный пример
64,исследовать посылка ложное,Да,тело/материя,логический плюрализм,латентные,Уникальный
65,исследовать посылка истинное,Нет,структура,правило дедукции,необходимые,Аналоги в других парадоксах
66,исследовать посылка неопределённое,Условно,значения,арифметический формализм,возможные,Типичный пример
67,исследовать утверждение самореференциальное,Да,технология/инфраструктура,закон исключённого третьего,мгновенные,Уникальный
68,исследовать утверждение противоречивое,Нет,идентичность/границы,принцип непротиворечия,постепенные,Аналоги в других парадоксах
69,исследовать утверждение двусмысленное,Условно,экономика/обмен,закон тождества,дискретные,Типичный пример
70,исследовать утверждение ложное,Да,отношения,логический плюрализм,континуальные,Уникальный
71,исследовать утверждение истинное,Нет,память/наследие,правило дедукции,индивидуальные,Аналоги в других парадоксах
72,исследовать утверждение неопределённое,Условно,поведение,арифметический формализм,коллективные,Типичный пример
73,исследовать фраза самореференциальное,Да,символы,закон исключённого третьего,эндогенные,Уникальный
74,исследовать фраза противоречивое,Нет,память/наследие,принцип непротиворечия,экзогенные,Аналоги в других парадоксах
75,исследовать фраза двусмысленное,Условно,экономика/обмен,закон тождества,институциональные,Типичный пример
76,исследовать фраза ложное,Да,технология/инфраструктура,логический плюрализм,неформальные,Уникальный
77,исследовать фраза истинное,Нет,институты,правило дедукции,цикличные,Аналоги в других парадоксах
78,исследовать фраза неопределённое,Условно,функция,арифметический формализм,каскадные,Типичный пример
79,исследовать аргумент самореференциальное,Да,отношения,закон исключённого третьего,явные,Уникальный
80,исследовать аргумент противоречивое,Нет,структура,принцип непротиворечия,латентные,Аналоги в других парадоксах
81,исследовать аргумент двусмысленное,Условно,технология/инфраструктура,закон тождества,необходимые,Типичный пример
82,исследовать аргумент ложное,Да,содержание,логический плюрализм,возможные,Уникальный
83,исследовать аргумент истинное,Нет,институты,правило дедукции,мгновенные,Аналоги в других парадоксах
84,исследовать аргумент неопределённое,Условно,память/наследие,арифметический формализм,постепенные,Типичный пример
85,исследовать условие самореференциальное,Да,функция,закон исключённого третьего,дискретные,Уникальный
86,исследовать условие противоречивое,Нет,символы,принцип непротиворечия,континуальные,Аналоги в других парадоксах
87,исследовать условие двусмысленное,Условно,поведение,закон тождества,индивидуальные,Типичный пример
88,исследовать условие ложное,Да,функция,логический плюрализм,коллективные,Уникальный
89,исследовать условие истинное,Нет,отношения,правило дедукции,эндогенные,Аналоги в других парадоксах
90,исследовать условие неопределённое,Условно,символы,арифметический формализм,экзогенные,Типичный пример
91,исследовать предикат самореференциальное,Да,символы,закон исключённого третьего,институциональные,Уникальный
92,исследовать предикат противоречивое,Нет,идентичность/границы,принцип непротиворечия,неформальные,Аналоги в других парадоксах
93,исследовать предикат двусмысленное,Условно,символы,закон тождества,цикличные,Типичный пример
94,исследовать предикат ложное,Да,функция,логический плюрализм,каскадные,Уникальный
95,исследовать предикат истинное,Нет,состояние,правило дедукции,явные,Аналоги в других парадоксах
96,исследовать предикат неопределённое,Условно,нормы,арифметический формализм,латентные,Типичный пример
97,анализировать предложение самореференциальное,Да,технология/инфраструктура,закон исключённого третьего,необходимые,Уникальный
98,анализировать предложение противоречивое,Нет,нормы,принцип непротиворечия,возможные,Аналоги в других парадоксах
99,анализировать предложение двусмысленное,Условно,время/ритм,закон тождества,мгновенные,Типичный пример
100,анализировать предложение ложное,Да,технология/инфраструктура,логический плюрализм,постепенные,Уникальный
101,анализировать предложение истинное,Нет,дискурс,правило дедукции,дискретные,Аналоги в других парадоксах
102,анализировать предложение неопределённое,Условно,нормы,арифметический формализм,континуальные,Типичный пример
103,анализировать высказывание самореференциальное,Да,состояние,закон исключённого третьего,индивидуальные,Уникальный
104,анализировать высказывание противоречивое,Нет,экономика/обмен,принцип непротиворечия,коллективные,Аналоги в других парадоксах
105,анализировать высказывание двусмысленное,Условно,тело/материя,закон тождества,эндогенные,Типичный пример
106,анализировать высказывание ложное,Да,институты,логический плюрализм,экзогенные,Уникальный
107,анализировать высказывание истинное,Нет,пространство,правило дедукции,институциональные,Аналоги в других парадоксах
108,анализировать высказывание неопределённое,Условно,нормы,арифметический формализм,неформальные,Типичный пример
109,анализировать посылка самореференциальное,Да,время/ритм,закон исключённого третьего,цикличные,Уникальный
110,анализировать посылка противоречивое,Нет,тело/материя,принцип непротиворечия,каскадные,Аналоги в других парадоксах
111,анализировать посылка двусмысленное,Условно,функция,закон тождества,явные,Типичный пример
112,анализировать посылка ложное,Да,тело/материя,логический плюрализм,латентные,Уникальный
