№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Телесное сканирование,Да,состояние,Осознанное внимательное наблюдение,"мгновенные, индивидуальные",Уникально для соматики
2,Сознательное дыхание,Да,состояние,Дыхание как регулятор,"непрерывные, индивидуальные",Аналоги: современный танец
3,Осознание ощущений,Да,состояние,Интероцептивная чувствительность,"непрерывные, индивидуальные",Уникально для соматики
4,Медленное движение,Да,функция,Принцип «медленно значит чувствовать»,"постепенные, индивидуальные",Аналоги: буто
5,Перепрограммирование мышечной памяти,Нет,функция,Нейропластичность,"постепенные, индивидуальные",Уникально для соматики
6,Мягкое растягивание,Да,тело/материя,Снижение напряжения,"постепенные, индивидуальные",Аналоги: балет
7,Создание нейронных путей,Нет,функция,Обучение через повторение,"постепенные, индивидуальные",Аналоги: все обучение
8,Визуализация тела,Да,состояние,Ментальные образы для улучшения движения,"мгновенные, индивидуальные",Аналоги: терапия
9,Переключение внимания,Да,состояние,Фокусировка на разных частях тела,"мгновенные, индивидуальные",Уникально для соматики
10,Микродвижения,Да,функция,Мелкие корректировки мышц,"непрерывные, индивидуальные",Аналоги: буто
11,Саморегуляция,Да,состояние,Автономная нервная система как мета-объект,"постепенные, индивидуальные",Аналоги: терапия
12,Перекрёстные движения,Да,функция,Координация обеих полушарий,"непрерывные, индивидуальные",Аналоги: терапия
13,Интуитивный танец,Да,поведение,Движение из внутреннего импульса,"мгновенные, индивидуальные",Аналоги: импровизация
14,Освобождение напряжения,Да,состояние,Снятие мышечных блоков,"непрерывные, индивидуальные",Аналоги: терапия
15,Рефлексия,Да,память/наследие,Запись и анализ переживаний,"постепенные, индивидуальные",Уникально для соматики
