№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Формирование цифровой идентичности,Нет,идентичность/границы,самопрезентация,индивидуальные/неформальные,аналог в социологии идентичности
2,Размывание цифровой идентичности,Да,идентичность/границы,гибридизация,индивидуальные/коллективные,новый
3,Создание онлайн-сообществ,Нет,структура,сетевизация,коллективные/институциональные,аналог в community studies
4,Распад онлайн-сообществ,Нет,структура,децентрализация,коллективные/латентные,новый
5,Формирование цифровых норм поведения,Нет,нормы,регуляция,коллективные/неформальные,аналог в социологии норм
6,Эрозия цифровых норм,Да,нормы,размывание,коллективные/латентные,новый
7,Создание цифрового капитала,Нет,экономика/обмен,символическая ценность,индивидуальные/коллективные,аналог в культурном капитале
8,Обесценивание цифрового капитала,Да,экономика/обмен,потеря ценности,индивидуальные/коллективные,новый
9,Формирование института цифровой приватности,Нет,институты,защита данных,коллективные/институциональные,аналог в data studies
10,Кризис цифровой приватности,Да,институты,утрата доверия,коллективные/институциональные,новый
11,Создание цифровых ритуалов (лайки, эмодзи),Нет,поведение,ритуализация,индивидуальные/коллективные,новый
12,Эрозия цифровых ритуалов,Да,поведение,утрата значимости,индивидуальные/коллективные,новый
13,Формирование практик цифровой солидарности,Нет,отношения,поддержка,коллективные/неформальные,аналог в социальных движениях
14,Распад цифровой солидарности,Нет,отношения,атомизация,коллективные/латентные,новый
15,Создание института цифровой репутации,Нет,институты,рейтинговая система,индивидуальные/институциональные,аналог в platform studies
16,Кризис цифровой репутации,Да,институты,манипуляция,индивидуальные/институциональные,новый
17,Формирование цифрового дискурса,Нет,дискурс,репрезентация,коллективные/институциональные,аналог в media studies
18,Фрагментация цифрового дискурса,Да,дискурс,поляризация,коллективные/латентные,аналог в политсоциологии
19,Создание института цифрового архива,Нет,память/наследие,фиксация данных,коллективные/институциональные,аналог в архивоведении
20,Эрозия цифровых архивов,Да,память/наследие,утрата данных,коллективные/институциональные,новый
21,Формирование алгоритмического управления,Нет,функция,автоматизация,коллективные/институциональные,аналог в governance studies
22,Кризис алгоритмического управления,Да,функция,утрата доверия,коллективные/институциональные,новый
23,Создание цифровых двойников,Нет,символы,репрезентация,индивидуальные/коллективные,аналог в digital identity studies
24,Кризис цифровых двойников,Да,символы,недоверие,индивидуальные/коллективные,новый
25,Формирование института цифрового труда,Нет,институты,платформизация,индивидуальные/коллективные,аналог в labour studies
26,Кризис цифрового труда,Да,институты,прекаризация,индивидуальные/коллективные,новый
27,Создание цифрового досуга,Нет,поведение,онлайн-рекреация,индивидуальные/коллективные,аналог в культурологии
28,Эрозия цифрового досуга,Да,поведение,утрата интереса,индивидуальные/коллективные,новый
29,Формирование института цифровой зависимости,Нет,состояние,аддикция,индивидуальные/коллективные,аналог в психологии
30,Регуляция цифровой зависимости,Да,состояние,контроль,индивидуальные/институциональные,новый
31,Создание цифровых мемов,Нет,символы,коллективное творчество,индивидуальные/коллективные,аналог в memetics
32,Эрозия цифровых мемов,Да,символы,утрата актуальности,индивидуальные/коллективные,новый
33,Формирование института цифровой анонимности,Нет,институты,privacy,индивидуальные/институциональные,аналог в digital rights
34,Кризис цифровой анонимности,Да,институты,делегитимация,индивидуальные/институциональные,новый
35,Формирование цифровых следов,Нет,содержание,трассируемость,индивидуальные/коллективные,аналог в digital forensics
36,Стирание цифровых следов,Да,содержание,удаление,индивидуальные/коллективные,новый
37,Создание института цифровой безопасности,Нет,институты,защита,коллективные/институциональные,аналог в cybersecurity
38,Кризис цифровой безопасности,Да,институты,уязвимость,коллективные/институциональные,новый
39,Формирование института цифровой цензуры,Нет,институты,контроль,коллективные/институциональные,аналог в media studies
40,Кризис цифровой цензуры,Да,институты,делегитимация,коллективные/институциональные,новый
41,Формирование института цифрового гражданства,Нет,институты,правовой статус,индивидуальные/институциональные,новый
42,Кризис цифрового гражданства,Да,институты,неравенство,индивидуальные/институциональные,новый
43,Создание цифровых эмоций (реакции),Нет,поведение,репрезентация,индивидуальные/коллективные,новый
44,Эрозия цифровых эмоций,Да,поведение,обесценивание,индивидуальные/коллективные,новый
45,Формирование института цифровых лидеров мнений,Нет,структура,инфлюенсеры,индивидуальные/коллективные,аналог в media studies
46,Кризис цифровых лидеров мнений,Да,структура,утрата доверия,индивидуальные/коллективные,новый
47,Создание института цифрового активизма,Нет,поведение,онлайн-протест,коллективные/институциональные,аналог в social movements
48,Кризис цифрового активизма,Да,поведение,репрессия,коллективные/институциональные,новый
49,Формирование института цифрового мониторинга,Нет,функция,наблюдение,коллективные/институциональные,аналог в surveillance studies
50,Кризис цифрового мониторинга,Да,функция,делегитимация,коллективные/институциональные,новый
51,Создание цифровых тел,Нет,тело/материя,виртуальная репрезентация,индивидуальные/коллективные,аналог в VR studies
52,Кризис цифровых тел,Да,тело/материя,разрыв восприятия,индивидуальные/коллективные,новый
53,Формирование института цифровой модерации,Нет,институты,контроль,коллективные/институциональные,аналог в platform governance
54,Кризис цифровой модерации,Да,институты,утрата доверия,коллективные/институциональные,новый
55,Формирование цифровых субкультур,Нет,структура,дифференциация,коллективные/неформальные,аналог в культурологии
56,Распад цифровых субкультур,Нет,структура,атомизация,коллективные/латентные,новый
57,Создание цифровых привычек,Нет,поведение,рутинизация,индивидуальные/коллективные,аналог в поведенческих науках
58,Эрозия цифровых привычек,Да,поведение,утрата значимости,индивидуальные/коллективные,новый
59,Формирование института цифрового образования,Нет,институты,онлайн-педагогика,коллективные/институциональные,аналог в edtech
60,Кризис цифрового образования,Да,институты,утрата качества,коллективные/институциональные,новый
61,Создание института цифрового здравоохранения,Нет,институты,телемедицина,коллективные/институциональные,аналог в health studies
62,Кризис цифрового здравоохранения,Да,институты,недоверие,коллективные/институциональные,новый
63,Формирование цифровой экономики обмена,Нет,экономика/обмен,платформизация,коллективные/институциональные,аналог в sharing economy
64,Кризис экономики обмена,Да,экономика/обмен,прекаризация,коллективные/институциональные,новый
65,Создание института цифровых денег,Нет,экономика/обмен,токенизация,коллективные/институциональные,аналог в финтех
66,Кризис цифровых денег,Да,экономика/обмен,обесценивание,коллективные/институциональные,новый
67,Формирование института цифровой идентификации,Нет,институты,аутентификация,индивидуальные/институциональные,аналог в digital governance
68,Кризис цифровой идентификации,Да,институты,утрата доверия,индивидуальные/институциональные,новый
69,Создание цифровых следящих технологий,Нет,технология/инфраструктура,наблюдение,коллективные/институциональные,аналог в surveillance studies
70,Сопротивление цифровому наблюдению,Да,технология/инфраструктура,privacy activism,коллективные/институциональные,новый
71,Формирование цифрового неравенства,Нет,структура,цифровой разрыв,коллективные/институциональные,аналог в inequality studies
72,Сокращение цифрового неравенства,Да,структура,инклюзия,коллективные/институциональные,новый
73,Создание цифровых зависимых сообществ (геймеры, фанаты),Нет,структура,аффективная вовлечённость,коллективные/неформальные,аналог в fan studies
74,Распад зависимых сообществ,Нет,структура,атомизация,коллективные/латентные,новый
75,Формирование института цифрового права,Нет,институты,регуляция,коллективные/институциональные,аналог в legal studies
76,Реформа цифрового права,Да,институты,адаптация,коллективные/институциональные,новый
77,Формирование института цифровых активов (NFT),Нет,экономика/обмен,оцифровка собственности,индивидуальные/институциональные,аналог в blockchain studies
78,Кризис цифровых активов,Да,экономика/обмен,обесценивание,индивидуальные/институциональные,новый
79,Создание цифровых политических движений,Нет,структура,онлайн-мобилизация,коллективные/институциональные,аналог в political sociology
80,Кризис цифровых политических движений,Да,структура,репрессия,коллективные/институциональные,новый
81,Формирование цифровой грамотности,Нет,содержание,образование,индивидуальные/коллективные,аналог в edtech
82,Эрозия цифровой грамотности,Да,содержание,утрата навыков,индивидуальные/коллективные,новый
83,Создание института цифровой самопрезентации,Нет,поведение,репрезентация,индивидуальные/неформальные,аналог в identity studies
84,Кризис самопрезентации онлайн,Да,поведение,усталость,индивидуальные/неформальные,новый
85,Формирование цифровых манипуляций,Нет,дискурс,алгоритмическое вмешательство,коллективные/институциональные,аналог в propaganda studies
86,Раскрытие цифровых манипуляций,Да,дискурс,прозрачность,коллективные/институциональные,новый
87,Создание института цифровой киберугрозы,Нет,состояние,опасность,коллективные/институциональные,аналог в security studies
88,Регулирование киберугроз,Да,состояние,контроль,коллективные/институциональные,новый
89,Формирование цифрового конфликта,Нет,отношения,киберконфронтация,коллективные/институциональные,аналог в conflict studies
90,Деэскалация цифрового конфликта,Да,отношения,переговоры,коллективные/институциональные,новый
91,Формирование цифровых практик заботы (онлайн-саппорт),Нет,отношения,эмоциональная поддержка,индивидуальные/коллективные,аналог в care studies
92,Эрозия цифровых практик заботы,Да,отношения,утрата доверия,индивидуальные/коллективные,новый
93,Создание института цифровой моды (фильтры, скины),Нет,символы,визуальная репрезентация,индивидуальные/коллективные,аналог в fashion studies
94,Кризис цифровой моды,Да,символы,утрата значимости,индивидуальные/коллективные,новый
95,Формирование цифрового религиозного опыта,Нет,символы,онлайн-сакральность,индивидуальные/коллективные,аналог в religious studies
96,Эрозия цифровой религиозности,Да,символы,профанизация,индивидуальные/коллективные,новый
97,Создание института цифровой памяти (соцсети как архив),Нет,память/наследие,фиксация,коллективные/институциональные,аналог в memory studies
98,Кризис цифровой памяти,Да,память/наследие,утрата данных,коллективные/институциональные,новый
99,Формирование цифровой публичности,Нет,дискурс,массовая артикуляция,коллективные/институциональные,аналог в публичной сфере
100,Фрагментация цифровой публичности,Да,дискурс,поляризация,коллективные/латентные,новый
101,Создание цифровых аффектов (эмоции через мемы, реакции),Нет,состояние,виртуализация,индивидуальные/коллективные,новый
102,Эрозия цифровых аффектов,Да,состояние,обесценивание,индивидуальные/коллективные,новый
103,Формирование института цифрового контроля,Нет,институты,надзор,коллективные/институциональные,аналог в governance
104,Кризис цифрового контроля,Да,институты,делегитимация,коллективные/институциональные,новый
105,Формирование цифрового капитализма,Нет,экономика/обмен,монетизация данных,коллективные/институциональные,аналог в economic sociology
106,Кризис цифрового капитализма,Да,экономика/обмен,неравенство,коллективные/институциональные,новый
107,Создание института цифровой уязвимости,Нет,состояние,опасность,индивидуальные/институциональные,новый
108,Регулирование цифровой уязвимости,Да,состояние,контроль,индивидуальные/институциональные,новый
109,Формирование цифровых ценностей (открытость, прозрачность),Нет,нормы,репрезентация,коллективные/институциональные,новый
110,Эрозия цифровых ценностей,Да,нормы,размывание,коллективные/институциональные,новый
111,Создание цифровых семейных практик (чаты, блоги),Нет,структура,онлайн-кооперация,индивидуальные/коллективные,аналог в family studies
112,Кризис цифровых семейных практик,Да,структура,утрата доверия,индивидуальные/коллективные,новый
113,Формирование цифровых форм идентичности через аватары,Нет,символы,репрезентация,индивидуальные/коллективные,аналог в VR studies
114,Кризис цифровых аватаров,Да,символы,утрата вовлечённости,индивидуальные/коллективные,новый
115,Создание института цифровой прозрачности,Нет,институты,open data,коллективные/институциональные,аналог в governance
116,Кризис цифровой прозрачности,Да,институты,недоверие,коллективные/институциональные,новый
117,Формирование цифровой игры как социальной практики,Нет,поведение,геймификация,индивидуальные/коллективные,аналог в game studies
118,Эрозия цифровой игры,Да,поведение,утрата интереса,индивидуальные/коллективные,новый
119,Создание цифровых практик сопротивления (хактивизм),Нет,поведение,протест,коллективные/институциональные,аналог в social movements
120,Подавление цифрового сопротивления,Нет,поведение,репрессия,коллективные/институциональные,новый
121,Создание института цифрового спорта (киберспорт),Нет,структура,соревнование,коллективные/институциональные,аналог в sport studies
122,Кризис цифрового спорта,Да,структура,утрата легитимности,коллективные/институциональные,новый
123,Формирование цифровой бюрократии,Нет,институты,алгоритмизация управления,коллективные/институциональные,аналог в governance studies
124,Кризис цифровой бюрократии,Да,институты,перегрузка,коллективные/институциональные,новый
125,Создание цифровых форм интимности (онлайн-романы, VR-свидания),Нет,отношения,репрезентация,индивидуальные/коллективные,аналог в intimacy studies
126,Эрозия цифровой интимности,Да,отношения,утрата доверия,индивидуальные/коллективные,новый
127,Формирование института цифровых эмоций через ИИ,Нет,состояние,медиатор эмоций,индивидуальные/коллективные,новый
128,Кризис цифровых эмоций через ИИ,Да,состояние,утрата аутентичности,индивидуальные/коллективные,новый
129,Создание института цифровых трендов,Нет,дискурс,вирусность,коллективные/латентные,аналог в media studies
130,Эрозия цифровых трендов,Да,дискурс,утрата актуальности,коллективные/латентные,новый
131,Формирование института цифрового творчества (стриминг, фанфикшн),Нет,содержание,самовыражение,индивидуальные/коллективные,аналог в cultural studies
132,Кризис цифрового творчества,Да,содержание,обесценивание,индивидуальные/коллективные,новый
133,Создание института цифрового волонтёрства,Нет,институты,альтруизм онлайн,индивидуальные/коллективные,аналог в civic tech
134,Угасание цифрового волонтёрства,Да,институты,утрата вовлечённости,индивидуальные/коллективные,новый
135,Формирование цифровых практик слежки за собой (self-tracking),Нет,поведение,самоконтроль,индивидуальные/коллективные,аналог в quantified self
136,Кризис цифрового самоконтроля,Да,поведение,усталость,индивидуальные/коллективные,новый
137,Создание цифрового государства,Нет,институты,e-government,коллективные/институциональные,аналог в governance
138,Кризис цифрового государства,Да,институты,утрата доверия,коллективные/институциональные,новый
139,Формирование института цифровых прав человека,Нет,нормы,цифровая свобода,коллективные/институциональные,аналог в human rights studies
140,Кризис цифровых прав человека,Да,нормы,репрессия,коллективные/институциональные,новый
141,Создание цифровой коллективной памяти (вики, архивы),Нет,память/наследие,кооперативная фиксация,коллективные/институциональные,аналог в memory studies
142,Эрозия цифровой коллективной памяти,Да,память/наследие,утрата доверия,коллективные/институциональные,новый
143,Формирование цифровых ритуалов траура,Нет,поведение,онлайн-поминание,индивидуальные/коллективные,новый
144,Эрозия цифровых ритуалов траура,Да,поведение,утрата сакральности,индивидуальные/коллективные,новый
145,Создание цифровых практик репутационного шантажа (cancel culture),Нет,дискурс,социальный контроль,коллективные/неформальные,аналог в social control
146,Кризис cancel culture,Да,дискурс,усталость,коллективные/неформальные,новый
147,Формирование цифровых субэкономик (внутриигровые рынки),Нет,экономика/обмен,оцифровка ценности,индивидуальные/коллективные,аналог в game studies
148,Кризис цифровых субэкономик,Да,экономика/обмен,обесценивание,индивидуальные/коллективные,новый
149,Создание института цифровой мобилизации (краудсорсинг),Нет,структура,коллективное участие,коллективные/институциональные,аналог в civic tech
150,Кризис цифровой мобилизации,Да,структура,перегрузка,коллективные/институциональные,новый
151,Формирование цифровой повседневности,Нет,поведение,рутинизация,индивидуальные/коллективные,аналог в everyday life studies
152,Эрозия цифровой повседневности,Да,поведение,усталость,индивидуальные/коллективные,новый
153,Создание института цифрового юмора (мем-культура),Нет,символы,коллективное творчество,индивидуальные/коллективные,аналог в humour studies
154,Эрозия цифрового юмора,Да,символы,утрата актуальности,индивидуальные/коллективные,новый
155,Формирование цифровых теневых рынков (даркнет),Нет,экономика/обмен,альтернативная экономика,индивидуальные/коллективные,аналог в criminology
156,Кризис цифровых теневых рынков,Да,экономика/обмен,репрессия,индивидуальные/коллективные,новый
157,Создание института цифровой прозрачности в науке (open access),Нет,нормы,открытость,коллективные/институциональные,аналог в science studies
158,Кризис цифровой науки,Да,нормы,утрата доверия,коллективные/институциональные,новый
159,Формирование цифровых сетевых практик (блогинг, влогинг),Нет,дискурс,самовыражение,индивидуальные/коллективные,аналог в media studies
160,Кризис цифровых сетевых практик,Да,дискурс,усталость,индивидуальные/коллективные,новый
