№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,принятие трудных чувств (acceptance),Да,структура,принцип осознания,необходимые/возможные,аналогичный
2,расцепление от мыслей (cognitive defusion),Нет,содержание,принцип интеграции,мгновенные/постепенные,аналогичный
3,осознанность настоящего момента,Условно,отношения,принцип обратной связи,дискретные/континуальные,аналогичный
4,выявление и проработка ценностей,Да,состояние,принцип системности,индивидуальные/коллективные,аналогичный
5,обязательство к действиям (commitment),Нет,функция,принцип адаптивности,эндогенные/экзогенные,аналогичный
6,практика доброжелательности к себе,Условно,поведение,принцип сотрудничества,институциональные/неформальные,аналогичный
7,навигирование эмоциональных всплесков,Да,нормы,принцип устойчивости,цикличные/каскадные,уникальный
8,регуляция эмоций (emotion regulation),Нет,институты,принцип баланса,явные/латентные,аналогичный
9,толерантность к дистрессу (distress tolerance),Условно,дискурс,принцип осознания,необходимые/возможные,аналогичный
10,эффективное межличностное общение,Да,символы,принцип интеграции,мгновенные/постепенные,аналогичный
11,техника STOP,Нет,значения,принцип обратной связи,дискретные/континуальные,аналогичный
12,конструирование мудрого ума,Условно,пространство,принцип системности,индивидуальные/коллективные,аналогичный
13,интероцептивное осознание,Да,время/ритм,принцип адаптивности,эндогенные/экзогенные,аналогичный
14,навыки самоподдержки,Нет,технология/инфраструктура,принцип сотрудничества,институциональные/неформальные,уникальный
15,наблюдение мыслей как событий,Условно,тело/материя,принцип устойчивости,цикличные/каскадные,аналогичный
16,строительство жизненного баланса,Да,экономика/обмен,принцип баланса,явные/латентные,аналогичный
17,исследование диалектики,Нет,идентичность/границы,принцип осознания,необходимые/возможные,аналогичный
18,формулирование SMART-целей,Условно,память/наследие,принцип интеграции,мгновенные/постепенные,аналогичный
19,образ жизни в соответствии с ценностями,Да,структура,принцип обратной связи,дискретные/континуальные,аналогичный
20,самосострадание,Нет,содержание,принцип системности,индивидуальные/коллективные,аналогичный
21,работа с внутренним критиком,Условно,отношения,принцип адаптивности,эндогенные/экзогенные,уникальный
22,терпимость к неопределенности,Да,состояние,принцип сотрудничества,институциональные/неформальные,аналогичный
23,поиск альтернативной реакции,Нет,функция,принцип устойчивости,цикличные/каскадные,аналогичный
24,упражнения на визуализацию безопасного места,Условно,поведение,принцип баланса,явные/латентные,аналогичный
25,формирование навыков отказа,Да,нормы,принцип осознания,необходимые/возможные,аналогичный
26,комплексное планирование поведения,Нет,институты,принцип интеграции,мгновенные/постепенные,аналогичный
27,подготовка к кризисным ситуациям,Условно,дискурс,принцип обратной связи,дискретные/континуальные,аналогичный
28,наблюдение за языком тела,Да,символы,принцип системности,индивидуальные/коллективные,уникальный
