№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Поиск местных и устойчивых материалов,Да,экономика/обмен,Принцип локальности,необходимые; дискретные; индивидуальные,Связь с экономикой пермакультуры
2,Тестирование грунта для earthen смеси,Да,тело/материя,Определение состава,необходимые; дискретные; индивидуальные,Аналог в почвоведении
3,Проектирование дома с пассивной солнечной ориентацией,Да,пространство,Солнечная архитектура,возможные; дискретные; индивидуальные,Связь с дизайном систем
4,"Устройство фундамента (каменный, гравийный)",Да,технология/инфраструктура,Принцип устойчивости,возможные; дискретные; коллективные,Аналог в строительстве
5,"Приготовление смеси глины, песка и соломы",Да,тело/материя,Биогенное строительство,возможные; дискретные; индивидуальные,Уникально для природных домов
6,Возведение стен из самана/адобе,Да,технология/инфраструктура,Традиционные техники,возможные; постепенные; коллективные,Связь с историей
7,Использование тюков соломы как утеплителя,Да,структура,Эффективная теплоизоляция,возможные; дискретные; индивидуальные,Уникально для экологичного строительства
8,Укладка земляных полов,Да,структура,Экологическое покрытие,возможные; дискретные; индивидуальные,Связь с дизайном системы
9,"Нанесение натуральных штукатурок (глиняных, известковых)",Да,тело/материя,Дышащие покрытия,возможные; дискретные; индивидуальные,Аналог в биоархитектуре
10,Использование переработанной древесины в конструкциях,Да,тело/материя,Переработка,возможные; дискретные; индивидуальные,Связь с экономикой
11,Интеграция зелёных/живых кровель,Да,технология/инфраструктура,Биоутепление,возможные; дискретные; коллективные,Аналог в урбанальной пермакультуре
12,Установка возобновляемых источников энергии (солнечных панелей),Да,технология/инфраструктура,Энергоавтономность,возможные; дискретные; индивидуальные,Связь с системным дизайном
13,Обеспечение естественной вентиляции,Да,функция,Здоровый микроклимат,возможные; постепенные; индивидуальные,Связь с экология жилища
14,Проектирование водосборной системы на крыше,Да,технология/инфраструктура,Сбор и хранение воды,возможные; дискретные; индивидуальные,Связь с водными системами
15,Мониторинг и обслуживание натурального дома,Да,поведение,Предотвращение деградации,условно; цикличные; индивидуальные,Уникально для натуральных построек
