№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Восприятие красоты,Да,содержание,эстетическая рецепция,индивидуальные/неформальные/мгновенные,аналог в феноменологии
2,Катарсис,Да,состояние,эмоциональное очищение,индивидуальные/неформальные/постепенные,аналог в трагедии
3,Переоценка вкуса,Да,нормы,смещение эстетических предпочтений,индивидуальные/постепенные/неформальные,аналог в аксиологии
4,Деконструкция формы,Да,структура,разложение визуального кода,индивидуальные/дискретные/неформальные,аналог в постмодернизме
5,Сдвиг художественной парадигмы,Нет,нормы,смена канона,институциональные/каскадные/дискретные,аналог в искусствоведении
6,Эстетизация повседневности,Да,дискурс,придание формы обыденному,индивидуальные/неформальные/постепенные,аналог в культурной критике
7,Формализация эстетики,Да,структура,перевод в язык категорий,институциональные/необходимые/дискретные,аналог в классической эстетике
8,Эстетическое отстранение,Да,отношения,создание дистанции,индивидуальные/неформальные/дискретные,аналог в теории Брехта
9,Переход от формы к смыслу,Да,значения,семиотический сдвиг,индивидуальные/неформальные/дискретные,аналог в герменевтике
10,Переход от смысла к форме,Да,структура,эстетическая интуиция,индивидуальные/неформальные/дискретные,аналог в дизайне
11,Гармонизация элементов,Да,структура,соразмерность частей,индивидуальные/неформальные/постепенные,аналог в классике
12,Нарушение симметрии,Да,структура,эстетическая провокация,индивидуальные/неформальные/дискретные,аналог в авангарде
13,Выход за границы жанра,Нет,нормы,трансжанровость,индивидуальные/неформальные/экзогенные,аналог в мультимедиа
14,Эстетическое наслаждение,Да,состояние,чистая перцептивная реакция,индивидуальные/мгновенные/неформальные,аналог в гедонизме
15,Подмена содержания формой,Нет,значения,эстетическая иллюзия,индивидуальные/латентные/неформальные,аналог в китче
16,Иронизация,Да,дискурс,двойное эстетическое кодирование,индивидуальные/неформальные/дискретные,аналог в постмодерне
17,Сакрализация образа,Да,символы,возведение в культ,институциональные/постепенные/неформальные,аналог в религиозной эстетике
18,Десакрализация образа,Да,символы,освобождение от табу,индивидуальные/дискретные/неформальные,аналог в антиискусстве
19,Смена перспективы восприятия,Да,пространство,изменение угла зрения,индивидуальные/неформальные/дискретные,аналог в кубизме
20,Темпоральное растяжение,Да,время/ритм,замедление потока,индивидуальные/неформальные/континуальные,аналог в slow art
21,Фрагментация образа,Да,структура,разложение целостности,индивидуальные/неформальные/дискретные,аналог в коллаже
22,Синтез художественных средств,Да,функция,мультимодальность,индивидуальные/неформальные/постепенные,аналог в синестезии
23,Экспликация эстетического кода,Да,дискурс,раскодирование образа,индивидуальные/неформальные/дискретные,аналог в критике
24,Нарушение нормы вкуса,Нет,нормы,эстетическая провокация,индивидуальные/неформальные/дискретные,аналог в эпатажном искусстве
25,Индивидуализация восприятия,Да,идентичность/границы,эстетическая автономия,индивидуальные/неформальные/дискретные,аналог в психоэстетике
26,Эстетическое узнавание,Да,содержание,отклик на знакомое,индивидуальные/мгновенные/неформальные,аналог в архетипах
27,Трансформация материала,Да,тело/материя,перевод в художественную форму,индивидуальные/постепенные/неформальные,аналог в ремесле
28,Слияние внешнего и внутреннего,Да,идентичность/границы,экспрессивное единство,индивидуальные/постепенные/неформальные,аналог в экспрессионизме
29,Метаэстетическая рефлексия,Да,нормы,размышление о восприятии,индивидуальные/дискретные/неформальные,аналог в философии искусства
30,Минимализация формы,Да,структура,очистка от лишнего,индивидуальные/неформальные/постепенные,аналог в минимализме
31,Усложнение восприятия,Да,структура,интенсификация паттерна,индивидуальные/неформальные/дискретные,аналог в барокко
32,Создание эстетического шока,Нет,содержание,выход за пределы ожиданий,индивидуальные/экзогенные/мгновенные,аналог в перформансе
33,Интерпретационный сдвиг,Да,значения,новая рамка прочтения,индивидуальные/неформальные/дискретные,аналог в герменевтике
34,Игра со стилем,Да,дискурс,цитирование и пародия,индивидуальные/неформальные/дискретные,аналог в постиронии
35,Инверсивная композиция,Да,структура,переворачивание логики,индивидуальные/дискретные/неформальные,аналог в дадаизме
36,Эстетическая репетитивность,Да,время/ритм,ритуализация восприятия,индивидуальные/неформальные/континуальные,аналог в минимализме
37,Символизация тела,Да,тело/материя,превращение в знак,индивидуальные/неформальные/постепенные,аналог в перформативной эстетике
38,Телесная эстетика,Да,тело/материя,переживание через ощущение,индивидуальные/неформальные/мгновенные,аналог в эмбодимент-практиках
