№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Создание виртуальных прототипов рабочих мест для оценки удобства,Да,пространство,Принцип виртуального прототипирования,дискретные; коллективные; экзогенные,Уникально
2,Использование VR для обучения безопасным движениям,Да,память/наследие,Принцип иммерсивного обучения,постепенные; индивидуальные; экзогенные,Уникально
3,Моделирование производственных процессов в AR для оптимизации постов,Да,функция,Принцип дополненной оптимизации,непрерывные; коллективные; экзогенные,Уникально
4,Виртуальная проверка досягаемости и зон обзора,Да,пространство,Принцип виртуального анализа,дискретные; коллективные; экзогенные,Уникально
5,Использование VR для анализа риска столкновений и травм,Да,пространство,Принцип виртуальной оценки риска,непрерывные; коллективные; экзогенные,Уникально
6,AR‑подсказки при сборке и обслуживании оборудования,Да,процесс,Принцип контекстной подсказки,непрерывные; индивидуальные; экзогенные,Уникально
7,Оценка нагрузок в виртуальной реальности с помощью датчиков,Да,состояние,Принцип виртуального измерения,непрерывные; индивидуальные; экзогенные,Уникально
8,VR‑тренировка реакций на аварийные ситуации,Да,память/наследие,Принцип иммерсивной тренировки,цикличные; индивидуальные; экзогенные,Уникально
9,Тестирование пользовательских интерфейсов в виртуальной среде,Да,технология/инфраструктура,Принцип виртуального тестирования,непрерывные; индивидуальные; экзогенные,Уникально
10,Моделирование рабочих поз в VR с мгновенной обратной связью,Да,тело/материя,Принцип обратной связи,непрерывные; индивидуальные; экзогенные,Уникально
11,Виртуальная настройка эргономики продукта до изготовления,Да,технология/инфраструктура,Принцип предварительной настройки,дискретные; коллективные; экзогенные,Уникально
12,Смешанная реальность для совместной работы удалённых команд,Да,отношения,Принцип удаленной коллаборации,непрерывные; коллективные; экзогенные,Уникально
13,Создание виртуальных учебных тренажёров для операторов,Да,память/наследие,Принцип тренажёрного обучения,непрерывные; индивидуальные; экзогенные,Уникально
14,Использование VR для реабилитации после травм,Да,тело/материя,Принцип виртуальной реабилитации,постепенные; индивидуальные; экзогенные,Уникально
15,Оценка ментальной нагрузки в виртуальных симуляциях,Да,состояние,Принцип виртуального мониторинга нагрузки,непрерывные; индивидуальные; экзогенные,Уникально
