№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Сканирование среды (анализ внешней/внутренней среды),Да,содержание,PESTEL-анализ,цикличные/каскадные,Аналогично идентификации рисков
2,Определение миссии и видения,Да,значения,Миссия и ценности,индивидуальные/коллективные,Уникальный процесс
3,Постановка целей и задач,Да,функция,SMART-цели,дискретные/континуальные,Аналогично планированию в проектах
4,SWOT-анализ,Да,содержание,SWOT-матрица,необходимые/возможные,Перекликается с анализом рисков
5,Анализ конкурентов,Да,отношения,Пять сил Портера,индивидуальные/коллективные,Аналогично рыночным исследованиям
6,Распределение ресурсов,Условно,экономика/обмен,Принцип относительной редкости,индивидуальные/коллективные,Аналогично управлению проектами
7,Формулирование стратегии,Условно,нормы,Конкурентное позиционирование,коллективные,Уникальный процесс
8,Сценарное планирование,Да,время/ритм,Метод сценариев,коллективные,Аналогично управлению рисками
9,Внедрение стратегии,Нет,институты,Процессный подход,постепенные,Аналогично реализации проектов
10,Разработка сбалансированной системы показателей,Да,состояние,Balanced Scorecard,дискретные/континуальные,Аналогично KPI в операционном менеджменте
11,Портфельное управление,Условно,экономика/обмен,Принцип диверсификации,цикличные/каскадные,Перекликается с управлением инновациями
12,Оценка и контроль стратегии,Да,функция,Контрольный цикл,цикличные/каскадные,Аналогично мониторингу проектов
13,Идентификация ключевых компетенций,Да,идентичность/границы,Ресурсная теория предприятия,индивидуальные/коллективные,Связано с HR и обучением
14,Организационная реструктуризация,Нет,структура,Теория организационного дизайна,постепенные,Перекликается с управлением изменениями
15,Заключение стратегических партнерств,Да,отношения,Синергетический подход,индивидуальные/коллективные,Перекликается с предпринимательством
