№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Организация пар 'движущийся- свидетель',Да,структура,контейнер,необходимые; дискретные; коллективные; явные,
2,Движение с закрытыми глазами,Да,поведение,внутренний импульс,возможные; континуальные; индивидуальные; явные,
3,Ненаправленное следование внутреннему импульсу,Да,поведение,спонтанность,возможные; континуальные; индивидуальные; латентные,
4,Внимательное свидетельствование без оценки,Да,отношения,наблюдение,необходимые; континуальные; коллективные; латентные,
5,Вербальная обратная связь после движения,Да,дискурс,интеграция опыта,необходимые; дискретные; коллективные; явные,
6,Рефлексивное письмо по окончании,Да,память/наследие,рефлексия,возможные; дискретные; индивидуальные; явные,
7,Осознание границ между внутренним и внешним,Да,идентичность/границы,осознанность,возможные; континуальные; индивидуальные; латентные,
8,Круг совместного обсуждения,Да,отношения,диалог,необходимые; дискретные; коллективные; явные,
9,Замедление для углубления восприятия,Да,время/ритм,замедление,возможные; континуальные; индивидуальные; явные,
10,Регулярная смена ролей,Да,отношения,равенство,необходимые; дискретные; коллективные; явные,
11,Согласование продолжительности сессии,Да,время/ритм,контракт,необходимые; дискретные; коллективные; явные,
12,Создание символического начала и конца,Да,ритуалы,переход,необходимые; дискретные; коллективные; явные,
13,Работа с воображаемыми образами,Да,символы,визуализация,возможные; континуальные; индивидуальные; латентные,
14,Наблюдение дыхания свидетеля,Да,состояние,зеркальные нейроны,возможные; континуальные; коллективные; латентные,
15,Интернализация опыта в повседневную жизнь,Да,поведение,интеграция,возможные; постепенные; индивидуальные; латентные,
