№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Разучивание выворота ног,Нет,тело/материя,Принцип выворота: постоянный разворот бедра,"постепенные, индивидуальные",Уникально для классического танца
2,Освоение позиций рук и ног,Нет,тело/материя,Кодекс пяти позиций,"постепенные, индивидуальные",Уникально для классического танца
3,Балансировка на пуантах,Условно,тело/материя,Биомеханика равновесия,"постепенные, индивидуальные",Аналоги: современный танец использует на босу ногу
4,Выполнение plié,Да,функция,Укрепление и растяжение коленных суставов,"цикличные, индивидуальные",Аналоги: встречается в современных техниках
5,Пируэт,Да,функция,Закон сохранения момента импульса,"дискретные, индивидуальные",Аналоги: встречается в современном танце
6,Прыжок grand jeté,Да,функция,Использование силы ног и импульса,"дискретные, индивидуальные",Аналоги: есть в народных танцах
7,Работа над позой корпуса,Нет,структура,Выравнивание позвоночника,"постепенные, индивидуальные",Аналоги: все танцевальные формы
8,Разучивание па-де-де,Нет,отношения,Партнерская координация и поддержка,"постепенные, коллективные",Уникально для балета
9,Комбинация adagio,Да,структура,Медленное соединение движений,"дискретные, коллективные",Аналоги: классический и современный
10,Поддержка линии port de bras,Да,функция,Эвристика гармоничных линий рук,"непрерывные, индивидуальные",Аналоги: все виды танца
11,Крепление стопы на полу,Да,тело/материя,Стабилизация стопы,"постепенные, индивидуальные",Аналоги: современный танец
12,Контроль дыхания,Да,состояние,Принцип дыхательной поддержки движения,"непрерывные, индивидуальные",Аналоги: все танцы
13,Растяжка,Да,тело/материя,Эвристика безопасности мышц,"постепенные, индивидуальные",Аналоги: в других практиках
14,Отработка мимики,Да,поведение,Передача эмоций лицом,"постепенные, индивидуальные",Аналоги: в драме и танце
15,Контроль напряжения мышц,Да,состояние,Сочетание напряжения и расслабления,"непрерывные, индивидуальные",Аналоги: встречается в других стилях
