№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Вычисление важности признаков,Да,содержание,эвристика,дискретные/континуальные,Уникальный
2,Permutation importance,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
3,Построение частичных зависимостей,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
4,ICE-графики,Нет,структура,эвристика,дискретные/континуальные,Уникальный
5,Расчёт SHAP значений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
6,Генерация LIME объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
7,Создание контрфактических объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
8,Создание тепловых карт,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
9,Grad-CAM визуализация,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
10,Layer-wise relevance propagation,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
11,Визуализация весов внимания,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
12,Выбор прототипов,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
13,Извлечение правил (дерево‑заменитель),Нет,содержание,эвристика,дискретные/континуальные,Уникальный
14,Обучение surrogate модели,Нет,функция,эвристика,дискретные/континуальные,Уникальный
15,Дистилляция модели,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
16,Применение алгоритма Anchors,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
17,Вычисление метрик объяснимости,Да,содержание,эвристика,дискретные/континуальные,Уникальный
18,Расчёт уровня доверия,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
19,Аудит справедливости,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
20,Обнаружение смещений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
21,Причинно-интерпретируемый анализ,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
22,Визуализация пространства эмбеддингов,Нет,функция,эвристика,дискретные/континуальные,Уникальный
23,Оценка объяснителей,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
24,Документация прозрачности,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
25,Дизайн интерфейса интерпретации,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
26,Сбор обратной связи пользователя,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
27,Отладка модели через объяснения,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
28,Тестирование точности объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
29,Генерация глобальных объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
30,Генерация локальных объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
31,Контрастивные объяснения,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
32,Примеры-объяснения,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
33,Интерактивное исследование объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
34,Суммаризация объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
35,Бенчмаркинг методов объяснимости,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
36,Чувствительный анализ для объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
37,Тестирование устойчивости объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
38,Обнаружение adversarial примеров,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
39,Правила для нейронных сетей,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
40,Символьная регрессия для объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
41,Concept activation vectors,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
42,Визуализация признаков CNN,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
43,Градиентные методы атрибуции,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
44,Интегрированные градиенты,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
45,SmoothGrad техника,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
46,Анализ чувствительности (ANOVA),Нет,содержание,эвристика,дискретные/континуальные,Уникальный
47,Объяснимость в reinforcement learning,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
48,Проектирование специфичных объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
49,Дизайн модель-независимых объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
50,Оценка UX объяснений,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
51,Проверка соответствия нормативам,Нет,содержание,эвристика,дискретные/континуальные,Уникальный
