№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Транспозиция (транспонирование),Да,содержание,Сохранение интервалов,"возможные, мгновенные, дискретные, индивидуальные, эндогенные",Широко используется; аналогична переводам
2,Модуляция (изменение тональности),Условно,структура,Тональная гармония,"постепенные, дискретные, индивидуальные/коллективные",Ключевой элемент развития; аналог изменению координат
3,Инверсия интервалов,Да,отношения,"Сет‑теория, инверсия","мгновенные, дискретные, индивидуальные",Используется в двенадцатитоновой технике
4,Ретроград (обратное движение),Да,структура,Сериализм,"мгновенные, дискретные, индивидуальные",Обратное воспроизведение последовательности
5,Увеличение длительности (аугментация),Да,время/ритм,Ритмические пропорции,"постепенные, континуальные, индивидуальные",Изменяет масштаб времени
6,Уменьшение длительности (диминуция),Да,время/ритм,Ритмические пропорции,"постепенные, континуальные, индивидуальные",Сокращает временные интервалы
7,Секвенция (последовательное повторение),Да,структура,"Имитация, секвенирование","цикличные, дискретные, индивидуальные",Повтор мотивов на разных высотах
8,Коррекция голосоведения,Условно,отношения,Закон плавного голосоведения,"постепенные, индивидуальные",Обеспечивает мягкие переходы между голосами
9,Каденционная разрешение,Нет,функция,Каденционная гармония,"цикличные, дискретные, коллективные",Создаёт ощущение завершения
10,Гармонизация мелодии,Да,структура,Функциональная гармония,"коллективные, возможные",Добавление аккордов к мелодии
11,Орнаментация (украшение),Да,содержание,Барочная практика,"индивидуальные, явные/латентные",Добавляет украшения
12,Метрическая модуляция,Да,время/ритм,Метрические отношения,"дискретные/континуальные, индивидуальные",Изменяет метрический уровень
13,Хроматизация,Да,содержание,Хроматизм,"возможные, индивидуальные",Включает хроматические ноты
14,Смешение ладов (mode mixture),Да,содержание,Ладовая теория,"возможные, индивидуальные",Займы из параллельных ладов
15,Ввод вторичной доминанты,Да,функция,Функциональная гармония,"дискретные, возможные",Временный доминантный акцент
16,Использование альтерированных аккордов,Да,содержание,Джазовая гармония,"возможные, индивидуальные",Добавляет напряжение
17,Расширение формы,Нет,структура,Теория формы,"постепенные, коллективные",Добавляет разделы к форме
18,Циклический оборот (turnaround),Да,структура,Джазовая гармония,"цикличные, дискретные",Короткая повторяющаяся прогрессия
19,Планирование тональных центров,Да,структура,Тональное планирование,"постепенные, коллективные",Определяет смену центров
20,Ритмический сдвиг,Да,время/ритм,Полифония,"мгновенные, индивидуальные",Сдвиг акцентов
21,Остинато,Да,структура,Минимализм,"цикличные, дискретные",Повторяющийся рисунок
22,Полиритмия,Да,время/ритм,Африканские традиции,"коллективные, дискретные",Одновременные ритмы
23,Контрапункт,Нет,структура,Контрапункт,"коллективные, постепенные",Независимые голоса
24,Тритонная замена,Да,функция,Джазовая гармония,"возможные, мгновенные",Замена доминанты
25,Расширение тонального пространства,Да,пространство,Тональная гармония,"постепенные, индивидуальные",Выход за диатонику
26,Создание синтетических ладов,Нет,содержание,Теория ладов,"индивидуальные, возможные",Формирование новых структур
27,Расширение аккордов (extensions),Да,содержание,Джазовая гармония,"возможные, мгновенные",Добавляет 9/11/13
28,Смена фактуры,Да,структура,Текстура,"дискретные/континуальные, коллективные",Меняет плотность звучания
29,Развитие мотива,Да,содержание,Разработка,"постепенные, индивидуальные",Изменяет мотив через вариации
