№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Комбинирование движений и вербальной рефлексии,Да,дискурс,интегративная терапия,возможные; дискретные; индивидуальные; явные,
2,Сочетание психодинамических и когнитивных техник,Да,функция,многомодальность,возможные; континуальные; индивидуальные; явные,
3,Настройка протоколов под уникальные потребности клиента,Да,нормы,клиент-центрированность,необходимые; дискретные; индивидуальные; явные,
4,Использование арт-терапии совместно с движением,Да,поведение,мультиарт терапия,возможные; дискретные; индивидуальные; явные,
5,Применение медитации и дыхательных практик,Да,состояние,майндфулнесс,возможные; континуальные; индивидуальные; явные,
6,Сотрудничество с другими терапевтическими подходами,Да,отношения,междисциплинарность,возможные; континуальные; коллективные; явные,
7,Использование телесно-ориентированной терапии,Да,тело/материя,соматический подход,возможные; континуальные; индивидуальные; явные,
8,Интеграция культурных танцев,Да,память/наследие,культурная чувствительность,возможные; дискретные; коллективные; явные,
9,Изменение темпа и структуры сессии по ходу,Да,время/ритм,гибкость,возможные; континуальные; индивидуальные; явные,
10,Согласование психообразования и практики,Да,нормы,обучение клиента,возможные; дискретные; индивидуальные; явные,
11,Применение элементарной музыки и ритма,Да,время/ритм,ритмотерапия,возможные; континуальные; коллективные; явные,
12,Синтез соматических и духовных техник,Да,идентичность/границы,холизм,возможные; постепенные; индивидуальные; явные,
13,Этапность и модульность терапии,Да,структура,планирование,возможные; дискретные; индивидуальные; явные,
14,Коллаборация с семьёй клиента,Да,отношения,системный подход,возможные; континуальные; коллективные; явные,
15,Динамическая настройка техники в ответ на обратную связь,Да,функция,адаптивность,возможные; континуальные; индивидуальные; явные,
